index,name,prompt,negative_prompt,category,weight,favorite
1,Micro Fishnet Tights,"Add micro fishnet tights to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Hosiery Stockings | Fishnets Socks Leg Warmers,1.0,False
2,Micro Fishnet Thigh-Highs,"Add micro fishnet thigh-highs to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Hosiery Stockings | Fishnets Socks Leg Warmers,1.0,False
3,Micro Over-The-Knee Socks,"Add micro over-the-knee socks to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Hosiery Stockings | Fishnets Socks Leg Warmers,1.0,False
4,Micro Leg Warmers,"Add micro leg warmers to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Hosiery Stockings | Fishnets Socks Leg Warmers,1.0,False
5,Classic Fishnet Tights,"Add classic fishnet tights to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Hosiery Stockings | Fishnets Socks Leg Warmers,1.0,False
6,Classic Fishnet Thigh-Highs,"Add classic fishnet thigh-highs to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Hosiery Stockings | Fishnets Socks Leg Warmers,1.0,False
7,Classic Over-The-Knee Socks,"Add classic over-the-knee socks to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Hosiery Stockings | Fishnets Socks Leg Warmers,1.0,False
8,Classic Leg Warmers,"Add classic leg warmers to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Hosiery Stockings | Fishnets Socks Leg Warmers,1.0,False
9,Wide Fishnet Tights,"Add wide fishnet tights to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Hosiery Stockings | Fishnets Socks Leg Warmers,1.0,False
10,Wide Fishnet Thigh-Highs,"Add wide fishnet thigh-highs to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Hosiery Stockings | Fishnets Socks Leg Warmers,1.0,False
