index,name,prompt,negative_prompt,category,weight,favorite
1,Male/Swimwear/Swim Briefs,"Adult man wearing swim briefs, with clean unbranded styling, realistic quick-dry fabric appearance, and clear garment construction.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Male/Swimwear,1,False
2,Male/Swimwear/Square-cut Swim Trunks,"Adult man wearing square-cut swim trunks, with clean unbranded styling, realistic quick-dry fabric appearance, and clear garment construction.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Male/Swimwear,1,False
3,Male/Swimwear/Short Swim Trunks,"Adult man wearing short swim trunks, with clean unbranded styling, realistic quick-dry fabric appearance, and clear garment construction.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Male/Swimwear,1,False
4,Male/Swimwear/Mid-length Swim Trunks,"Adult man wearing mid-length swim trunks, with clean unbranded styling, realistic quick-dry fabric appearance, and clear garment construction.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Male/Swimwear,1,False
5,Male/Swimwear/Long Board Shorts,"Adult man wearing long board shorts, with clean unbranded styling, realistic quick-dry fabric appearance, and clear garment construction.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Male/Swimwear,1,False
6,Male/Swimwear/Compression Swim Shorts,"Adult man wearing compression swim shorts, with clean unbranded styling, realistic quick-dry fabric appearance, and clear garment construction.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Male/Swimwear,1,False
7,Male/Swimwear/Hybrid Swim Shorts,"Adult man wearing hybrid swim shorts, with clean unbranded styling, realistic quick-dry fabric appearance, and clear garment construction.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Male/Swimwear,1,False
8,Male/Swimwear/Rash Guard and Trunks Set,"Adult man wearing rash guard and trunks set, with clean unbranded styling, realistic quick-dry fabric appearance, and clear garment construction.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Male/Swimwear,1,False
9,Male/Swimwear/Surf Shorts,"Adult man wearing surf shorts, with clean unbranded styling, realistic quick-dry fabric appearance, and clear garment construction.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Male/Swimwear,1,False
10,Male/Swimwear/Retro Swim Trunks,"Adult man wearing retro swim trunks, with clean unbranded styling, realistic quick-dry fabric appearance, and clear garment construction.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Male/Swimwear,1,False
11,Male/Swimwear/Sport Swim Briefs,"Adult man wearing sport swim briefs, with clean unbranded styling, realistic quick-dry fabric appearance, and clear garment construction.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Male/Swimwear,1,False
12,Male/Swimwear/Drawstring Swim Shorts,"Adult man wearing drawstring swim shorts, with clean unbranded styling, realistic quick-dry fabric appearance, and clear garment construction.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Male/Swimwear,1,False
