name,prompt,negative_prompt,category,weight,favorite
0000 | No Style,,"low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed",General,1,
0001 | Anime/Modern Clean Anime,"modern clean anime illustration, crisp linework, expressive eyes, smooth cel shading, polished digital color, balanced cinematic composition","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0002 | Anime/Ghibli Inspired Storybook,"Studio Ghibli, Studio Ghibli style, Hayao Miyazaki anime film style, Ghibli animation background art, hand-painted whimsical Japanese animation, whimsical hand-painted Japanese storybook animation look, lush natural backgrounds, soft watercolor skies, warm nostalgic light, gentle character expressions","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,3,
0003 | Anime/Pastoral Fantasy Animation,"pastoral fantasy anime film look, rolling green hills, painterly clouds, cozy village details, soft hand-drawn textures, dreamy warm atmosphere","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0004 | Anime/90s Cel Anime,"1990s cel anime frame, hand-painted background, visible cel shading, bold outlines, nostalgic color palette, slight film grain","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0005 | Anime/80s OVA,"1980s original video animation style, dramatic shadows, saturated neon highlights, detailed mechanical textures, analog film grain","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0006 | Anime/Retro VHS Anime,"retro VHS anime screenshot, soft tape noise, faded colors, scanline texture, expressive cel animation, vintage broadcast feel","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0007 | Anime/Shonen Action,"dynamic shonen anime action style, speed lines, explosive motion, high-energy pose, dramatic impact lighting, sharp cel shading","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0008 | Anime/Shojo Sparkle,"shojo anime illustration, delicate linework, sparkling highlights, floral atmosphere, soft pastel colors, romantic expressive mood","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0009 | Anime/Seinen Noir,"seinen anime noir style, mature cinematic framing, deep shadows, restrained color palette, gritty urban mood, sharp expressive faces","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0010 | Anime/Isekai Fantasy,"isekai fantasy anime style, ornate costumes, glowing magic particles, scenic fantasy world, colorful cel shading, adventurous mood","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0011 | Anime/Magical Girl,"magical girl anime illustration, radiant transformation glow, star motifs, flowing ribbons, vibrant pastel palette, elegant heroic pose","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0012 | Anime/Mecha Blueprint,"anime mecha concept illustration, hard-surface robot design, technical panel lines, glowing sensors, dramatic hangar lighting","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0013 | Anime/Mecha Battle,"high-detail anime mecha battle scene, giant robots, smoke trails, explosive backlight, sharp armor shapes, kinetic composition","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0014 | Anime/Cyberpunk Anime,"cyberpunk anime city scene, neon signs, rain-slick streets, holographic glow, moody silhouettes, vivid night colors","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0015 | Anime/Slice of Life,"slice-of-life anime frame, quiet everyday moment, cozy interior details, gentle expressions, soft natural lighting, warm peaceful mood","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0016 | Anime/Food Anime,"anime food illustration, glossy highlights, appetizing textures, warm kitchen lighting, carefully rendered steam, cozy dining mood","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0017 | Anime/Sports Anime,"sports anime illustration, intense motion blur, determined expression, arena lighting, dynamic perspective, high-energy composition","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0018 | Anime/Dark Fantasy Anime,"dark fantasy anime style, gothic architecture, dramatic moonlight, ominous atmosphere, sharp inked shadows, enchanted details","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0019 | Anime/Supernatural School,"supernatural school anime look, twilight campus setting, glowing symbols, crisp uniforms, moody blue shadows, cinematic mystery tone","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0020 | Anime/Chibi Cute,"cute chibi anime illustration, oversized head proportions, tiny body, simple expressive features, soft rounded shapes, cheerful colors","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0021 | Anime/Kawaii Pastel,"kawaii pastel anime style, soft candy colors, rounded shapes, sparkling eyes, gentle highlights, playful cozy atmosphere","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0022 | Anime/Manga Screentone,"black and white manga panel, crisp ink linework, screentone shading, expressive composition, dramatic panel energy","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0023 | Anime/Manga Action Ink,"high-contrast manga action panel, bold speed lines, explosive ink strokes, dramatic foreshortening, sharp black shadows","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0024 | Anime/Manga Romance,"romance manga illustration, delicate ink lines, soft screentone gradients, sparkling background accents, tender emotional framing","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0025 | Anime/Manga Horror,"horror manga illustration, dense black inks, unsettling close framing, scratchy texture, eerie shadows, psychological dread","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0026 | Anime/Watercolor Anime,"watercolor anime illustration, translucent washes, soft pencil outlines, dreamy pastel lighting, delicate handcrafted texture","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0027 | Anime/Ink Wash Anime,"anime ink wash illustration, sumi-e inspired brush texture, restrained monochrome palette, atmospheric negative space, elegant forms","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0028 | Anime/Painterly Anime,"painterly anime concept art, visible brush strokes, rich lighting, detailed character rendering, cinematic fantasy atmosphere","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0029 | Anime/High Detail Key Visual,"anime key visual poster, polished character rendering, dramatic lighting, layered background depth, vivid promotional composition","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0030 | Anime/Opening Sequence,"anime opening sequence frame, energetic camera angle, bright rim light, flowing motion, bold color design, iconic pose","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
0031 | Anime/Ending Sequence Soft,"soft anime ending sequence image, quiet reflective mood, sunset colors, gentle breeze, simple emotional composition","low quality, blurry, muddy details, bad anatomy, distorted proportions, extra limbs, fused fingers, text, watermark, logo, jpeg artifacts, oversaturated, underexposed, overexposed, deformed face, messy linework, weak cel shading",Anime,1,
