index,name,prompt,negative_prompt,category,weight,favorite
1,Anatomy Lock,"Lock anatomy throughout the shot: stable body proportions, limbs, hands, fingers, face, and joints.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Stability Locks,1.0,False
2,Identity Lock,"Lock the subject identity throughout: preserve face, age, skin tone, body proportions, and distinctive features.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Stability Locks,1.0,False
3,Pose Lock,Hold the established pose until the named action begins; do not reset or invent a new pose.,"identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Stability Locks,1.0,False
4,Outfit Lock,"Lock garment type, color, material, fit, construction, straps, closures, trim, and layering.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Stability Locks,1.0,False
5,Hair Lock,"Lock hairstyle, length, color, parting, accessories, and overall silhouette throughout.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Stability Locks,1.0,False
6,Expression Lock,Preserve the specified expression and gaze unless one explicit expression change is requested.,"identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Stability Locks,1.0,False
7,Environment Lock,"Preserve location, background, furniture, weather, lighting, object positions, and spatial layout.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Stability Locks,1.0,False
8,Props Lock,"Preserve every named prop, its appearance, hand ownership, position, and orientation.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Stability Locks,1.0,False
9,Secondary Characters Lock,"Preserve all non-target characters, their identities, outfits, positions, and actions.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Stability Locks,1.0,False
10,Left/Right Orientation Lock,"Preserve left-right orientation for the subject, props, clothing details, and direction of travel.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Stability Locks,1.0,False
11,Camera Path Lock,"Follow the specified camera path once with stable speed, axis, horizon, and framing.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Stability Locks,1.0,False
12,Audio Continuity Lock,"Preserve audio source, tempo, ambience, dialogue timing, and level continuity through the clip.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Stability Locks,1.0,False
13,Lighting Lock,"Preserve light direction, color, intensity, shadow structure, and time of day.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Stability Locks,1.0,False
14,Final-Frame Handoff Lock,"Protect the final 1–2 seconds: stabilize identity, anatomy, pose, camera, lighting, and background for continuation.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Stability Locks,1.0,False
15,Core Subject Lock Block,"Lock identity, anatomy, outfit, hair, expression, and left-right orientation for the full shot.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Stability Locks,1.0,False
16,Scene Lock Block,"Lock environment, props, secondary characters, lighting, weather, and object positions.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Stability Locks,1.0,False
17,Camera Lock Block,"Lock the planned camera path, speed, amplitude, axis, horizon, and final framing.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Stability Locks,1.0,False
18,Audio Lock Block,"Lock dialogue timing, music style, ambience, tempo, and audio level continuity.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Stability Locks,1.0,False
19,Fashion Stability Block,"Lock identity, anatomy, outfit construction, color, material, footwear, jewelry, hair, and makeup.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Stability Locks,1.0,False
20,Dialogue Stability Block,"Lock identity, facial anatomy, gaze, expression, lip sync, voice timing, camera axis, and room tone.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Stability Locks,1.0,False
21,Action Stability Block,"Lock identity, anatomy, direction of travel, contact points, held props, outfit, and camera path.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Stability Locks,1.0,False
22,Reference Replacement Lock,"Replace only the named target while preserving non-target characters, scene, props, staging, lighting, and camera behavior.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Stability Locks,1.0,False
23,Multi-Reference Identity Lock,"Treat all supplied same-person images as complementary views of one identity, not multiple characters.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Stability Locks,1.0,False
24,Full Continuity Lock,"Lock subject, scene, props, secondary characters, camera path, audio, lighting, and final-frame handoff.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Stability Locks,1.0,False
