index,name,prompt,negative_prompt,category,weight,favorite
1,Scene 1 — Establish,"SCENE 1 — ESTABLISH: introduce the subject, location, outfit, lighting, and starting pose in one clear shot. Use one simple camera move and end stable.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Director 4 Scenes,1.0,False
2,Scene 2 — Continue,"SCENE 2 — CONTINUE: begin from Scene 1's exact final frame. Preserve identity, outfit, scene, direction, camera momentum, and audio bed; perform one next action.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Director 4 Scenes,1.0,False
3,Scene 3 — Continue,"SCENE 3 — CONTINUE: begin from Scene 2's exact final frame, continue the chronology without reset, and prepare a clean path to the final scene.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Director 4 Scenes,1.0,False
4,Scene 4 — Final,"SCENE 4 — FINAL: begin from Scene 3's exact final frame, complete the sequence, decelerate motion, and hold the final composition for 2 seconds.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Director 4 Scenes,1.0,False
5,Scene 1 — Portrait Establish,"SCENE 1: establish a medium portrait, locked identity and styling, subtle push-in, quiet ambience, and a stable 1-second ending.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Director 4 Scenes,1.0,False
6,Scene 2 — Portrait Turn,SCENE 2: continue the exact frame; the subject makes one slow three-quarter turn while the camera path and lighting remain unchanged.,"identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Director 4 Scenes,1.0,False
7,Scene 3 — Portrait Close-Up,"SCENE 3: continue naturally into one gentle close-up, preserving expression, hair, makeup, and background.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Director 4 Scenes,1.0,False
8,Scene 4 — Portrait Final,"SCENE 4: settle on the final close-up, soften movement, preserve eye line, and hold for 2 seconds.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Director 4 Scenes,1.0,False
9,Scene 1 — Fashion Establish,"SCENE 1: establish the complete fashion look in a full-body frame with identity, outfit, footwear, accessories, hair, and lighting locked.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Director 4 Scenes,1.0,False
10,Scene 2 — Fashion Walk,SCENE 2: continue from the exact frame; perform one short controlled walk while the camera tracks at matched speed.,"identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Director 4 Scenes,1.0,False
11,Scene 3 — Fashion Turn,SCENE 3: continue the walk into one slow turn that reveals garment drape; do not change styling.,"identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Director 4 Scenes,1.0,False
12,Scene 4 — Fashion Final,"SCENE 4: complete the turn, settle into one final pose, and hold the full look stable for 2 seconds.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Director 4 Scenes,1.0,False
13,Scene 1 — Product Establish,"SCENE 1: establish the product, surface, lighting, label, material, and starting macro composition.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Director 4 Scenes,1.0,False
