name,prompt,negative_prompt,category,weight,favorite
0001 | Pose/Kneeling/Half-Kneeling/Half-Kneeling — left knee on the support plane — spine vertical,"left knee on the support plane, right foot planted ahead, right knee bent at a right angle, torso vertical; spine vertical, shoulders level, chin neutral; clear joint alignment; distinct limb separation","both knees on the support plane, standing posture, seated posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Half-Kneeling,1,False
0002 | Pose/Kneeling/Half-Kneeling/Half-Kneeling — left knee on the support plane — chin slightly lowered,"left knee on the support plane, right foot planted ahead, right knee bent at a right angle, torso vertical; chin slightly lowered, neck long; clear joint alignment; distinct limb separation","both knees on the support plane, standing posture, seated posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Half-Kneeling,1,False
0003 | Pose/Kneeling/Half-Kneeling/Half-Kneeling — left knee on the support plane — chin slightly raised,"left knee on the support plane, right foot planted ahead, right knee bent at a right angle, torso vertical; chin slightly raised, neck long; clear joint alignment; distinct limb separation","both knees on the support plane, standing posture, seated posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Half-Kneeling,1,False
0004 | Pose/Kneeling/Half-Kneeling/Half-Kneeling — left knee on the support plane — head tilted slightly left,"left knee on the support plane, right foot planted ahead, right knee bent at a right angle, torso vertical; head tilted slightly left; clear joint alignment; distinct limb separation","both knees on the support plane, standing posture, seated posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Half-Kneeling,1,False
0005 | Pose/Kneeling/Half-Kneeling/Half-Kneeling — left knee on the support plane — head tilted slightly right,"left knee on the support plane, right foot planted ahead, right knee bent at a right angle, torso vertical; head tilted slightly right; clear joint alignment; distinct limb separation","both knees on the support plane, standing posture, seated posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Half-Kneeling,1,False
0006 | Pose/Kneeling/Half-Kneeling/Half-Kneeling — left knee on the support plane — head rotated slightly left,"left knee on the support plane, right foot planted ahead, right knee bent at a right angle, torso vertical; head rotated slightly left, pelvis stable; clear joint alignment; distinct limb separation","both knees on the support plane, standing posture, seated posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Half-Kneeling,1,False
0007 | Pose/Kneeling/Half-Kneeling/Half-Kneeling — left knee on the support plane — head rotated slightly right,"left knee on the support plane, right foot planted ahead, right knee bent at a right angle, torso vertical; head rotated slightly right, pelvis stable; clear joint alignment; distinct limb separation","both knees on the support plane, standing posture, seated posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Half-Kneeling,1,False
0008 | Pose/Kneeling/Half-Kneeling/Half-Kneeling — left knee on the support plane — ribcage rotated slightly left,"left knee on the support plane, right foot planted ahead, right knee bent at a right angle, torso vertical; ribcage rotated slightly left, hips facing forward; clear joint alignment; distinct limb separation","both knees on the support plane, standing posture, seated posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Half-Kneeling,1,False
0009 | Pose/Kneeling/Half-Kneeling/Half-Kneeling — left knee on the support plane — ribcage rotated slightly right,"left knee on the support plane, right foot planted ahead, right knee bent at a right angle, torso vertical; ribcage rotated slightly right, hips facing forward; clear joint alignment; distinct limb separation","both knees on the support plane, standing posture, seated posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Half-Kneeling,1,False
0010 | Pose/Kneeling/Half-Kneeling/Half-Kneeling — left knee on the support plane — torso inclined slightly forward with a long spine,"left knee on the support plane, right foot planted ahead, right knee bent at a right angle, torso vertical; torso inclined slightly forward with a long spine; clear joint alignment; distinct limb separation","both knees on the support plane, standing posture, seated posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Half-Kneeling,1,False
0011 | Pose/Kneeling/Half-Kneeling/Half-Kneeling — left knee on the support plane — torso inclined slightly backward with abdominal support,"left knee on the support plane, right foot planted ahead, right knee bent at a right angle, torso vertical; torso inclined slightly backward with abdominal support; clear joint alignment; distinct limb separation","both knees on the support plane, standing posture, seated posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Half-Kneeling,1,False
0012 | Pose/Kneeling/Half-Kneeling/Half-Kneeling — left knee on the support plane — left shoulder slightly higher than the right,"left knee on the support plane, right foot planted ahead, right knee bent at a right angle, torso vertical; left shoulder slightly higher than the right; clear joint alignment; distinct limb separation","both knees on the support plane, standing posture, seated posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Half-Kneeling,1,False
0013 | Pose/Kneeling/Half-Kneeling/Half-Kneeling — left knee on the support plane — right shoulder slightly higher than the left,"left knee on the support plane, right foot planted ahead, right knee bent at a right angle, torso vertical; right shoulder slightly higher than the left; clear joint alignment; distinct limb separation","both knees on the support plane, standing posture, seated posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Half-Kneeling,1,False
0014 | Pose/Kneeling/Half-Kneeling/Half-Kneeling — left knee on the support plane — shoulders gently drawn back,"left knee on the support plane, right foot planted ahead, right knee bent at a right angle, torso vertical; shoulders gently drawn back; clear joint alignment; distinct limb separation","both knees on the support plane, standing posture, seated posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Half-Kneeling,1,False
0015 | Pose/Kneeling/Half-Kneeling/Half-Kneeling — left knee on the support plane — shoulders relaxed and lowered,"left knee on the support plane, right foot planted ahead, right knee bent at a right angle, torso vertical; shoulders relaxed and lowered; clear joint alignment; distinct limb separation","both knees on the support plane, standing posture, seated posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Half-Kneeling,1,False
0016 | Pose/Kneeling/Half-Kneeling/Half-Kneeling — left knee on the support plane — pelvis shifted slightly left with torso counterbalance,"left knee on the support plane, right foot planted ahead, right knee bent at a right angle, torso vertical; pelvis shifted slightly left with torso counterbalance; clear joint alignment; distinct limb separation","both knees on the support plane, standing posture, seated posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Half-Kneeling,1,False
0017 | Pose/Kneeling/Half-Kneeling/Half-Kneeling — left knee on the support plane — pelvis shifted slightly right with torso counterbalance,"left knee on the support plane, right foot planted ahead, right knee bent at a right angle, torso vertical; pelvis shifted slightly right with torso counterbalance; clear joint alignment; distinct limb separation","both knees on the support plane, standing posture, seated posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Half-Kneeling,1,False
0018 | Pose/Kneeling/Half-Kneeling/Half-Kneeling — left knee on the support plane — upper back gently rounded,"left knee on the support plane, right foot planted ahead, right knee bent at a right angle, torso vertical; upper back gently rounded; clear joint alignment; distinct limb separation","both knees on the support plane, standing posture, seated posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Half-Kneeling,1,False
0019 | Pose/Kneeling/Half-Kneeling/Half-Kneeling — left knee on the support plane — upper back gently extended,"left knee on the support plane, right foot planted ahead, right knee bent at a right angle, torso vertical; upper back gently extended; clear joint alignment; distinct limb separation","both knees on the support plane, standing posture, seated posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Kneeling/Half-Kneeling,1,False
