name,prompt,negative_prompt,category,weight,favorite
0001 | Adult Female/Elegant Fashion Editor,"adult woman, sophisticated fashion editor, intelligent confident expression, refined modern wardrobe, distinctive sharp bob haircut","child, teen, underage, generic face, identity drift",Adult Female,1.0,True
0002 | Adult Female/Cyberpunk Operative,"adult woman, cyberpunk field operative, focused gaze, practical high-tech clothing, subtle facial scar, distinctive asymmetric hairstyle","child, teen, underage, generic costume, random neon clutter",Adult Female,1.0,False
0003 | Adult Female/Arcane Scholar,"adult woman, arcane scholar, observant eyes, layered academic robes, annotated spellbook, elegant mature presence","child, teen, underage, schoolgirl uniform",Adult Female,1.0,False
0004 | Adult Female/Desert Ranger,"adult woman, desert ranger, sun-weathered confidence, practical scarf and utility clothing, braided dark hair","child, teen, underage, pristine ballroom styling",Adult Female,1.0,False
0005 | Adult Female/Noir Detective,"adult woman, noir detective, composed skeptical expression, tailored trench coat, dark wavy hair, grounded adult presence","child, teen, underage, cheerful cartoon styling",Adult Female,1.0,False
0006 | Adult Female/Space Captain,"adult woman, experienced space captain, commanding posture, fitted mission uniform, distinctive silver-streaked hair","child, teen, underage, helpless pose",Adult Female,1.0,True
0007 | Adult Female/Gothic Aristocrat,"adult woman, gothic aristocrat, pale refined features, dark velvet wardrobe, controlled mysterious expression","child, teen, underage, Halloween costume parody",Adult Female,1.0,False
0008 | Adult Female/Street Photographer,"adult woman, urban street photographer, observant candid energy, practical layered clothing, camera at her side","child, teen, underage, fashion model pose only",Adult Female,1.0,False
0009 | Adult Female/Fantasy Warrior,"adult woman, veteran fantasy warrior, athletic adult build, weathered armor, calm battle-ready expression","child, teen, underage, bikini armor, impractical armor",Adult Female,1.0,False
0010 | Adult Female/Forest Healer,"adult woman, forest healer, warm mature expression, botanical satchel, layered natural fabrics, long textured hair","child, teen, underage, fairy child",Adult Female,1.0,False
0011 | Adult Female/Rock Vocalist,"adult woman, charismatic rock vocalist, strong stage presence, expressive eyes, edgy tailored performance wardrobe","child, teen, underage, generic pop idol",Adult Female,1.0,False
