name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Tilt-Shift Miniature/Tilt-Shift Camera — three-quarter-length crop, 65mm short-portrait lens, rule-of-thirds composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using selective tilt-shift focus and elevated framing to create a controlled miniature-like depth effect while preserving scene geometry; camera far enough back to preserve spatial context; three-quarter-length crop; 65mm short-portrait lens; rule-of-thirds composition; foreground softly separated from the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","actual toy conversion, warped architecture, random blur, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Tilt-Shift Miniature,1,False
"0002 | Perspective/Tilt-Shift Miniature/Tilt-Shift Camera — waist-up crop, 50mm standard lens, slightly off-centre editorial composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using selective tilt-shift focus and elevated framing to create a controlled miniature-like depth effect while preserving scene geometry; close camera distance; waist-up crop; 50mm standard lens; slightly off-centre editorial composition; balanced focus between subject and immediate surroundings; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","actual toy conversion, warped architecture, random blur, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Tilt-Shift Miniature,1,False
"0003 | Perspective/Tilt-Shift Miniature/Tilt-Shift Camera — cinematic landscape framing, 28mm moderately wide lens, centred composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using selective tilt-shift focus and elevated framing to create a controlled miniature-like depth effect while preserving scene geometry; camera distance balanced between subject and environment; cinematic landscape framing; 28mm moderately wide lens; centred composition; deep focus across the visible environment; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","actual toy conversion, warped architecture, random blur, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Tilt-Shift Miniature,1,False
"0004 | Perspective/Tilt-Shift Miniature/Tilt-Shift Camera — full-figure framing, 50mm standard lens, environmental elements framing the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using selective tilt-shift focus and elevated framing to create a controlled miniature-like depth effect while preserving scene geometry; camera far enough back to preserve spatial context; full-figure framing; 50mm standard lens; environmental elements framing the subject; focus weighted toward rear silhouette when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","actual toy conversion, warped architecture, random blur, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Tilt-Shift Miniature,1,False
"0005 | Perspective/Tilt-Shift Miniature/Tilt-Shift Camera — balanced square framing, 135mm telephoto lens, clean negative space around the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using selective tilt-shift focus and elevated framing to create a controlled miniature-like depth effect while preserving scene geometry; camera distance balanced between subject and environment; balanced square framing; 135mm telephoto lens; clean negative space around the subject; focus weighted toward rear silhouette when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","actual toy conversion, warped architecture, random blur, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Tilt-Shift Miniature,1,False
"0006 | Perspective/Tilt-Shift Miniature/Tilt-Shift Camera — vertical editorial framing, 28mm moderately wide lens, foreground-to-background depth layering","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using selective tilt-shift focus and elevated framing to create a controlled miniature-like depth effect while preserving scene geometry; camera far enough back to preserve spatial context; vertical editorial framing; 28mm moderately wide lens; foreground-to-background depth layering; foreground softly separated from the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","actual toy conversion, warped architecture, random blur, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Tilt-Shift Miniature,1,False
"0007 | Perspective/Tilt-Shift Miniature/Tilt-Shift Camera — waist-up crop, 85mm portrait lens, symmetrical visual balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using selective tilt-shift focus and elevated framing to create a controlled miniature-like depth effect while preserving scene geometry; wide scene distance; waist-up crop; 85mm portrait lens; symmetrical visual balance; foreground softly separated from the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","actual toy conversion, warped architecture, random blur, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Tilt-Shift Miniature,1,False
"0008 | Perspective/Tilt-Shift Miniature/Tilt-Shift Camera — vertical editorial framing, 85mm portrait lens, clean negative space around the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using selective tilt-shift focus and elevated framing to create a controlled miniature-like depth effect while preserving scene geometry; close camera distance; vertical editorial framing; 85mm portrait lens; clean negative space around the subject; foreground softly separated from the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","actual toy conversion, warped architecture, random blur, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Tilt-Shift Miniature,1,False
"0009 | Perspective/Tilt-Shift Miniature/Tilt-Shift Camera — vertical editorial framing, 105mm compressed portrait lens, rule-of-thirds composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using selective tilt-shift focus and elevated framing to create a controlled miniature-like depth effect while preserving scene geometry; close camera distance; vertical editorial framing; 105mm compressed portrait lens; rule-of-thirds composition; shallow depth of field with clean subject separation; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","actual toy conversion, warped architecture, random blur, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Tilt-Shift Miniature,1,False
"0010 | Perspective/Tilt-Shift Miniature/Tilt-Shift Camera — vertical editorial framing, 105mm compressed portrait lens, asymmetrical cinematic balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using selective tilt-shift focus and elevated framing to create a controlled miniature-like depth effect while preserving scene geometry; camera close enough to retain material texture; vertical editorial framing; 105mm compressed portrait lens; asymmetrical cinematic balance; balanced focus between subject and immediate surroundings; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","actual toy conversion, warped architecture, random blur, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Tilt-Shift Miniature,1,False
"0011 | Perspective/Tilt-Shift Miniature/Tilt-Shift Camera — balanced square framing, 65mm short-portrait lens, foreground-to-background depth layering","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using selective tilt-shift focus and elevated framing to create a controlled miniature-like depth effect while preserving scene geometry; conversational camera distance; balanced square framing; 65mm short-portrait lens; foreground-to-background depth layering; deep focus across the visible environment; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","actual toy conversion, warped architecture, random blur, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Tilt-Shift Miniature,1,False
"0012 | Perspective/Tilt-Shift Miniature/Tilt-Shift Camera — vertical editorial framing, 40mm natural-perspective lens, slightly off-centre editorial composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using selective tilt-shift focus and elevated framing to create a controlled miniature-like depth effect while preserving scene geometry; environmental portrait distance; vertical editorial framing; 40mm natural-perspective lens; slightly off-centre editorial composition; deep focus across the visible environment; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","actual toy conversion, warped architecture, random blur, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Tilt-Shift Miniature,1,False
"0013 | Perspective/Tilt-Shift Miniature/Tilt-Shift Camera — three-quarter-length crop, 40mm natural-perspective lens, foreground-to-background depth layering","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using selective tilt-shift focus and elevated framing to create a controlled miniature-like depth effect while preserving scene geometry; camera distance balanced between subject and environment; three-quarter-length crop; 40mm natural-perspective lens; foreground-to-background depth layering; moderate depth of field retaining nearby context; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","actual toy conversion, warped architecture, random blur, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Tilt-Shift Miniature,1,False
"0014 | Perspective/Tilt-Shift Miniature/Tilt-Shift Camera — balanced square framing, 105mm compressed portrait lens, symmetrical visual balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using selective tilt-shift focus and elevated framing to create a controlled miniature-like depth effect while preserving scene geometry; camera close enough to retain material texture; balanced square framing; 105mm compressed portrait lens; symmetrical visual balance; balanced focus between subject and immediate surroundings; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","actual toy conversion, warped architecture, random blur, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Tilt-Shift Miniature,1,False
