name,category,prompt,negative_prompt
none,Control,,
random,Control,,
Parked Display — Clear Readable Interaction 001,Parked Display,"the selected car parked for a static display, clear readable interaction; keep the selected character and selected car visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Street Driving — Clear Readable Interaction 002,Street Driving,"the selected car driving through a street, clear readable interaction; keep the selected character and selected car visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Highway Rolling — Clear Readable Interaction 003,Highway Rolling,"the selected car captured in a highway rolling shot, clear readable interaction; keep the selected character and selected car visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Circuit Racing — Clear Readable Interaction 004,Circuit Racing,"the selected car racing through a circuit corner, clear readable interaction; keep the selected character and selected car visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Rally Driving — Clear Readable Interaction 005,Rally Driving,"the selected car charging through a rally stage, clear readable interaction; keep the selected character and selected car visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Drifting — Clear Readable Interaction 006,Drifting,"the selected car holding a controlled drift, clear readable interaction; keep the selected character and selected car visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Burnout — Clear Readable Interaction 007,Burnout,"the selected car performing a tyre burnout, clear readable interaction; keep the selected character and selected car visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Drag Launch — Clear Readable Interaction 008,Drag Launch,"the selected car launching from a drag strip, clear readable interaction; keep the selected character and selected car visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Pit Lane — Clear Readable Interaction 009,Pit Lane,"the selected car waiting in pit lane, clear readable interaction; keep the selected character and selected car visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Petrol Station — Clear Readable Interaction 010,Petrol Station,"the selected car stopped beside petrol pumps, clear readable interaction; keep the selected character and selected car visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Car Meet — Clear Readable Interaction 011,Car Meet,"the selected car displayed at a car meet, clear readable interaction; keep the selected character and selected car visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Doors — Clear Readable Interaction 012,Doors,"the selected character opening or closing the selected car's door, clear readable interaction; keep the selected character and selected car visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Entering And Exiting — Clear Readable Interaction 013,Entering And Exiting,"the selected character entering or exiting the vehicle, clear readable interaction; keep the selected character and selected car visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Bonnet Interaction — Clear Readable Interaction 014,Bonnet Interaction,"the selected character sitting on the bonnet (hood), clear readable interaction; keep the selected character and selected car visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Beside Vehicle — Clear Readable Interaction 015,Beside Vehicle,"the selected character leaning against or standing beside the car, clear readable interaction; keep the selected character and selected car visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Under Bonnet — Clear Readable Interaction 016,Under Bonnet,"the selected character working under the open bonnet (hood), clear readable interaction; keep the selected character and selected car visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Washing And Detailing — Clear Readable Interaction 017,Washing And Detailing,"the selected character washing and detailing the selected car, clear readable interaction; keep the selected character and selected car visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Refuelling — Clear Readable Interaction 018,Refuelling,"the selected character refuelling the selected car, clear readable interaction; keep the selected character and selected car visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Cockpit Driving — Clear Readable Interaction 019,Cockpit Driving,"the selected character driving from inside the cockpit, clear readable interaction; keep the selected character and selected car visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Loading Luggage — Clear Readable Interaction 020,Loading Luggage,"the selected character loading luggage into the selected car, clear readable interaction; keep the selected character and selected car visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Roadside Breakdown — Clear Readable Interaction 021,Roadside Breakdown,"the selected character inspecting the selected car during a roadside breakdown, clear readable interaction; keep the selected character and selected car visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Police Pursuit — Clear Readable Interaction 022,Police Pursuit,"the selected car involved in a police pursuit, clear readable interaction; keep the selected character and selected car visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Cinematic Arrival — Clear Readable Interaction 023,Cinematic Arrival,"the selected car making a cinematic arrival, clear readable interaction; keep the selected character and selected car visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Cinematic Departure — Clear Readable Interaction 024,Cinematic Departure,"the selected car making a cinematic departure, clear readable interaction; keep the selected character and selected car visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Parked Display — Natural Body Language 025,Parked Display,"the selected car parked for a static display, natural body language; keep the selected character and selected car visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Street Driving — Natural Body Language 026,Street Driving,"the selected car driving through a street, natural body language; keep the selected character and selected car visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
