name,prompt,negative_prompt,category,weight,favorite
0001 | Pose/Balance/Flexibility/Advanced Balance and Flexibility — weight supported by the left foot — head level,"weight supported by the left foot, right leg extended straight sideways at hip height, both arms extended for balance; head level, chin neutral, gaze fixed forward; clear joint alignment; distinct limb separation","collapsed balance, unsupported floating limbs, altered supporting contact points, standing with both feet grounded, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Balance/Flexibility,1,False
0002 | Pose/Balance/Flexibility/Advanced Balance and Flexibility — weight supported by the left foot — chin slightly lowered,"weight supported by the left foot, right leg extended straight sideways at hip height, both arms extended for balance; chin slightly lowered, gaze fixed downward; clear joint alignment; distinct limb separation","collapsed balance, unsupported floating limbs, altered supporting contact points, standing with both feet grounded, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Balance/Flexibility,1,False
0003 | Pose/Balance/Flexibility/Advanced Balance and Flexibility — weight supported by the left foot — chin slightly raised,"weight supported by the left foot, right leg extended straight sideways at hip height, both arms extended for balance; chin slightly raised, gaze fixed upward; clear joint alignment; distinct limb separation","collapsed balance, unsupported floating limbs, altered supporting contact points, standing with both feet grounded, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Balance/Flexibility,1,False
0004 | Pose/Balance/Flexibility/Advanced Balance and Flexibility — weight supported by the left foot — head rotated slightly left,"weight supported by the left foot, right leg extended straight sideways at hip height, both arms extended for balance; head rotated slightly left, balance maintained; clear joint alignment; distinct limb separation","collapsed balance, unsupported floating limbs, altered supporting contact points, standing with both feet grounded, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Balance/Flexibility,1,False
0005 | Pose/Balance/Flexibility/Advanced Balance and Flexibility — weight supported by the left foot — head rotated slightly right,"weight supported by the left foot, right leg extended straight sideways at hip height, both arms extended for balance; head rotated slightly right, balance maintained; clear joint alignment; distinct limb separation","collapsed balance, unsupported floating limbs, altered supporting contact points, standing with both feet grounded, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Balance/Flexibility,1,False
0006 | Pose/Balance/Flexibility/Advanced Balance and Flexibility — weight supported by the left foot — arms held symmetrically for balance,"weight supported by the left foot, right leg extended straight sideways at hip height, both arms extended for balance; arms held symmetrically for balance; clear joint alignment; distinct limb separation","collapsed balance, unsupported floating limbs, altered supporting contact points, standing with both feet grounded, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Balance/Flexibility,1,False
0007 | Pose/Balance/Flexibility/Advanced Balance and Flexibility — weight supported by the left foot — arms held asymmetrically for balance,"weight supported by the left foot, right leg extended straight sideways at hip height, both arms extended for balance; arms held asymmetrically for balance; clear joint alignment; distinct limb separation","collapsed balance, unsupported floating limbs, altered supporting contact points, standing with both feet grounded, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Balance/Flexibility,1,False
0008 | Pose/Balance/Flexibility/Advanced Balance and Flexibility — weight supported by the left foot — shoulders level,"weight supported by the left foot, right leg extended straight sideways at hip height, both arms extended for balance; shoulders level, ribcage centred over the supporting limb; clear joint alignment; distinct limb separation","collapsed balance, unsupported floating limbs, altered supporting contact points, standing with both feet grounded, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Balance/Flexibility,1,False
0009 | Pose/Balance/Flexibility/Advanced Balance and Flexibility — weight supported by the left foot — left shoulder slightly higher,"weight supported by the left foot, right leg extended straight sideways at hip height, both arms extended for balance; left shoulder slightly higher, pelvis counterbalanced; clear joint alignment; distinct limb separation","collapsed balance, unsupported floating limbs, altered supporting contact points, standing with both feet grounded, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Balance/Flexibility,1,False
0010 | Pose/Balance/Flexibility/Advanced Balance and Flexibility — weight supported by the left foot — right shoulder slightly higher,"weight supported by the left foot, right leg extended straight sideways at hip height, both arms extended for balance; right shoulder slightly higher, pelvis counterbalanced; clear joint alignment; distinct limb separation","collapsed balance, unsupported floating limbs, altered supporting contact points, standing with both feet grounded, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Balance/Flexibility,1,False
0011 | Pose/Balance/Flexibility/Advanced Balance and Flexibility — weight supported by the left foot — ribcage rotated slightly left,"weight supported by the left foot, right leg extended straight sideways at hip height, both arms extended for balance; ribcage rotated slightly left, supporting limb stable; clear joint alignment; distinct limb separation","collapsed balance, unsupported floating limbs, altered supporting contact points, standing with both feet grounded, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Balance/Flexibility,1,False
0012 | Pose/Balance/Flexibility/Advanced Balance and Flexibility — weight supported by the left foot — ribcage rotated slightly right,"weight supported by the left foot, right leg extended straight sideways at hip height, both arms extended for balance; ribcage rotated slightly right, supporting limb stable; clear joint alignment; distinct limb separation","collapsed balance, unsupported floating limbs, altered supporting contact points, standing with both feet grounded, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Balance/Flexibility,1,False
