name,prompt,negative_prompt,category,weight,favorite
0001 | Pose/Compact/Curled/Compact Curled Pose — pelvis on the support plane — head level,"pelvis on the support plane, both knees drawn tightly toward the torso, arms wrapped around the shins, upper back rounded; head level, chin neutral, shoulders relaxed; clear joint alignment; distinct limb separation","spine fully extended, wide open stance, standing posture, limbs spread far apart, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Compact/Curled,1,False
0002 | Pose/Compact/Curled/Compact Curled Pose — pelvis on the support plane — chin slightly lowered,"pelvis on the support plane, both knees drawn tightly toward the torso, arms wrapped around the shins, upper back rounded; chin slightly lowered, neck long; clear joint alignment; distinct limb separation","spine fully extended, wide open stance, standing posture, limbs spread far apart, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Compact/Curled,1,False
0003 | Pose/Compact/Curled/Compact Curled Pose — pelvis on the support plane — chin slightly raised,"pelvis on the support plane, both knees drawn tightly toward the torso, arms wrapped around the shins, upper back rounded; chin slightly raised, neck long; clear joint alignment; distinct limb separation","spine fully extended, wide open stance, standing posture, limbs spread far apart, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Compact/Curled,1,False
0004 | Pose/Compact/Curled/Compact Curled Pose — pelvis on the support plane — head rotated slightly left,"pelvis on the support plane, both knees drawn tightly toward the torso, arms wrapped around the shins, upper back rounded; head rotated slightly left; clear joint alignment; distinct limb separation","spine fully extended, wide open stance, standing posture, limbs spread far apart, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Compact/Curled,1,False
0005 | Pose/Compact/Curled/Compact Curled Pose — pelvis on the support plane — head rotated slightly right,"pelvis on the support plane, both knees drawn tightly toward the torso, arms wrapped around the shins, upper back rounded; head rotated slightly right; clear joint alignment; distinct limb separation","spine fully extended, wide open stance, standing posture, limbs spread far apart, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Compact/Curled,1,False
0006 | Pose/Compact/Curled/Compact Curled Pose — pelvis on the support plane — left shoulder slightly closer to the support plane,"pelvis on the support plane, both knees drawn tightly toward the torso, arms wrapped around the shins, upper back rounded; left shoulder slightly closer to the support plane; clear joint alignment; distinct limb separation","spine fully extended, wide open stance, standing posture, limbs spread far apart, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Compact/Curled,1,False
0007 | Pose/Compact/Curled/Compact Curled Pose — pelvis on the support plane — right shoulder slightly closer to the support plane,"pelvis on the support plane, both knees drawn tightly toward the torso, arms wrapped around the shins, upper back rounded; right shoulder slightly closer to the support plane; clear joint alignment; distinct limb separation","spine fully extended, wide open stance, standing posture, limbs spread far apart, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Compact/Curled,1,False
0008 | Pose/Compact/Curled/Compact Curled Pose — pelvis on the support plane — ribcage rotated slightly left while the pelvis remains stable,"pelvis on the support plane, both knees drawn tightly toward the torso, arms wrapped around the shins, upper back rounded; ribcage rotated slightly left while the pelvis remains stable; clear joint alignment; distinct limb separation","spine fully extended, wide open stance, standing posture, limbs spread far apart, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Compact/Curled,1,False
0009 | Pose/Compact/Curled/Compact Curled Pose — pelvis on the support plane — ribcage rotated slightly right while the pelvis remains stable,"pelvis on the support plane, both knees drawn tightly toward the torso, arms wrapped around the shins, upper back rounded; ribcage rotated slightly right while the pelvis remains stable; clear joint alignment; distinct limb separation","spine fully extended, wide open stance, standing posture, limbs spread far apart, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Compact/Curled,1,False
0010 | Pose/Compact/Curled/Compact Curled Pose — pelvis on the support plane — pelvis shifted slightly left with the spine lengthened,"pelvis on the support plane, both knees drawn tightly toward the torso, arms wrapped around the shins, upper back rounded; pelvis shifted slightly left with the spine lengthened; clear joint alignment; distinct limb separation","spine fully extended, wide open stance, standing posture, limbs spread far apart, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Compact/Curled,1,False
