name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Wide Establishing/Wide Establishing Camera — balanced square framing, 65mm short-portrait lens, centred composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned far enough away to establish the complete environment and spatial geography before fine subject detail; full-figure camera distance; balanced square framing; 65mm short-portrait lens; centred composition; focus weighted toward clothing and surface texture; coherent camera-to-scene geometry","extreme close-up, cropped environment, flattened scene depth, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Wide Establishing,1,False
"0002 | Perspective/Wide Establishing/Wide Establishing Camera — balanced square framing, 35mm environmental lens, centred composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned far enough away to establish the complete environment and spatial geography before fine subject detail; moderate camera distance; balanced square framing; 35mm environmental lens; centred composition; shallow depth of field with clean subject separation; coherent camera-to-scene geometry","extreme close-up, cropped environment, flattened scene depth, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Wide Establishing,1,False
"0003 | Perspective/Wide Establishing/Wide Establishing Camera — tight portrait crop, 35mm environmental lens, foreground-to-background depth layering","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned far enough away to establish the complete environment and spatial geography before fine subject detail; intimate portrait distance; tight portrait crop; 35mm environmental lens; foreground-to-background depth layering; clean edge separation around the subject; coherent camera-to-scene geometry","extreme close-up, cropped environment, flattened scene depth, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Wide Establishing,1,False
"0004 | Perspective/Wide Establishing/Wide Establishing Camera — three-quarter-length crop, 24mm wide-angle lens with controlled edge distortion, symmetrical visual balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned far enough away to establish the complete environment and spatial geography before fine subject detail; intimate portrait distance; three-quarter-length crop; 24mm wide-angle lens with controlled edge distortion; symmetrical visual balance; foreground softly separated from the subject; coherent camera-to-scene geometry","extreme close-up, cropped environment, flattened scene depth, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Wide Establishing,1,False
"0005 | Perspective/Wide Establishing/Wide Establishing Camera — vertical editorial framing, 50mm standard lens, foreground-to-background depth layering","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned far enough away to establish the complete environment and spatial geography before fine subject detail; camera far enough back to preserve spatial context; vertical editorial framing; 50mm standard lens; foreground-to-background depth layering; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","extreme close-up, cropped environment, flattened scene depth, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Wide Establishing,1,False
"0006 | Perspective/Wide Establishing/Wide Establishing Camera — three-quarter-length crop, 70mm short-telephoto lens, symmetrical visual balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned far enough away to establish the complete environment and spatial geography before fine subject detail; intimate portrait distance; three-quarter-length crop; 70mm short-telephoto lens; symmetrical visual balance; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","extreme close-up, cropped environment, flattened scene depth, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Wide Establishing,1,False
"0007 | Perspective/Wide Establishing/Wide Establishing Camera — full-figure framing, 35mm environmental lens, strong leading lines toward the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned far enough away to establish the complete environment and spatial geography before fine subject detail; camera distance balanced between subject and environment; full-figure framing; 35mm environmental lens; strong leading lines toward the subject; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","extreme close-up, cropped environment, flattened scene depth, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Wide Establishing,1,False
"0008 | Perspective/Wide Establishing/Wide Establishing Camera — head-and-shoulders crop, 50mm standard lens, rule-of-thirds composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned far enough away to establish the complete environment and spatial geography before fine subject detail; moderate camera distance; head-and-shoulders crop; 50mm standard lens; rule-of-thirds composition; focus locked on the primary subject; coherent camera-to-scene geometry","extreme close-up, cropped environment, flattened scene depth, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Wide Establishing,1,False
"0009 | Perspective/Wide Establishing/Wide Establishing Camera — vertical editorial framing, 35mm environmental lens, clean negative space around the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned far enough away to establish the complete environment and spatial geography before fine subject detail; conversational camera distance; vertical editorial framing; 35mm environmental lens; clean negative space around the subject; focus weighted toward facial detail when visible; coherent camera-to-scene geometry","extreme close-up, cropped environment, flattened scene depth, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Wide Establishing,1,False
"0010 | Perspective/Wide Establishing/Wide Establishing Camera — three-quarter-length crop, 65mm short-portrait lens, clean negative space around the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned far enough away to establish the complete environment and spatial geography before fine subject detail; camera far enough back to preserve spatial context; three-quarter-length crop; 65mm short-portrait lens; clean negative space around the subject; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","extreme close-up, cropped environment, flattened scene depth, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Wide Establishing,1,False
