index,name,prompt,negative_prompt,category,weight,favorite
1,Soft Black,"Color <Subject 1>'s hair soft black; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
2,Soft Soft Black,"Color <Subject 1>'s hair soft soft black; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
3,Soft Espresso Brown,"Color <Subject 1>'s hair soft espresso brown; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
4,Soft Dark Chocolate Brown,"Color <Subject 1>'s hair soft dark chocolate brown; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
5,Soft Chestnut Brown,"Color <Subject 1>'s hair soft chestnut brown; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
6,Soft Mocha Brown,"Color <Subject 1>'s hair soft mocha brown; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
7,Soft Caramel Brown,"Color <Subject 1>'s hair soft caramel brown; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
8,Soft Ash Brown,"Color <Subject 1>'s hair soft ash brown; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
9,Soft Golden Brown,"Color <Subject 1>'s hair soft golden brown; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
10,Soft Auburn,"Color <Subject 1>'s hair soft auburn; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
11,Soft Copper Red,"Color <Subject 1>'s hair soft copper red; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
12,Soft Ginger Red,"Color <Subject 1>'s hair soft ginger red; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
13,Soft Strawberry Blonde,"Color <Subject 1>'s hair soft strawberry blonde; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
14,Soft Dark Blonde,"Color <Subject 1>'s hair soft dark blonde; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
15,Soft Honey Blonde,"Color <Subject 1>'s hair soft honey blonde; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
16,Soft Golden Blonde,"Color <Subject 1>'s hair soft golden blonde; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
17,Soft Beige Blonde,"Color <Subject 1>'s hair soft beige blonde; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
18,Soft Ash Blonde,"Color <Subject 1>'s hair soft ash blonde; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
19,Soft Platinum Blonde,"Color <Subject 1>'s hair soft platinum blonde; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
20,Soft Silver Grey,"Color <Subject 1>'s hair soft silver grey; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
21,Neutral Black,"Color <Subject 1>'s hair neutral black; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
22,Neutral Soft Black,"Color <Subject 1>'s hair neutral soft black; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
23,Neutral Espresso Brown,"Color <Subject 1>'s hair neutral espresso brown; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
24,Neutral Dark Chocolate Brown,"Color <Subject 1>'s hair neutral dark chocolate brown; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
25,Neutral Chestnut Brown,"Color <Subject 1>'s hair neutral chestnut brown; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
26,Neutral Mocha Brown,"Color <Subject 1>'s hair neutral mocha brown; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
27,Neutral Caramel Brown,"Color <Subject 1>'s hair neutral caramel brown; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
28,Neutral Ash Brown,"Color <Subject 1>'s hair neutral ash brown; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
29,Neutral Golden Brown,"Color <Subject 1>'s hair neutral golden brown; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
30,Neutral Auburn,"Color <Subject 1>'s hair neutral auburn; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Natural Blonde Brunette Red Silver,1.0,False
