name,category,prompt,negative_prompt
none,Control,,
random,Control,,
People / Creative / Fashion Photographer — Young Adult Woman,People / Creative,"adult woman in her twenties, confident and capable, fashion photographer, camera harness, refined workwear, directing a polished editorial shoot, clearly recognisable central human subject, accurate professional or cultural detail, natural anatomy, polished cinematic realism","child, teen, underage, generic identity, duplicate subject, broken anatomy, extra limbs, fused fingers, malformed hands, wrong profession equipment, inaccurate clothing, floating objects, unreadable action, text, watermark, low detail, blur"
People / Creative / Fashion Photographer — Young Adult Man,People / Creative,"adult man in his twenties, confident and capable, fashion photographer, camera harness, refined workwear, directing a polished editorial shoot, clearly recognisable central human subject, accurate professional or cultural detail, natural anatomy, polished cinematic realism","child, teen, underage, generic identity, duplicate subject, broken anatomy, extra limbs, fused fingers, malformed hands, wrong profession equipment, inaccurate clothing, floating objects, unreadable action, text, watermark, low detail, blur"
People / Creative / Fashion Photographer — Mature Woman,People / Creative,"mature adult woman, composed and experienced, fashion photographer, camera harness, refined workwear, directing a polished editorial shoot, clearly recognisable central human subject, accurate professional or cultural detail, natural anatomy, polished cinematic realism","child, teen, underage, generic identity, duplicate subject, broken anatomy, extra limbs, fused fingers, malformed hands, wrong profession equipment, inaccurate clothing, floating objects, unreadable action, text, watermark, low detail, blur"
People / Creative / Fashion Photographer — Mature Man,People / Creative,"mature adult man, composed and experienced, fashion photographer, camera harness, refined workwear, directing a polished editorial shoot, clearly recognisable central human subject, accurate professional or cultural detail, natural anatomy, polished cinematic realism","child, teen, underage, generic identity, duplicate subject, broken anatomy, extra limbs, fused fingers, malformed hands, wrong profession equipment, inaccurate clothing, floating objects, unreadable action, text, watermark, low detail, blur"
People / Creative / Fashion Photographer — Older Woman,People / Creative,"older adult woman, authoritative and characterful, fashion photographer, camera harness, refined workwear, directing a polished editorial shoot, clearly recognisable central human subject, accurate professional or cultural detail, natural anatomy, polished cinematic realism","child, teen, underage, generic identity, duplicate subject, broken anatomy, extra limbs, fused fingers, malformed hands, wrong profession equipment, inaccurate clothing, floating objects, unreadable action, text, watermark, low detail, blur"
People / Creative / Fashion Photographer — Older Man,People / Creative,"older adult man, authoritative and characterful, fashion photographer, camera harness, refined workwear, directing a polished editorial shoot, clearly recognisable central human subject, accurate professional or cultural detail, natural anatomy, polished cinematic realism","child, teen, underage, generic identity, duplicate subject, broken anatomy, extra limbs, fused fingers, malformed hands, wrong profession equipment, inaccurate clothing, floating objects, unreadable action, text, watermark, low detail, blur"
People / Creative / Fashion Photographer — Elegant Woman,People / Creative,"adult woman with polished elegant presence, fashion photographer, camera harness, refined workwear, directing a polished editorial shoot, clearly recognisable central human subject, accurate professional or cultural detail, natural anatomy, polished cinematic realism","child, teen, underage, generic identity, duplicate subject, broken anatomy, extra limbs, fused fingers, malformed hands, wrong profession equipment, inaccurate clothing, floating objects, unreadable action, text, watermark, low detail, blur"
People / Creative / Fashion Photographer — Rugged Man,People / Creative,"adult man with rugged practical presence, fashion photographer, camera harness, refined workwear, directing a polished editorial shoot, clearly recognisable central human subject, accurate professional or cultural detail, natural anatomy, polished cinematic realism","child, teen, underage, generic identity, duplicate subject, broken anatomy, extra limbs, fused fingers, malformed hands, wrong profession equipment, inaccurate clothing, floating objects, unreadable action, text, watermark, low detail, blur"
People / Creative / Fashion Photographer — Androgynous Adult,People / Creative,"androgynous adult with distinctive contemporary presence, fashion photographer, camera harness, refined workwear, directing a polished editorial shoot, clearly recognisable central human subject, accurate professional or cultural detail, natural anatomy, polished cinematic realism","child, teen, underage, generic identity, duplicate subject, broken anatomy, extra limbs, fused fingers, malformed hands, wrong profession equipment, inaccurate clothing, floating objects, unreadable action, text, watermark, low detail, blur"
