name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Third-Person Side/Third-Person Side Camera — waist-up crop, 18mm ultra-wide lens with controlled distortion, centred composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned beside the primary subject like a third-person game camera, preserving the existing scene direction and action; intimate portrait distance; waist-up crop; 18mm ultra-wide lens with controlled distortion; centred composition; focus locked on the primary subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","first-person view, frontal third-person camera, changed action, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Third-Person Side,1,False
"0002 | Perspective/Third-Person Side/Third-Person Side Camera — vertical editorial framing, 35mm environmental lens, minimal uncluttered composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned beside the primary subject like a third-person game camera, preserving the existing scene direction and action; full-figure camera distance; vertical editorial framing; 35mm environmental lens; minimal uncluttered composition; focus weighted toward facial detail when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","first-person view, frontal third-person camera, changed action, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Third-Person Side,1,False
"0003 | Perspective/Third-Person Side/Third-Person Side Camera — full-figure framing, 18mm ultra-wide lens with controlled distortion, minimal uncluttered composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned beside the primary subject like a third-person game camera, preserving the existing scene direction and action; wide scene distance; full-figure framing; 18mm ultra-wide lens with controlled distortion; minimal uncluttered composition; moderate depth of field retaining nearby context; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","first-person view, frontal third-person camera, changed action, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Third-Person Side,1,False
"0004 | Perspective/Third-Person Side/Third-Person Side Camera — waist-up crop, 18mm ultra-wide lens with controlled distortion, minimal uncluttered composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned beside the primary subject like a third-person game camera, preserving the existing scene direction and action; camera far enough back to preserve spatial context; waist-up crop; 18mm ultra-wide lens with controlled distortion; minimal uncluttered composition; clean edge separation around the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","first-person view, frontal third-person camera, changed action, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Third-Person Side,1,False
"0005 | Perspective/Third-Person Side/Third-Person Side Camera — tight crop, 85mm portrait lens, clean negative space around the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned beside the primary subject like a third-person game camera, preserving the existing scene direction and action; close camera distance; tight crop; 85mm portrait lens; clean negative space around the subject; focus locked on the primary subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","first-person view, frontal third-person camera, changed action, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Third-Person Side,1,False
"0006 | Perspective/Third-Person Side/Third-Person Side Camera — head-and-shoulders crop, 85mm portrait lens, foreground-to-background depth layering","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned beside the primary subject like a third-person game camera, preserving the existing scene direction and action; camera distance balanced between subject and environment; head-and-shoulders crop; 85mm portrait lens; foreground-to-background depth layering; clean edge separation around the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","first-person view, frontal third-person camera, changed action, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Third-Person Side,1,False
"0007 | Perspective/Third-Person Side/Third-Person Side Camera — three-quarter-length crop, 24mm wide-angle lens, foreground-to-background depth layering","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned beside the primary subject like a third-person game camera, preserving the existing scene direction and action; camera distance balanced between subject and environment; three-quarter-length crop; 24mm wide-angle lens; foreground-to-background depth layering; shallow depth of field with clean subject separation; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","first-person view, frontal third-person camera, changed action, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Third-Person Side,1,False
"0008 | Perspective/Third-Person Side/Third-Person Side Camera — three-quarter-length crop, 24mm wide-angle lens, asymmetrical cinematic balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned beside the primary subject like a third-person game camera, preserving the existing scene direction and action; camera close enough to retain material texture; three-quarter-length crop; 24mm wide-angle lens; asymmetrical cinematic balance; focus locked on the primary subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","first-person view, frontal third-person camera, changed action, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Third-Person Side,1,False
"0009 | Perspective/Third-Person Side/Third-Person Side Camera — balanced square framing, 85mm portrait lens, symmetrical visual balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned beside the primary subject like a third-person game camera, preserving the existing scene direction and action; intimate portrait distance; balanced square framing; 85mm portrait lens; symmetrical visual balance; focus weighted toward rear silhouette when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","first-person view, frontal third-person camera, changed action, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Third-Person Side,1,False
"0010 | Perspective/Third-Person Side/Third-Person Side Camera — waist-up crop, 85mm portrait lens, foreground-to-background depth layering","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned beside the primary subject like a third-person game camera, preserving the existing scene direction and action; environmental portrait distance; waist-up crop; 85mm portrait lens; foreground-to-background depth layering; shallow depth of field with clean subject separation; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","first-person view, frontal third-person camera, changed action, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Third-Person Side,1,False
