name,prompt,negative_prompt,category,weight,favorite
0001 | Pose/Floor Seated/Legs Extended/Floor Legs Extended — pelvis on the support plane — spine vertical,"pelvis on the support plane, both legs straight forward and together, heels grounded, hands resting beside the pelvis; spine vertical, shoulders level, chin neutral; clear joint alignment; distinct limb separation","standing posture, kneeling posture, both knees fully raised, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Floor Seated/Legs Extended,1,False
0002 | Pose/Floor Seated/Legs Extended/Floor Legs Extended — pelvis on the support plane — spine vertical,"pelvis on the support plane, both legs straight forward and together, heels grounded, hands resting beside the pelvis; spine vertical, chin slightly lowered; clear joint alignment; distinct limb separation","standing posture, kneeling posture, both knees fully raised, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Floor Seated/Legs Extended,1,False
0003 | Pose/Floor Seated/Legs Extended/Floor Legs Extended — pelvis on the support plane — spine vertical,"pelvis on the support plane, both legs straight forward and together, heels grounded, hands resting beside the pelvis; spine vertical, chin slightly raised; clear joint alignment; distinct limb separation","standing posture, kneeling posture, both knees fully raised, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Floor Seated/Legs Extended,1,False
0004 | Pose/Floor Seated/Legs Extended/Floor Legs Extended — pelvis on the support plane — head tilted slightly left,"pelvis on the support plane, both legs straight forward and together, heels grounded, hands resting beside the pelvis; head tilted slightly left, shoulders relaxed; clear joint alignment; distinct limb separation","standing posture, kneeling posture, both knees fully raised, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Floor Seated/Legs Extended,1,False
0005 | Pose/Floor Seated/Legs Extended/Floor Legs Extended — pelvis on the support plane — head tilted slightly right,"pelvis on the support plane, both legs straight forward and together, heels grounded, hands resting beside the pelvis; head tilted slightly right, shoulders relaxed; clear joint alignment; distinct limb separation","standing posture, kneeling posture, both knees fully raised, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Floor Seated/Legs Extended,1,False
0006 | Pose/Floor Seated/Legs Extended/Floor Legs Extended — pelvis on the support plane — head rotated slightly left,"pelvis on the support plane, both legs straight forward and together, heels grounded, hands resting beside the pelvis; head rotated slightly left, pelvis stable; clear joint alignment; distinct limb separation","standing posture, kneeling posture, both knees fully raised, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Floor Seated/Legs Extended,1,False
0007 | Pose/Floor Seated/Legs Extended/Floor Legs Extended — pelvis on the support plane — head rotated slightly right,"pelvis on the support plane, both legs straight forward and together, heels grounded, hands resting beside the pelvis; head rotated slightly right, pelvis stable; clear joint alignment; distinct limb separation","standing posture, kneeling posture, both knees fully raised, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Floor Seated/Legs Extended,1,False
0008 | Pose/Floor Seated/Legs Extended/Floor Legs Extended — pelvis on the support plane — ribcage rotated slightly left,"pelvis on the support plane, both legs straight forward and together, heels grounded, hands resting beside the pelvis; ribcage rotated slightly left, pelvis facing forward; clear joint alignment; distinct limb separation","standing posture, kneeling posture, both knees fully raised, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Floor Seated/Legs Extended,1,False
0009 | Pose/Floor Seated/Legs Extended/Floor Legs Extended — pelvis on the support plane — ribcage rotated slightly right,"pelvis on the support plane, both legs straight forward and together, heels grounded, hands resting beside the pelvis; ribcage rotated slightly right, pelvis facing forward; clear joint alignment; distinct limb separation","standing posture, kneeling posture, both knees fully raised, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Floor Seated/Legs Extended,1,False
0010 | Pose/Floor Seated/Legs Extended/Floor Legs Extended — pelvis on the support plane — torso inclined slightly forward with a long spine,"pelvis on the support plane, both legs straight forward and together, heels grounded, hands resting beside the pelvis; torso inclined slightly forward with a long spine; clear joint alignment; distinct limb separation","standing posture, kneeling posture, both knees fully raised, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Floor Seated/Legs Extended,1,False
