name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Direct Front/Direct Front Camera — cinematic landscape framing, 50mm standard lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly in front of the primary subject, optical axis aligned with the front-facing side of the subject; camera distance balanced between subject and environment; cinematic landscape framing; 50mm standard lens; asymmetrical cinematic balance; focus weighted toward facial detail when visible; coherent camera-to-scene geometry","rear-facing camera placement, side-profile camera placement, oblique rear angle, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Front,1,False
"0002 | Perspective/Direct Front/Direct Front Camera — head-and-shoulders crop, 105mm compressed portrait lens, minimal uncluttered composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly in front of the primary subject, optical axis aligned with the front-facing side of the subject; wide scene distance; head-and-shoulders crop; 105mm compressed portrait lens; minimal uncluttered composition; deep focus across the visible environment; coherent camera-to-scene geometry","rear-facing camera placement, side-profile camera placement, oblique rear angle, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Front,1,False
"0003 | Perspective/Direct Front/Direct Front Camera — full-figure framing, 35mm environmental lens, centred composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly in front of the primary subject, optical axis aligned with the front-facing side of the subject; wide scene distance; full-figure framing; 35mm environmental lens; centred composition; clean edge separation around the subject; coherent camera-to-scene geometry","rear-facing camera placement, side-profile camera placement, oblique rear angle, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Front,1,False
"0004 | Perspective/Direct Front/Direct Front Camera — wide environmental framing, 135mm telephoto lens, foreground-to-background depth layering","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly in front of the primary subject, optical axis aligned with the front-facing side of the subject; moderate camera distance; wide environmental framing; 135mm telephoto lens; foreground-to-background depth layering; focus locked on the primary subject; coherent camera-to-scene geometry","rear-facing camera placement, side-profile camera placement, oblique rear angle, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Front,1,False
"0005 | Perspective/Direct Front/Direct Front Camera — head-and-shoulders crop, 135mm telephoto lens, symmetrical visual balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly in front of the primary subject, optical axis aligned with the front-facing side of the subject; camera close enough to retain material texture; head-and-shoulders crop; 135mm telephoto lens; symmetrical visual balance; moderate depth of field retaining nearby context; coherent camera-to-scene geometry","rear-facing camera placement, side-profile camera placement, oblique rear angle, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Front,1,False
"0006 | Perspective/Direct Front/Direct Front Camera — wide environmental framing, 65mm short-portrait lens, centred composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly in front of the primary subject, optical axis aligned with the front-facing side of the subject; camera distance balanced between subject and environment; wide environmental framing; 65mm short-portrait lens; centred composition; clean edge separation around the subject; coherent camera-to-scene geometry","rear-facing camera placement, side-profile camera placement, oblique rear angle, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Front,1,False
"0007 | Perspective/Direct Front/Direct Front Camera — waist-up crop, 70mm short-telephoto lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly in front of the primary subject, optical axis aligned with the front-facing side of the subject; close camera distance; waist-up crop; 70mm short-telephoto lens; asymmetrical cinematic balance; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","rear-facing camera placement, side-profile camera placement, oblique rear angle, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Front,1,False
"0008 | Perspective/Direct Front/Direct Front Camera — vertical editorial framing, 40mm natural-perspective lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly in front of the primary subject, optical axis aligned with the front-facing side of the subject; camera distance balanced between subject and environment; vertical editorial framing; 40mm natural-perspective lens; asymmetrical cinematic balance; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","rear-facing camera placement, side-profile camera placement, oblique rear angle, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Front,1,False
"0009 | Perspective/Direct Front/Direct Front Camera — waist-up crop, 50mm standard lens, minimal uncluttered composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly in front of the primary subject, optical axis aligned with the front-facing side of the subject; close camera distance; waist-up crop; 50mm standard lens; minimal uncluttered composition; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","rear-facing camera placement, side-profile camera placement, oblique rear angle, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Front,1,False
"0010 | Perspective/Direct Front/Direct Front Camera — vertical editorial framing, 85mm portrait lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly in front of the primary subject, optical axis aligned with the front-facing side of the subject; intimate portrait distance; vertical editorial framing; 85mm portrait lens; asymmetrical cinematic balance; clean edge separation around the subject; coherent camera-to-scene geometry","rear-facing camera placement, side-profile camera placement, oblique rear angle, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Front,1,False
