"name","prompt"
"Natural / No-Makeup Makeup","Barely-there makeup, sheer skin tint, softly concealed imperfections, brushed natural brows, subtle mascara, neutral balm-like lips."
"Natural / Fresh Skin","Fresh luminous complexion, lightweight dewy base, softly groomed brows, delicate lashes, translucent rosy lips."
"Natural / Soft Matte","Natural soft-matte complexion, seamless light coverage, subtle neutral contour, clean brows, understated nude lips."
"Natural / Skin Tint","Sheer skin-tint finish, visible natural skin texture, minimal spot concealing, clear brow gel, light mascara, tinted lip balm."
"Natural / Sun-Kissed","Warm sun-kissed makeup, sheer bronzing across the high points, softly flushed cheeks, natural lashes, glossy neutral lips."
"Natural / Rosy","Soft rosy makeup, fresh pink cheek flush, delicate matching lip tint, feathered brows, subtle brightening around the eyes."
"Natural / Peachy","Fresh peach-toned makeup, sheer peach blush, soft neutral eyes, separated lashes, light peach lip tint."
"Natural / Beige Neutral","Balanced neutral makeup, satin complexion, taupe definition around the eyes, groomed brows, beige-nude lips."
"Natural / Freckle-Friendly","Sheer natural base preserving visible freckles, light cream blush, softly defined lashes, natural brows, transparent lip tint."
"Natural / Glass Skin","Ultra-luminous glass-skin complexion, smooth hydrated sheen, minimal colour makeup, glossy lips, softly defined brows."
"Natural / Cloud Skin","Diffused cloud-skin finish, softly blurred complexion, muted blush, understated eyes, velvety neutral lips."
"Natural / Satin Skin","Refined satin complexion, seamless medium-light coverage, subtle cheek definition, softly polished eyes and lips."
"Natural / Clean Girl","Clean polished makeup, luminous base, brushed-up brows, curled separated lashes, subtle cream blush, glossy neutral lips."
"Natural / Model Off-Duty","Minimal model-off-duty makeup, sheer skin, lightly sculpted cheeks, softly smudged neutral lash line, balm-like lips."
"Natural / Beach Fresh","Light beach-fresh makeup, sheer bronzed skin, warm cream blush, waterproof-looking lashes, glossy hydrated lips."
"Natural / Winter Flush","Natural cool-weather flush across cheeks and nose, hydrated complexion, soft lashes, muted rosy lips."
"Natural / Monochrome Nude","Monochromatic nude makeup, coordinated beige-brown eyes, cheeks, and lips, softly blended seamless finish."
"Natural / Soft Brown","Soft brown everyday makeup, lightly shaded eyelids, brown mascara, gentle bronzer, natural brown-nude lips."
"Natural / Minimal Editorial","Ultra-minimal editorial makeup, perfected natural skin, softly structured brows, clean lashes, nearly bare lips."
"Natural / Mature Radiance","Elegant radiant makeup, hydrating satin base, softly lifted eye definition, gentle cheek colour, refined natural lips."
"Glam / Soft Glam","Soft-glam makeup, smooth satin complexion, blended neutral-brown eyeshadow, defined lashes, sculpted cheeks, polished nude lips."
"Glam / Full Glam","Full-glam makeup, flawless high-coverage complexion, precise contour and highlight, dramatic lashes, defined brows, glossy sculpted lips."
"Glam / Bronze","Bronzed glamour makeup, warm metallic eyelids, softly smoked outer corners, luminous bronzed cheeks, glossy caramel-nude lips."
"Glam / Champagne","Champagne-glam makeup, shimmering champagne lids, softly defined crease, radiant highlight, fluttery lashes, pale glossy nude lips."
"Glam / Rose Gold","Rose-gold glamour makeup, metallic rosy eyelids, softly smoked lash line, luminous blush, glossy rose-nude lips."
"Glam / Golden","Golden glamour makeup, rich gold shimmer on the lids, sculpted crease, glowing cheekbones, defined lashes, warm nude lips."
"Glam / Taupe","Cool taupe glam, softly sculpted matte eyes, precise liner, full lashes, neutral contour, muted mauve-nude lips."
"Glam / Chocolate","Chocolate-toned glam, deep brown smoky eyes, warm sculpted cheeks, bold lashes, glossy cocoa-nude lips."
"Glam / Mauve","Mauve glamour makeup, blended mauve eyeshadow, rosy contour, full lashes, matching mauve satin lips."
"Glam / Peach","Peach glamour makeup, warm peach shimmer, softly winged liner, luminous peach blush, glossy peach-nude lips."
"Glam / Pink","Polished pink glam, rose-toned eyes, softly flushed cheeks, defined lashes, glossy pink-nude lips."
"Glam / Red Carpet","Red-carpet makeup, flawless satin complexion, sculpted cheeks, elegant defined eyes, precise brows, refined statement lips."
"Glam / Bridal","Timeless bridal makeup, luminous long-wear complexion, softly defined eyes, fluttery lashes, romantic blush, polished neutral-rose lips."
"Glam / Evening","Elegant evening makeup, deep softly smoked eyes, luminous skin, defined cheekbones, sophisticated satin lips."
"Glam / Camera Ready","Camera-ready makeup, perfected even complexion, controlled highlight, clear eye definition, full lashes, balanced sculpted lips."
"Glam / Bombshell","Bombshell glamour, softly smoked lifted eyes, lush lashes, glowing sculpted skin, glossy voluminous nude lips."
"Glam / Sculpted","Strongly sculpted glam, precise contour, bright under-eye finish, lifted eye shape, sharp brows, defined nude lips."
"Glam / Dewy","Dewy glamour makeup, luminous hydrated base, glossy eyelids, radiant cheek highlight, fluffy lashes, glassy lips."
"Glam / Matte","Velvety matte glamour, flawless blurred complexion, matte sculpted eyes, crisp liner, full lashes, smooth matte lips."
"Glam / Neutral Luxury","Luxury neutral glam, refined beige and brown eye tones, subtle contour, soft golden highlight, polished nude lips."
"E-Girl / Classic","Classic e-girl makeup, strong winged liner, blush concentrated across cheeks and nose, tiny lower-lash accents, glossy pink lips."
"E-Girl / Soft","Soft e-girl makeup, diffused rosy blush, delicate winged liner, separated lashes, subtle faux freckles, glossy tinted lips."
"E-Girl / Dark","Dark e-girl makeup, bold black winged liner, smoky lower lash line, muted blush, defined brows, deep glossy lips."
"E-Girl / Pink","Pink e-girl makeup, bright rosy blush across cheeks and nose, pink shimmer lids, sharp liner, glossy candy-pink lips."
"E-Girl / Doll","Doll-like e-girl makeup, enlarged rounded eye shape, precise lower-lash details, soft blush, tiny highlighted inner corners, glossy lips."
"E-Girl / Grunge","Grunge e-girl makeup, deliberately smudged black liner, muted under-eye shadow, cool blush, blurred dark nude lips."
"E-Girl / Glitter","Glitter e-girl makeup, sparkling lids and inner corners, sharp liner, flushed cheeks, glossy lips with tiny reflective accents."
"E-Girl / Heart Accent","Playful e-girl makeup, precise winged liner, rosy nose-and-cheek blush, tiny heart-shaped cheek accent, glossy lips."
"E-Girl / Faux Freckles","E-girl makeup with visible faux freckles across the cheeks and nose, lifted liner, soft blush, fluttery lashes, tinted gloss."
"E-Girl / Gamer","Stream-ready e-girl makeup, crisp liner, bright under-eye accents, softly flushed cheeks, long separated lashes, shiny neutral-pink lips."
"Cute / Kawaii","Kawaii makeup, rounded eye definition, bright inner corners, soft pastel blush, delicate lower lashes, glossy gradient lips."
"Cute / Doll","Porcelain doll makeup, smooth luminous complexion, rounded lashes, circular blush placement, small softly defined lips."
"Cute / Puppy Eye","Puppy-eye makeup, gently downward-extended liner, rounded lower-eye definition, soft blush, innocent glossy lips."
"Cute / Bunny","Bunny-inspired cute makeup, rosy blush over cheeks and nose, wide bright eyes, delicate lashes, soft pink glossy lips."
"Cute / Strawberry","Strawberry-inspired makeup, juicy rosy blush, tiny faux freckles, pink-red lip tint, fresh sparkling eyes."
"Cute / Peach","Cute peach makeup, warm peach blush, subtle peach shimmer, softly separated lashes, glossy peach lips."
"Cute / Lavender","Cute lavender makeup, pale violet lids, bright inner corners, cool pink blush, fluttery lashes, glossy lilac-pink lips."
"Cute / Pastel Rainbow","Soft pastel rainbow eye makeup, delicately blended colour transitions, rosy cheeks, defined lashes, sheer glossy lips."
"Cute / Blushing","Intensely blushing makeup, concentrated rosy cheeks and nose, soft eye definition, shiny natural-pink lips."
