index,name,prompt,negative_prompt,category,weight,favorite
1,Female/Sleepwear & Loungewear/Satin Slip Dress,"Adult woman wearing a satin slip dress, with clean coordinated styling, realistic soft fabric texture, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Sleepwear & Loungewear,1,False
2,Female/Sleepwear & Loungewear/Lace Trim Slip Dress,"Adult woman wearing a lace trim slip dress, with clean coordinated styling, realistic soft fabric texture, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Sleepwear & Loungewear,1,False
3,Female/Sleepwear & Loungewear/Silk Camisole and Shorts Set,"Adult woman wearing a silk camisole and shorts set, with clean coordinated styling, realistic soft fabric texture, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Sleepwear & Loungewear,1,False
4,Female/Sleepwear & Loungewear/Cotton Pajama Set,"Adult woman wearing a cotton pajama set, with clean coordinated styling, realistic soft fabric texture, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Sleepwear & Loungewear,1,False
5,Female/Sleepwear & Loungewear/Satin Pajama Set,"Adult woman wearing a satin pajama set, with clean coordinated styling, realistic soft fabric texture, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Sleepwear & Loungewear,1,False
6,Female/Sleepwear & Loungewear/Button-up Pajama Set,"Adult woman wearing a button-up pajama set, with clean coordinated styling, realistic soft fabric texture, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Sleepwear & Loungewear,1,False
7,Female/Sleepwear & Loungewear/Ribbed Lounge Set,"Adult woman wearing a ribbed lounge set, with clean coordinated styling, realistic soft fabric texture, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Sleepwear & Loungewear,1,False
8,Female/Sleepwear & Loungewear/Modal Sleep Set,"Adult woman wearing a modal sleep set, with clean coordinated styling, realistic soft fabric texture, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Sleepwear & Loungewear,1,False
9,Female/Sleepwear & Loungewear/Cami and Shorts Set,"Adult woman wearing a cami and shorts set, with clean coordinated styling, realistic soft fabric texture, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Sleepwear & Loungewear,1,False
10,Female/Sleepwear & Loungewear/Cami and Tap Pants Set,"Adult woman wearing a cami and tap pants set, with clean coordinated styling, realistic soft fabric texture, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Sleepwear & Loungewear,1,False
