index,name,prompt,negative_prompt,category,weight,favorite
1,Safe I2VA,"I2VA: lock the input frame. Use one action, one small camera move, and a stable 2-second ending.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | H3-Safe | Modes & References,1.0,False
2,Safe FL2VA,FL2VA: connect first to last on one clear path. Land exactly on the final frame and hold.,"reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | H3-Safe | Modes & References,1.0,False
3,Safe L2VA,L2VA: approach the supplied last frame gradually. Match it exactly and hold stable.,"reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | H3-Safe | Modes & References,1.0,False
4,Safe T2VA,"T2VA: one subject, one scene, one action, one camera move, stable continuity, and clean audio.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | H3-Safe | Modes & References,1.0,False
5,Safe Full Reference,"Full Reference: define each role, replace only the target, and preserve scene, non-targets, props, camera, and audio.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | H3-Safe | Modes & References,1.0,False
6,Safe Director Scene 1,"Scene 1: establish subject, scene, action, camera, audio, and a clean final handoff.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | H3-Safe | Modes & References,1.0,False
7,Safe Director Scene 2,Scene 2: continue the exact final frame. One next action. No reset or reframe.,"reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | H3-Safe | Modes & References,1.0,False
8,Safe Director Scene 3,Scene 3: continue chronology and direction. Preserve all locks. Prepare the ending.,"reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | H3-Safe | Modes & References,1.0,False
9,Safe Director Scene 4,"Scene 4: complete the action, settle, and hold the final frame for 2 seconds.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | H3-Safe | Modes & References,1.0,False
10,Safe Identity Outfit Style Roles,Picture 1 identity. Picture 2 outfit. Picture 3 style. Keep roles separate.,"reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | H3-Safe | Modes & References,1.0,False
11,Safe Video Motion Role,Video 1 supplies choreography and camera only. Keep the target identity and outfit.,"reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | H3-Safe | Modes & References,1.0,False
12,Safe Audio Timing Role,Audio 1 supplies timing and sound relationship. Preserve sync and continuity.,"reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | H3-Safe | Modes & References,1.0,False
