index,name,prompt,negative_prompt,category,weight,favorite
1,T-Shirt Bra,"Dress <Subject 1> in t-shirt bra, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Opaque lining, precise cup and strap construction, refined catalogue styling.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Bra Styles,1.0,False
2,Balconette Bra,"Dress <Subject 1> in balconette bra, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Opaque lining, precise cup and strap construction, refined catalogue styling.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Bra Styles,1.0,False
3,Demi-Cup Bra,"Dress <Subject 1> in demi-cup bra, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Opaque lining, precise cup and strap construction, refined catalogue styling.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Bra Styles,1.0,False
4,Full-Cup Bra,"Dress <Subject 1> in full-cup bra, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Opaque lining, precise cup and strap construction, refined catalogue styling.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Bra Styles,1.0,False
5,Plunge Bra,"Dress <Subject 1> in plunge bra, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Opaque lining, precise cup and strap construction, refined catalogue styling.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Bra Styles,1.0,False
6,Longline Bra,"Dress <Subject 1> in longline bra, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Opaque lining, precise cup and strap construction, refined catalogue styling.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Bra Styles,1.0,False
7,Bralette,"Dress <Subject 1> in bralette, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Opaque lining, precise cup and strap construction, refined catalogue styling.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Bra Styles,1.0,False
8,Triangle Bralette,"Dress <Subject 1> in triangle bralette, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Opaque lining, precise cup and strap construction, refined catalogue styling.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Bra Styles,1.0,False
9,Racerback Bralette,"Dress <Subject 1> in racerback bralette, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Opaque lining, precise cup and strap construction, refined catalogue styling.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Bra Styles,1.0,False
10,Sports Bralette,"Dress <Subject 1> in sports bralette, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Opaque lining, precise cup and strap construction, refined catalogue styling.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Bra Styles,1.0,False
11,Strapless Bra,"Dress <Subject 1> in strapless bra, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Opaque lining, precise cup and strap construction, refined catalogue styling.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Bra Styles,1.0,False
12,Convertible Bra,"Dress <Subject 1> in convertible bra, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Opaque lining, precise cup and strap construction, refined catalogue styling.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Bra Styles,1.0,False
13,Front-Closure Bra,"Dress <Subject 1> in front-closure bra, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Opaque lining, precise cup and strap construction, refined catalogue styling.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Bra Styles,1.0,False
14,Soft-Cup Bra,"Dress <Subject 1> in soft-cup bra, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Opaque lining, precise cup and strap construction, refined catalogue styling.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Bra Styles,1.0,False
15,Wire-Free Bra,"Dress <Subject 1> in wire-free bra, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Opaque lining, precise cup and strap construction, refined catalogue styling.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Bra Styles,1.0,False
16,Underwire Bra,"Dress <Subject 1> in underwire bra, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Opaque lining, precise cup and strap construction, refined catalogue styling.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Bra Styles,1.0,False
17,Moulded-Cup Bra,"Dress <Subject 1> in moulded-cup bra, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Opaque lining, precise cup and strap construction, refined catalogue styling.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Bra Styles,1.0,False
