index,name,prompt,negative_prompt,category,weight,favorite
1,Female/Underwear & Lingerie/Material/Cotton Jersey,"Use cotton jersey as the main underwear or lingerie material, with realistic texture, natural drape, clear seam detail, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Material,1,False
2,Female/Underwear & Lingerie/Material/Cotton Rib,"Use cotton rib as the main underwear or lingerie material, with realistic texture, natural drape, clear seam detail, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Material,1,False
3,Female/Underwear & Lingerie/Material/Modal,"Use modal as the main underwear or lingerie material, with realistic texture, natural drape, clear seam detail, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Material,1,False
4,Female/Underwear & Lingerie/Material/Microfibre,"Use microfibre as the main underwear or lingerie material, with realistic texture, natural drape, clear seam detail, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Material,1,False
5,Female/Underwear & Lingerie/Material/Seamless Microfibre,"Use seamless microfibre as the main underwear or lingerie material, with realistic texture, natural drape, clear seam detail, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Material,1,False
6,Female/Underwear & Lingerie/Material/Stretch Satin,"Use stretch satin as the main underwear or lingerie material, with realistic texture, natural drape, clear seam detail, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Material,1,False
7,Female/Underwear & Lingerie/Material/Silk Charmeuse,"Use silk charmeuse as the main underwear or lingerie material, with realistic texture, natural drape, clear seam detail, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Material,1,False
8,Female/Underwear & Lingerie/Material/Matte Satin,"Use matte satin as the main underwear or lingerie material, with realistic texture, natural drape, clear seam detail, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Material,1,False
9,Female/Underwear & Lingerie/Material/Silk-blend Satin,"Use silk-blend satin as the main underwear or lingerie material, with realistic texture, natural drape, clear seam detail, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Material,1,False
10,Female/Underwear & Lingerie/Material/Lace,"Use lace as the main underwear or lingerie material, with realistic texture, natural drape, clear seam detail, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Material,1,False
