index,name,prompt,negative_prompt,category,weight,favorite
1,A-Line Silhouette,"Construct the selected garment with a-line silhouette, keeping the feature symmetrical, functional, securely attached, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Coverage Cuts | Necklines Hemlines Silhouettes,1.0,False
2,Above-Knee Hemline,"Construct the selected garment with above-knee hemline, keeping the feature symmetrical, functional, securely attached, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Coverage Cuts | Necklines Hemlines Silhouettes,1.0,False
3,Abstract Brushstroke,"Apply abstract brushstroke to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Patterns and Prints,1.0,False
4,Accent on Transition,Place one restrained audio accent exactly on the transition point.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Timing Cues,1.0,False
5,Action Cut,Cut once on a natural action beat and continue the same movement and direction immediately afterward.,"rapid flicker, repeated transformation, magical particles, sparkles, smoke burst, abrupt reset, unwanted cut, identity drift, text, watermark",H3 | Transitions,1.0,False
6,Action Stability Block,"Lock identity, anatomy, direction of travel, contact points, held props, outfit, and camera path.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Stability Locks,1.0,False
7,Adjust Hair Once,"The subject makes one brief hair adjustment without changing the hairstyle, length, color, or parting.","unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | Motion & Actions,1.0,False
8,Adjust Jacket,"The subject makes one small natural jacket adjustment, preserving garment construction and accessories.","unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | Motion & Actions,1.0,False
9,Adjustable Shoulder Straps,"Construct the selected garment with adjustable shoulder straps, keeping the feature symmetrical, functional, securely attached, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Straps Closures Trim | Straps,1.0,False
10,Amber,"Use amber as the selected fashion color, preserving the same hue, saturation, undertone, and material response under changing light.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Colors | Core Fashion Colors,1.0,False
11,Amber Duochrome,"Use amber duochrome as the selected fashion color, preserving the same hue, saturation, undertone, and material response under changing light.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Colors | Color and Finish Combinations,1.0,False
12,Amber Gloss,"Use amber gloss as the selected fashion color, preserving the same hue, saturation, undertone, and material response under changing light.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Colors | Color and Finish Combinations,1.0,False
13,Amber High-Shine,"Use amber high-shine as the selected fashion color, preserving the same hue, saturation, undertone, and material response under changing light.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Colors | Color and Finish Combinations,1.0,False
14,Amber Iridescent,"Use amber iridescent as the selected fashion color, preserving the same hue, saturation, undertone, and material response under changing light.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Colors | Color and Finish Combinations,1.0,False
15,Amber Matte,"Use amber matte as the selected fashion color, preserving the same hue, saturation, undertone, and material response under changing light.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Colors | Color and Finish Combinations,1.0,False
16,Amber Metallic,"Use amber metallic as the selected fashion color, preserving the same hue, saturation, undertone, and material response under changing light.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Colors | Color and Finish Combinations,1.0,False
17,Amber Pearlescent,"Use amber pearlescent as the selected fashion color, preserving the same hue, saturation, undertone, and material response under changing light.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Colors | Color and Finish Combinations,1.0,False
18,Amber Pearlescent,"H3-safe video styling: Use amber pearlescent as the selected fashion color, preserving the same hue, saturation, undertone, and material response under changing light. Prefer a simple readable silhouette, secure attachment, restrained motion, and consistent placement across every frame.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Safe | Materials Colors Details,1.0,False
19,Amber Satin,"Use amber satin as the selected fashion color, preserving the same hue, saturation, undertone, and material response under changing light.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Colors | Color and Finish Combinations,1.0,False
20,Amber Satin,"H3-safe video styling: Use amber satin as the selected fashion color, preserving the same hue, saturation, undertone, and material response under changing light. Prefer a simple readable silhouette, secure attachment, restrained motion, and consistent placement across every frame.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Safe | Materials Colors Details,1.0,False
21,Amber Soft-Focus,"Use amber soft-focus as the selected fashion color, preserving the same hue, saturation, undertone, and material response under changing light.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Colors | Color and Finish Combinations,1.0,False
22,Amber Soft-Focus,"H3-safe video styling: Use amber soft-focus as the selected fashion color, preserving the same hue, saturation, undertone, and material response under changing light. Prefer a simple readable silhouette, secure attachment, restrained motion, and consistent placement across every frame.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Safe | Materials Colors Details,1.0,False
23,Amber Wet-Look,"Use amber wet-look as the selected fashion color, preserving the same hue, saturation, undertone, and material response under changing light.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Colors | Color and Finish Combinations,1.0,False
24,Ambient,"Use soft ambient music with spacious texture, restrained rhythm, and gentle continuity.","clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Music Styles,1.0,False
25,Anarcho-Punk Club Outfit,"Dress <Subject 1> in anarcho-punk club outfit, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Use secure hardware and a coherent wearable construction.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Punk Grunge Industrial,1.0,False
