"name","prompt"
"E-Girl / Playful Smirk","Head tilted slightly to one side, looking directly into the camera lens, subtle playful smirk, one eyebrow raised, direct intense eye contact, confident e-girl attitude."
"E-Girl / Bored Pout","Bored expression, half-lidded eyes, relaxed eyebrows, expressionless face, staring blankly into the camera, slight pout, casual e-girl mood."
"E-Girl / Innocent Wide Eyes","Wide-eyed expression, looking slightly upward toward the camera, chin tucked down, lips gently parted, innocent curious look, soft e-girl styling."
"E-Girl / Monitor Glow","Candid expression, looking slightly off-camera toward a glowing monitor, soft private smile, eyes reflecting screen light, face illuminated by cool screen glare."
"E-Girl / Cheeky Tongue","Cheeky playful expression, direct eye contact, one eye slightly narrowed, tongue peeking out at the corner of the mouth, raised eyebrow, mischievous energy."
"E-Girl / Heart Eyes Mood","Dreamy adoring expression, bright sparkling eyes, soft blush, gentle smile, chin slightly raised, affectionate gaze toward the camera."
"E-Girl / Fake Annoyed","Playfully annoyed expression, brows slightly knitted, eyes looking upward, lips pressed into a tiny pout, exaggerated but cute frustration."
"E-Girl / Webcam Surprise","Sudden surprised expression as if reacting to something on stream, widened eyes, lifted eyebrows, mouth slightly open, face turned toward the camera."
"E-Girl / Confident Wink","Confident wink toward the camera, relaxed smile, one eyebrow raised, head tilted slightly, playful self-assured expression."
"E-Girl / Shy Camera Look","Shy expression, glancing up toward the camera from beneath the eyebrows, subtle blush, restrained smile, chin lowered, shoulders slightly tucked."
"E-Girl / Deadpan","Completely deadpan expression, level eyebrows, relaxed mouth, direct unblinking eye contact, dry unimpressed mood."
"E-Girl / Gamer Victory","Excited victorious expression, bright eyes, broad grin, eyebrows raised, energized reaction as if winning a difficult game."
"E-Girl / Suspicious Side-Eye","Suspicious side-eye toward the camera, one eyebrow lifted, lips slightly pursed, head angled away, amused distrust."
"E-Girl / Soft Grunge","Moody soft-grunge expression, half-lidded eyes, faint frown, distant gaze, relaxed jaw, subtle tiredness and emotional detachment."
"E-Girl / Lip Bite","Playful non-explicit lip-bite expression, direct eye contact, subtle smile in the eyes, one eyebrow slightly raised, confident teasing mood."
"E-Girl / Cute Scrunch","Cute face scrunch, nose gently wrinkled, eyes narrowed with amusement, cheeks raised, playful closed-mouth grin."
"Neutral / Relaxed","Natural relaxed expression, soft eyes, neutral eyebrows, lips resting gently together, face calm and unposed."
