name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Tracking From Behind/Rear Tracking Shot — full-body framing, camera at knee height, 50mm standard lens perspective","camera following directly behind the primary subject along the same direction of travel, back facing camera, head facing forward away from viewer, face not visible, movement path readable through perspective and background flow, camera at knee height, camera far enough back to preserve the full silhouette, full-body framing, 50mm standard lens perspective, symmetrical visual balance, focus centred on clothing and body orientation, clear camera-to-subject relationship, coherent spatial orientation","front-facing tracking shot, visible face, eye contact, turned head, camera ahead of subject, reversed travel direction, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Tracking From Behind,1,False
"0002 | Perspective/Tracking From Behind/Rear Tracking Shot — head-and-shoulders framing, camera elevated above the subject, 105mm compressed portrait perspective","camera following directly behind the primary subject along the same direction of travel, back facing camera, head facing forward away from viewer, face not visible, movement path readable through perspective and background flow, camera elevated above the subject, camera at moderate environmental distance, head-and-shoulders framing, 105mm compressed portrait perspective, strong leading lines directing attention to the subject, moderate depth of field preserving environmental context, clear camera-to-subject relationship, coherent spatial orientation","front-facing tracking shot, visible face, eye contact, turned head, camera ahead of subject, reversed travel direction, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Tracking From Behind,1,False
"0003 | Perspective/Tracking From Behind/Rear Tracking Shot — vertical editorial framing, camera at waist height, 105mm compressed portrait perspective","camera following directly behind the primary subject along the same direction of travel, back facing camera, head facing forward away from viewer, face not visible, movement path readable through perspective and background flow, camera at waist height, camera at moderate environmental distance, vertical editorial framing, 105mm compressed portrait perspective, rule-of-thirds placement, focus centred on clothing and body orientation, clear camera-to-subject relationship, coherent spatial orientation","front-facing tracking shot, visible face, eye contact, turned head, camera ahead of subject, reversed travel direction, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Tracking From Behind,1,False
"0004 | Perspective/Tracking From Behind/Rear Tracking Shot — waist-up framing, camera at shoulder height, 70mm short-telephoto perspective","camera following directly behind the primary subject along the same direction of travel, back facing camera, head facing forward away from viewer, face not visible, movement path readable through perspective and background flow, camera at shoulder height, camera close to the subject, waist-up framing, 70mm short-telephoto perspective, clean negative space around the subject, focus prioritising the face when visible, clear camera-to-subject relationship, coherent spatial orientation","front-facing tracking shot, visible face, eye contact, turned head, camera ahead of subject, reversed travel direction, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Tracking From Behind,1,False
"0005 | Perspective/Tracking From Behind/Rear Tracking Shot — waist-up framing, camera close to ground level, 40mm natural perspective","camera following directly behind the primary subject along the same direction of travel, back facing camera, head facing forward away from viewer, face not visible, movement path readable through perspective and background flow, camera close to ground level, camera at moderate environmental distance, waist-up framing, 40mm natural perspective, minimal uncluttered composition, subject sharply defined against a softly separated background, clear camera-to-subject relationship, coherent spatial orientation","front-facing tracking shot, visible face, eye contact, turned head, camera ahead of subject, reversed travel direction, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Tracking From Behind,1,False
"0006 | Perspective/Tracking From Behind/Rear Tracking Shot — full-body framing, camera slightly above eye level, 65mm portrait perspective","camera following directly behind the primary subject along the same direction of travel, back facing camera, head facing forward away from viewer, face not visible, movement path readable through perspective and background flow, camera slightly above eye level, camera at moderate environmental distance, full-body framing, 65mm portrait perspective, clean negative space around the subject, subject sharply defined against a softly separated background, clear camera-to-subject relationship, coherent spatial orientation","front-facing tracking shot, visible face, eye contact, turned head, camera ahead of subject, reversed travel direction, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Tracking From Behind,1,False
"0007 | Perspective/Tracking From Behind/Rear Tracking Shot — wide environmental framing, camera at knee height, 135mm long-lens perspective","camera following directly behind the primary subject along the same direction of travel, back facing camera, head facing forward away from viewer, face not visible, movement path readable through perspective and background flow, camera at knee height, camera at intimate portrait distance, wide environmental framing, 135mm long-lens perspective, slightly off-centre editorial composition, moderate depth of field preserving environmental context, clear camera-to-subject relationship, coherent spatial orientation","front-facing tracking shot, visible face, eye contact, turned head, camera ahead of subject, reversed travel direction, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Tracking From Behind,1,False
"0008 | Perspective/Tracking From Behind/Rear Tracking Shot — balanced square-format framing, camera slightly above eye level, 70mm short-telephoto perspective","camera following directly behind the primary subject along the same direction of travel, back facing camera, head facing forward away from viewer, face not visible, movement path readable through perspective and background flow, camera slightly above eye level, camera positioned to include the surrounding environment, balanced square-format framing, 70mm short-telephoto perspective, centred composition, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","front-facing tracking shot, visible face, eye contact, turned head, camera ahead of subject, reversed travel direction, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Tracking From Behind,1,False
"0009 | Perspective/Tracking From Behind/Rear Tracking Shot — cinematic landscape framing, camera aligned with the subject upper back, 65mm portrait perspective","camera following directly behind the primary subject along the same direction of travel, back facing camera, head facing forward away from viewer, face not visible, movement path readable through perspective and background flow, camera aligned with the subject upper back, camera far enough back to preserve the full silhouette, cinematic landscape framing, 65mm portrait perspective, centred composition, moderate depth of field preserving environmental context, clear camera-to-subject relationship, coherent spatial orientation","front-facing tracking shot, visible face, eye contact, turned head, camera ahead of subject, reversed travel direction, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Tracking From Behind,1,False
"0010 | Perspective/Tracking From Behind/Rear Tracking Shot — full-body framing, camera slightly above eye level, 70mm short-telephoto perspective","camera following directly behind the primary subject along the same direction of travel, back facing camera, head facing forward away from viewer, face not visible, movement path readable through perspective and background flow, camera slightly above eye level, camera close to the subject, full-body framing, 70mm short-telephoto perspective, asymmetrical cinematic balance, deep focus with foreground and background clearly readable, clear camera-to-subject relationship, coherent spatial orientation","front-facing tracking shot, visible face, eye contact, turned head, camera ahead of subject, reversed travel direction, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Tracking From Behind,1,False
