index,name,prompt,negative_prompt,category,weight,favorite
1,Lock Original Identity,preserve the exact same person and identity; edit only the requested attribute,"identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark, different person, identity drift, face replacement",Identity Preservation,1.20,true
2,Preserve Facial Geometry,"keep original facial geometry, feature spacing, jawline, nose, lips and eye shape unchanged","identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark, altered face shape, changed feature spacing",Identity Preservation,1.00,false
3,Preserve Age and Ethnicity,"preserve the subject's apparent age, ethnicity and distinctive traits exactly","identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark, age shift, ethnicity shift, generic face",Identity Preservation,1.00,false
4,Preserve Skin Markers,"retain freckles, moles, scars and natural skin markers in their original positions","identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark, removed marks, invented marks, airbrushed skin",Identity Preservation,1.00,false
5,Identity Before Style,prioritize identity fidelity over style intensity; the person must remain immediately recognizable,"identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark, stylization replacing identity",Identity Preservation,1.15,true
6,Read Sheet as One Character,"interpret every panel as reference views of one character, not different people","identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark, multiple identities, character averaging",Character Sheet Interpretation,1.15,true
7,Use Front View for Face,use the clearest front-view panel as the primary face and identity reference,"identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark, mixing incompatible faces",Character Sheet Interpretation,1.00,false
8,Use Side View for Profile,"use side-view panels only to preserve profile shape, ear placement and hairstyle silhouette","identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark",Character Sheet Interpretation,1.00,false
9,Use Back View for Rear Details,"use back-view panels for hair length, garment back, closures and rear silhouette","identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark",Character Sheet Interpretation,1.00,false
10,Respect Sheet Annotations,treat visual callouts and detail panels as authoritative character construction references,"identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark, ignoring reference details",Character Sheet Interpretation,1.00,false
11,One Person Across Panels,"keep one identical person across all panels, angles, poses and expressions","identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark, different faces between panels, clones",Same-Person Multi-Panel Reference,1.20,true
12,Cross-Panel Feature Match,"match eye shape, nose, lips, jaw and skin tone consistently across every panel","identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark",Same-Person Multi-Panel Reference,1.00,false
13,Choose Clearest Face Source,derive identity from the clearest unobstructed face panel and propagate it consistently,"identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark",Same-Person Multi-Panel Reference,1.00,false
14,Reconcile Panel Color,normalize minor lighting differences while preserving the same hair skin and clothing colors,"identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark",Same-Person Multi-Panel Reference,1.00,false
15,No Identity Blending,do not average or blend identities between panels; preserve the single referenced character,"identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark, hybrid face, averaged identity",Same-Person Multi-Panel Reference,1.15,true
16,Keep Face Unchanged,leave the face unchanged while applying edits elsewhere,"identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark, changed face, altered expression",Face Preservation,1.20,true
17,Preserve Eyes,"preserve original eye shape, spacing, iris color, gaze direction and eyelid structure","identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark",Face Preservation,1.00,false
18,Preserve Nose and Lips,"preserve exact nose bridge, nostrils, lip shape and mouth proportions","identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark",Face Preservation,1.00,false
19,Preserve Expression,"keep the original expression, mouth state, brow position and emotional tone","identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark",Face Preservation,1.00,false
20,Natural Face Detail,retain natural pores and facial detail without beautifying or smoothing away identity,"identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark, plastic skin, beauty filter",Face Preservation,1.00,false
21,Keep Hairstyle Exact,"preserve the exact hairstyle, parting, length, volume and silhouette","identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark, new hairstyle, changed length",Hair Preservation,1.15,true
22,Keep Hair Color Exact,"preserve the original hair color, highlights, roots and tonal variation","identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark",Hair Preservation,1.00,false
23,Preserve Hairline,"keep the original hairline, temples, baby hairs and forehead coverage","identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark",Hair Preservation,1.00,false
24,Preserve Curls and Texture,"retain the original curl pattern, strand texture and density","identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark",Hair Preservation,1.00,false
25,Preserve Hair Accessories,"keep all hair clips, ties, ribbons and accessories unchanged and correctly positioned","identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark",Hair Preservation,1.00,false
26,Keep Outfit Exact,"preserve the exact outfit, colors, layers, fit and garment construction","identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark, different clothes, recolored outfit",Clothing Preservation,1.20,true
27,Preserve Logos and Patterns,"retain original logo placement, print scale, pattern alignment and readable design shape","identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark, invented logo, scrambled pattern",Clothing Preservation,1.00,false
28,Preserve Fabric Material,"keep the original fabric type, texture, sheen, thickness and drape","identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark",Clothing Preservation,1.00,false
29,Preserve Accessories,"retain jewelry, belt, bag, footwear and accessories with unchanged design and placement","identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark",Clothing Preservation,1.00,false
30,Preserve Layer Order,keep garment layers and overlaps in the same order with physically correct edges,"identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark",Clothing Preservation,1.00,false
31,Lock Body Proportions,"preserve original height, build, limb lengths, torso ratio and shoulder-to-hip balance","identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark, body reshaping, elongated limbs",Body Proportion Preservation,1.20,true
32,Preserve Head-to-Body Scale,keep the original head size relative to the body; no stylized proportion shift,"identity drift, changed facial structure, changed hair, changed clothing, anatomy errors, extra fingers, missing fingers, extra limbs, blur, text, watermark",Body Proportion Preservation,1.00,false
