index,name,prompt,negative_prompt,category,weight,favorite
1,Long Straight Hair,Give <Subject 1> long straight hair with a polished finish.,,Hair,1,
2,Long Wavy Hair,Give <Subject 1> long wavy hair with soft glamorous texture.,,Hair,1,
3,Bob Cut,Give <Subject 1> a clean bob haircut with structured fashionable lines.,,Hair,1,
4,High Ponytail,Give <Subject 1> a high ponytail with sleek fashionable styling.,,Hair,1,
5,Messy Bun,Give <Subject 1> a messy bun with soft loose strands.,,Hair,1,
6,Elegant Bun,Give <Subject 1> a smooth elegant bun with refined formal styling.,,Hair,1,
7,Pixie Cut,Give <Subject 1> a pixie cut with neat confident styling.,,Hair,1,
8,Blonde Hair,Use blonde hair for <Subject 1> while preserving the chosen hairstyle.,,Hair,1,
9,Brunette Hair,Use brunette hair for <Subject 1> while preserving the chosen hairstyle.,,Hair,1,
10,Black Hair,Use black hair for <Subject 1> while preserving the chosen hairstyle.,,Hair,1,
