name,prompt,negative_prompt,category,weight,favorite
0001 | Pose/Standing/Wide Stance/Wide Stance — feet placed far wider than the shoulders — head level,"feet placed far wider than the shoulders, toes facing forward, knees straight, arms beside the torso; head level, chin neutral, shoulders level; clear joint alignment; distinct limb separation","feet together, narrow stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Wide Stance,1,False
0002 | Pose/Standing/Wide Stance/Wide Stance — feet placed far wider than the shoulders — chin slightly lowered,"feet placed far wider than the shoulders, toes facing forward, knees straight, arms beside the torso; chin slightly lowered, neck lengthened, shoulders level; clear joint alignment; distinct limb separation","feet together, narrow stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Wide Stance,1,False
0003 | Pose/Standing/Wide Stance/Wide Stance — feet placed far wider than the shoulders — chin slightly raised,"feet placed far wider than the shoulders, toes facing forward, knees straight, arms beside the torso; chin slightly raised, neck lengthened, shoulders level; clear joint alignment; distinct limb separation","feet together, narrow stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Wide Stance,1,False
0004 | Pose/Standing/Wide Stance/Wide Stance — feet placed far wider than the shoulders — head tilted slightly left,"feet placed far wider than the shoulders, toes facing forward, knees straight, arms beside the torso; head tilted slightly left, shoulders level; clear joint alignment; distinct limb separation","feet together, narrow stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Wide Stance,1,False
0005 | Pose/Standing/Wide Stance/Wide Stance — feet placed far wider than the shoulders — head tilted slightly right,"feet placed far wider than the shoulders, toes facing forward, knees straight, arms beside the torso; head tilted slightly right, shoulders level; clear joint alignment; distinct limb separation","feet together, narrow stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Wide Stance,1,False
0006 | Pose/Standing/Wide Stance/Wide Stance — feet placed far wider than the shoulders — head rotated slightly left,"feet placed far wider than the shoulders, toes facing forward, knees straight, arms beside the torso; head rotated slightly left, ribcage facing forward; clear joint alignment; distinct limb separation","feet together, narrow stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Wide Stance,1,False
0007 | Pose/Standing/Wide Stance/Wide Stance — feet placed far wider than the shoulders — head rotated slightly right,"feet placed far wider than the shoulders, toes facing forward, knees straight, arms beside the torso; head rotated slightly right, ribcage facing forward; clear joint alignment; distinct limb separation","feet together, narrow stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Wide Stance,1,False
0008 | Pose/Standing/Wide Stance/Wide Stance — feet placed far wider than the shoulders — left shoulder slightly higher than the right,"feet placed far wider than the shoulders, toes facing forward, knees straight, arms beside the torso; left shoulder slightly higher than the right; clear joint alignment; distinct limb separation","feet together, narrow stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Wide Stance,1,False
0009 | Pose/Standing/Wide Stance/Wide Stance — feet placed far wider than the shoulders — right shoulder slightly higher than the left,"feet placed far wider than the shoulders, toes facing forward, knees straight, arms beside the torso; right shoulder slightly higher than the left; clear joint alignment; distinct limb separation","feet together, narrow stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Wide Stance,1,False
0010 | Pose/Standing/Wide Stance/Wide Stance — feet placed far wider than the shoulders — shoulders gently drawn back,"feet placed far wider than the shoulders, toes facing forward, knees straight, arms beside the torso; shoulders gently drawn back, chest neutral; clear joint alignment; distinct limb separation","feet together, narrow stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Wide Stance,1,False
0011 | Pose/Standing/Wide Stance/Wide Stance — feet placed far wider than the shoulders — shoulders relaxed and lowered,"feet placed far wider than the shoulders, toes facing forward, knees straight, arms beside the torso; shoulders relaxed and lowered, chest neutral; clear joint alignment; distinct limb separation","feet together, narrow stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Wide Stance,1,False
0012 | Pose/Standing/Wide Stance/Wide Stance — feet placed far wider than the shoulders — ribcage rotated slightly left,"feet placed far wider than the shoulders, toes facing forward, knees straight, arms beside the torso; ribcage rotated slightly left, pelvis stable; clear joint alignment; distinct limb separation","feet together, narrow stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Wide Stance,1,False
0013 | Pose/Standing/Wide Stance/Wide Stance — feet placed far wider than the shoulders — ribcage rotated slightly right,"feet placed far wider than the shoulders, toes facing forward, knees straight, arms beside the torso; ribcage rotated slightly right, pelvis stable; clear joint alignment; distinct limb separation","feet together, narrow stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Wide Stance,1,False
