index,name,prompt,negative_prompt,category,weight,favorite
1,Natural Dissolve,"Use one short natural dissolve between established states, preserving identity, composition, and lighting continuity.","rapid flicker, repeated transformation, magical particles, sparkles, smoke burst, abrupt reset, unwanted cut, identity drift, text, watermark",H3 | Transitions,1.0,False
2,Simple Cut,Use one simple motivated cut to the specified framing; do not add montage edits.,"rapid flicker, repeated transformation, magical particles, sparkles, smoke burst, abrupt reset, unwanted cut, identity drift, text, watermark",H3 | Transitions,1.0,False
3,No Cut — Continuous Shot,"Use one uninterrupted continuous shot with no cuts, resets, or hidden reframes.","rapid flicker, repeated transformation, magical particles, sparkles, smoke burst, abrupt reset, unwanted cut, identity drift, text, watermark",H3 | Transitions,1.0,False
4,Brief Wardrobe Transition,"Complete one brief restrained wardrobe transition, establish the new outfit once, then hold it consistently.","rapid flicker, repeated transformation, magical particles, sparkles, smoke burst, abrupt reset, unwanted cut, identity drift, text, watermark",H3 | Transitions,1.0,False
5,Smooth Pose Settle,"Move once into the new pose, settle smoothly, and hold without repeated morphing.","rapid flicker, repeated transformation, magical particles, sparkles, smoke burst, abrupt reset, unwanted cut, identity drift, text, watermark",H3 | Transitions,1.0,False
6,Scene Reveal,Reveal the established scene through the planned camera move without changing its layout or lighting.,"rapid flicker, repeated transformation, magical particles, sparkles, smoke burst, abrupt reset, unwanted cut, identity drift, text, watermark",H3 | Transitions,1.0,False
7,Avoid Magical Effects,"Keep the transition physically clear and restrained; do not add sparkles, smoke, particles, glow, or energy effects.","rapid flicker, repeated transformation, magical particles, sparkles, smoke burst, abrupt reset, unwanted cut, identity drift, text, watermark",H3 | Transitions,1.0,False
8,Match Cut,"Use one clean match cut based on the specified shape, pose, or composition while preserving identity.","rapid flicker, repeated transformation, magical particles, sparkles, smoke burst, abrupt reset, unwanted cut, identity drift, text, watermark",H3 | Transitions,1.0,False
9,Action Cut,Cut once on a natural action beat and continue the same movement and direction immediately afterward.,"rapid flicker, repeated transformation, magical particles, sparkles, smoke burst, abrupt reset, unwanted cut, identity drift, text, watermark",H3 | Transitions,1.0,False
10,Foreground Wipe,"Use one natural foreground object pass as a brief wipe, preserving the same scene and subject continuity.","rapid flicker, repeated transformation, magical particles, sparkles, smoke burst, abrupt reset, unwanted cut, identity drift, text, watermark",H3 | Transitions,1.0,False
11,Focus Reveal,Shift focus once from the foreground detail to the subject without changing the camera position.,"rapid flicker, repeated transformation, magical particles, sparkles, smoke burst, abrupt reset, unwanted cut, identity drift, text, watermark",H3 | Transitions,1.0,False
12,Lighting-Matched Cut,Use one cut between matching lighting and composition; avoid a visible exposure or color jump.,"rapid flicker, repeated transformation, magical particles, sparkles, smoke burst, abrupt reset, unwanted cut, identity drift, text, watermark",H3 | Transitions,1.0,False
13,Transition Then Hold,"Complete one transition, establish the result clearly, then hold the new state stable.","rapid flicker, repeated transformation, magical particles, sparkles, smoke burst, abrupt reset, unwanted cut, identity drift, text, watermark",H3 | Transitions,1.0,False
14,No Transition,Do not transform or cut; preserve the established state and continue the requested action naturally.,"rapid flicker, repeated transformation, magical particles, sparkles, smoke burst, abrupt reset, unwanted cut, identity drift, text, watermark",H3 | Transitions,1.0,False
