index,name,prompt,negative_prompt,category,weight,favorite
1,Very Slow Camera Speed,"Move the camera at a very slow, even speed with a long gentle settle.","camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Speed & Amplitude,1.0,False
2,Slow Camera Speed,Use a slow controlled camera speed with no acceleration spikes.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Speed & Amplitude,1.0,False
3,Normal Camera Speed,Use a natural moderate camera speed that keeps the action easy to read.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Speed & Amplitude,1.0,False
4,Fast Camera Speed,Use a fast but physically smooth camera move only for a clear energetic beat; settle immediately afterward.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Speed & Amplitude,1.0,False
5,Small Amplitude,"Keep camera travel small and restrained, with minimal change in framing.","camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Speed & Amplitude,1.0,False
6,Medium Amplitude,Use a medium camera travel distance that reveals context without losing the subject.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Speed & Amplitude,1.0,False
7,Large Amplitude,"Use one broad camera move on a simple path, preserving scale, horizon, and subject continuity.","camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Speed & Amplitude,1.0,False
8,Very Slow + Small,Use very slow speed and small amplitude for a stable luxury-detail move.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Speed & Amplitude,1.0,False
9,Very Slow + Medium,Use very slow speed and medium amplitude for a calm controlled reveal.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Speed & Amplitude,1.0,False
10,Slow + Small,Use slow speed and small amplitude; prioritize stability over spectacle.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Speed & Amplitude,1.0,False
11,Slow + Medium,Use slow speed and medium amplitude with smooth start and finish.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Speed & Amplitude,1.0,False
12,Slow + Large,Use slow speed and one large simple path; keep the subject centered and readable.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Speed & Amplitude,1.0,False
13,Normal + Small,Use normal speed with small travel for a brief motivated adjustment.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Speed & Amplitude,1.0,False
14,Normal + Medium,Use normal speed with medium travel and a clean final settle.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Speed & Amplitude,1.0,False
15,Fast + Small,"Use a short fast accent move, then stop on a stable frame.","camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Speed & Amplitude,1.0,False
16,Ease In,"Begin the camera move gently, reach the planned speed once, and avoid a sudden launch.","camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Speed & Amplitude,1.0,False
17,Ease Out,Decelerate smoothly into the final composition and hold it stable.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Speed & Amplitude,1.0,False
18,Constant Velocity,Maintain one consistent camera speed from start to the settling phase.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Speed & Amplitude,1.0,False
