index,name,prompt,negative_prompt,category,weight,favorite
1,Cinematic Music,Use polished cinematic instrumental music that supports the scene without overpowering it.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Music Styles,1.0,False
2,Orchestral,Use expressive orchestral music with natural dynamics and no vocals.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Music Styles,1.0,False
3,Film Score,"Use a narrative film-score cue shaped to the scene arc, with a controlled ending cadence.","clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Music Styles,1.0,False
4,Ambient,"Use soft ambient music with spacious texture, restrained rhythm, and gentle continuity.","clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Music Styles,1.0,False
5,Neo-Classical Electronica,Blend intimate neo-classical instrumentation with subtle modern electronic texture.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Music Styles,1.0,False
6,Deep Atmospheric Bass,"Use deep atmospheric bass with clean low frequencies, sparse rhythm, and no harsh distortion.","clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Music Styles,1.0,False
7,Synthwave,"Use polished synthwave with a steady pulse, warm analog textures, and cinematic restraint.","clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Music Styles,1.0,False
8,Dark Ambient,"Use dark ambient sound with slow tension, low drones, and controlled dynamics.","clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Music Styles,1.0,False
9,Fashion Electronic,Use sleek fashion-show electronic music with a confident pulse and clean production.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Music Styles,1.0,False
10,Luxury Lounge,Use refined luxury-lounge instrumental music with an elegant relaxed groove.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Music Styles,1.0,False
