index,name,prompt,negative_prompt,category,weight,favorite
1,Tonal Balconette and Brief Set,"Dress <Subject 1> in tonal balconette and brief set, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep the set coordinated, non-explicit, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Coordinated Sets,1.0,False
2,Tonal Bralette and Hipster Set,"Dress <Subject 1> in tonal bralette and hipster set, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep the set coordinated, non-explicit, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Coordinated Sets,1.0,False
3,Tonal Plunge and High-Waist Set,"Dress <Subject 1> in tonal plunge and high-waist set, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep the set coordinated, non-explicit, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Coordinated Sets,1.0,False
4,Tonal Triangle and Bikini Brief Set,"Dress <Subject 1> in tonal triangle and bikini brief set, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep the set coordinated, non-explicit, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Coordinated Sets,1.0,False
5,Tonal Longline and Brazilian Brief Set,"Dress <Subject 1> in tonal longline and brazilian brief set, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep the set coordinated, non-explicit, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Coordinated Sets,1.0,False
6,Tonal Soft-Cup and Boyshort Set,"Dress <Subject 1> in tonal soft-cup and boyshort set, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep the set coordinated, non-explicit, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Coordinated Sets,1.0,False
7,Contrast-Trim Balconette and Brief Set,"Dress <Subject 1> in contrast-trim balconette and brief set, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep the set coordinated, non-explicit, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Coordinated Sets,1.0,False
8,Contrast-Trim Bralette and Hipster Set,"Dress <Subject 1> in contrast-trim bralette and hipster set, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep the set coordinated, non-explicit, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Coordinated Sets,1.0,False
9,Contrast-Trim Plunge and High-Waist Set,"Dress <Subject 1> in contrast-trim plunge and high-waist set, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep the set coordinated, non-explicit, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Coordinated Sets,1.0,False
10,Contrast-Trim Triangle and Bikini Brief Set,"Dress <Subject 1> in contrast-trim triangle and bikini brief set, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep the set coordinated, non-explicit, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Coordinated Sets,1.0,False
