name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Wide Lens Immersive/Wide-Lens Immersive Camera — three-quarter-length crop, 28mm moderately wide lens, clean negative space around the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned relatively close with a broad controlled field of view, expanded foreground depth, and protected edge geometry; close camera distance; three-quarter-length crop; 28mm moderately wide lens; clean negative space around the subject; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","telephoto compression, extreme fisheye distortion, warped edge anatomy, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Wide Lens Immersive,1,False
"0002 | Perspective/Wide Lens Immersive/Wide-Lens Immersive Camera — three-quarter-length crop, 105mm compressed portrait lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned relatively close with a broad controlled field of view, expanded foreground depth, and protected edge geometry; wide scene distance; three-quarter-length crop; 105mm compressed portrait lens; asymmetrical cinematic balance; moderate depth of field retaining nearby context; coherent camera-to-scene geometry","telephoto compression, extreme fisheye distortion, warped edge anatomy, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Wide Lens Immersive,1,False
"0003 | Perspective/Wide Lens Immersive/Wide-Lens Immersive Camera — head-and-shoulders crop, 105mm compressed portrait lens, symmetrical visual balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned relatively close with a broad controlled field of view, expanded foreground depth, and protected edge geometry; conversational camera distance; head-and-shoulders crop; 105mm compressed portrait lens; symmetrical visual balance; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","telephoto compression, extreme fisheye distortion, warped edge anatomy, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Wide Lens Immersive,1,False
"0004 | Perspective/Wide Lens Immersive/Wide-Lens Immersive Camera — waist-up crop, 85mm portrait lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned relatively close with a broad controlled field of view, expanded foreground depth, and protected edge geometry; camera close enough to retain material texture; waist-up crop; 85mm portrait lens; asymmetrical cinematic balance; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","telephoto compression, extreme fisheye distortion, warped edge anatomy, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Wide Lens Immersive,1,False
"0005 | Perspective/Wide Lens Immersive/Wide-Lens Immersive Camera — wide environmental framing, 70mm short-telephoto lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned relatively close with a broad controlled field of view, expanded foreground depth, and protected edge geometry; camera distance balanced between subject and environment; wide environmental framing; 70mm short-telephoto lens; asymmetrical cinematic balance; focus locked on the primary subject; coherent camera-to-scene geometry","telephoto compression, extreme fisheye distortion, warped edge anatomy, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Wide Lens Immersive,1,False
"0006 | Perspective/Wide Lens Immersive/Wide-Lens Immersive Camera — three-quarter-length crop, 28mm moderately wide lens, slightly off-centre editorial composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned relatively close with a broad controlled field of view, expanded foreground depth, and protected edge geometry; moderate camera distance; three-quarter-length crop; 28mm moderately wide lens; slightly off-centre editorial composition; clean edge separation around the subject; coherent camera-to-scene geometry","telephoto compression, extreme fisheye distortion, warped edge anatomy, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Wide Lens Immersive,1,False
"0007 | Perspective/Wide Lens Immersive/Wide-Lens Immersive Camera — medium crop, 85mm portrait lens, clean negative space around the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned relatively close with a broad controlled field of view, expanded foreground depth, and protected edge geometry; camera distance balanced between subject and environment; medium crop; 85mm portrait lens; clean negative space around the subject; moderate depth of field retaining nearby context; coherent camera-to-scene geometry","telephoto compression, extreme fisheye distortion, warped edge anatomy, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Wide Lens Immersive,1,False
"0008 | Perspective/Wide Lens Immersive/Wide-Lens Immersive Camera — full-figure framing, 105mm compressed portrait lens, rule-of-thirds composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned relatively close with a broad controlled field of view, expanded foreground depth, and protected edge geometry; environmental portrait distance; full-figure framing; 105mm compressed portrait lens; rule-of-thirds composition; foreground softly separated from the subject; coherent camera-to-scene geometry","telephoto compression, extreme fisheye distortion, warped edge anatomy, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Wide Lens Immersive,1,False
"0009 | Perspective/Wide Lens Immersive/Wide-Lens Immersive Camera — cinematic landscape framing, 24mm wide-angle lens with controlled edge distortion, slightly off-centre editorial composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned relatively close with a broad controlled field of view, expanded foreground depth, and protected edge geometry; full-figure camera distance; cinematic landscape framing; 24mm wide-angle lens with controlled edge distortion; slightly off-centre editorial composition; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","telephoto compression, extreme fisheye distortion, warped edge anatomy, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Wide Lens Immersive,1,False
"0010 | Perspective/Wide Lens Immersive/Wide-Lens Immersive Camera — wide environmental framing, 50mm standard lens, minimal uncluttered composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned relatively close with a broad controlled field of view, expanded foreground depth, and protected edge geometry; intimate portrait distance; wide environmental framing; 50mm standard lens; minimal uncluttered composition; shallow depth of field with clean subject separation; coherent camera-to-scene geometry","telephoto compression, extreme fisheye distortion, warped edge anatomy, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Wide Lens Immersive,1,False
