name,prompt,negative_prompt,category,weight,favorite
0000 | No Style,,,General,1,
0001 | Cartoon Animation/Cartoon Style,"A simplified, graphic illustration style built on confident, evenly weighted outline defining exaggerated, readable proportions, flat color fill with minimal shading complexity, an appealing, elastic sense of form that favors expressive readability over anatomical accuracy, cheerful, uncomplicated composition prioritizing instant visual clarity, and a lighthearted, accessible illustrative charm rooted in broad, universal animation tradition. Influenced by: classic American cel-animation tradition, flat-color character-design technique, squash-and-stretch animation practice, newspaper-syndicate cartoon method.",,Cartoon Animation,1,
0002 | Cartoon Animation/Invader Zim Style,"A jagged, angular cartoon-illustration style built on sharply exaggerated, gothic-adjacent proportion with elongated limbs and spiky, unstable silhouette construction, bold, high-contrast shading applied in stark graphic blocks rather than smooth gradation, an unsettling, off-kilter energy carried through asymmetrical, twitchy posing, confident thick outline holding chaotic, exaggerated expression, and a darkly quirky, kinetic cartoon intensity that feels equal parts manic and stylish. Influenced by: Jhonen Vasquez, gothic-adjacent cartoon-design tradition, angular limited-animation technique, early-2000s cult-cartoon practice.",,Cartoon Animation,1,
0003 | Cartoon Animation/Nickelodeon Animation Style,"A bold, energetic flat-cartoon illustration style built on thick, confident outline holding exaggerated, rubbery proportions, bright, evenly saturated flat-color fill with minimal shading complexity, a loose, elastic sense of squash-and-stretch built directly into character design, expressive, oversized facial features prioritizing comedic timing over anatomical accuracy, and a irreverent, kid-friendly energy that feels loud, playful, and unmistakably 90s-cartoon in spirit. Influenced by: classic 90s Nickelodeon cel-animation tradition, flat-color character-design technique, squash-and-stretch animation practice, irreverent kids'-cartoon design method.",,Cartoon Animation,1,
0004 | Cartoon Animation/Rick and Morty Style,"A loose, deliberately imperfect cartoon illustration style built on wobbly, slightly rubbery linework that embraces visible inconsistency over polished precision, flat, simple fill with minimal rendering complexity, exaggerated elastic proportions carrying manic, unpredictable expressiveness, a scrappy, DIY animation looseness that favors comedic energy over visual refinement, and an irreverent, chaotic indie-animation charm that feels intentionally rough around the edges. Influenced by: Justin Roiland, adult-swim animation tradition, flat cel-shading technique, indie sitcom-cartoon character design.",,Cartoon Animation,1,
0005 | Cartoon Animation/Simpsons Style,"A bold, flat cartoon illustration style built on thick confident outline holding simplified exaggerated proportions, bright even flat fill with minimal shading or gradient, an overbite-heavy, wide-eyed character-design language prioritizing instant graphic readability, loose, bouncy proportion distortion for comedic expressiveness, and a cheerful, satirical, unmistakably mass-market animated-sitcom energy. Influenced by: Matt Groening, classic American cel-animation technique, flat-color sitcom cartoon tradition, satirical animated character design.",,Cartoon Animation,1,
0006 | Cartoon Animation/South Park Style,"A crude, deliberately flat cutout-illustration style built on rigid, geometric construction that mimics paper-cutout assembly rather than fluid drawing, minimal internal shading applied in flat, uniform blocks with almost no gradation, an intentionally stiff, limited sense of motion and pose that embraces its own construction-paper simplicity, bold, thick outline separating each simplified shape with graphic clarity, and a crude, deadpan comedic charm that feels deliberately unpolished and instantly recognizable. Influenced by: Trey Parker and Matt Stone, construction-paper stop-motion-inspired animation technique, flat cutout-illustration tradition, deadpan cartoon-design practice.",,Cartoon Animation,1,
0007 | Cartoon Animation/Steven Universe Style,"A soft, rounded flat-cartoon illustration style built on gentle, simplified geometric shapes carrying warm, approachable proportion, even flat-color fill applied with minimal shading beyond soft contact shadow, a pastel-adjacent restraint in tonal contrast that keeps every composition feeling calm and gentle, expressive, oversized eyes and rounded facial design prioritizing emotional warmth over detail, and a wholesome, tender animated sincerity that feels comforting, gentle, and quietly heartfelt. Influenced by: Rebecca Sugar, Cartoon Network flat-color animation tradition, gentle geometric character-design technique, contemporary emotionally-driven cartoon practice.",,Cartoon Animation,1,
0008 | Cartoon Animation/Adventure Time Style,"A playful, flat cartoon illustration style built on bold, simplified outline with minimal internal detail, rubber-hose-adjacent proportions that stretch and simplify anatomy into loose, expressive shapes, even flat cel shading with almost no gradient or rendering complexity, a cheerful, whimsical simplicity that favors charm and readability over realism, and a lighthearted, surreal storybook energy that feels effortlessly hand-drawn. Influenced by: Pendleton Ward, modern American cartoon illustration, flat cel-shading technique, indie animation character design.",,Cartoon Animation,1,
0009 | Cartoon Animation/Hanna-Barbera Style,"A bold, economical flat-cartoon illustration style built on confident, simplified outline holding limited, efficient character design, flat, evenly applied color fill with minimal shading complexity, a charmingly stiff, limited-animation-friendly sense of proportion and pose, cheerful, uncomplicated composition favoring instant readability over rendering nuance, and a nostalgic, mid-century Saturday-morning charm that feels effortlessly bright and universally appealing. Influenced by: Hanna-Barbera Productions, mid-century American limited-animation tradition, flat-color cartoon technique, Saturday-morning cartoon design practice.",,Cartoon Animation,1,
0010 | Cartoon Animation/Family Guy Style,"A bold, flat cartoon illustration style built on thick, confident outline holding simplified, blocky proportions, bright, evenly applied flat color with minimal shading complexity, an exaggerated, oval-headed character-design language prioritizing instant graphic readability, static, stiff posing typical of limited-animation efficiency, and a satirical, unmistakably mass-market animated-sitcom energy rooted in broad American cartoon convention. Influenced by: Seth MacFarlane, flat-color limited-animation technique, prime-time animated-sitcom tradition, satirical cartoon-design practice.",,Cartoon Animation,1,
0011 | Cartoon Animation/Modern Cartoon,"A clean, flat illustration style built on confident, simplified outline holding contemporary, streamlined proportions, bright flat-color fill with minimal shading beyond basic form-defining contact shadow, an appealing, geometrically simplified sense of form balancing charm with graphic efficiency, cheerful, uncomplicated composition favoring instant digital-platform readability, and a versatile, contemporary animated charm rooted in current streaming-era cartoon convention. Influenced by: contemporary streaming-animation tradition, flat-color character-design technique, digital-native cartoon practice, modern indie-animation method.",,Cartoon Animation,1,
