index,name,prompt,negative_prompt,category,weight,favorite
1,Back Zipper,"Construct the selected garment with back zipper, keeping the feature symmetrical, functional, securely attached, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Straps Closures Trim | Closures,1.0,False
2,Side Zipper,"Construct the selected garment with side zipper, keeping the feature symmetrical, functional, securely attached, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Straps Closures Trim | Closures,1.0,False
3,Front Zipper,"Construct the selected garment with front zipper, keeping the feature symmetrical, functional, securely attached, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Straps Closures Trim | Closures,1.0,False
4,Concealed Zipper,"Construct the selected garment with concealed zipper, keeping the feature symmetrical, functional, securely attached, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Straps Closures Trim | Closures,1.0,False
5,Button Front,"Construct the selected garment with button front, keeping the feature symmetrical, functional, securely attached, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Straps Closures Trim | Closures,1.0,False
6,Hook-and-Eye Closure,"Construct the selected garment with hook-and-eye closure, keeping the feature symmetrical, functional, securely attached, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Straps Closures Trim | Closures,1.0,False
7,Front Clasp,"Construct the selected garment with front clasp, keeping the feature symmetrical, functional, securely attached, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Straps Closures Trim | Closures,1.0,False
8,Back Clasp,"Construct the selected garment with back clasp, keeping the feature symmetrical, functional, securely attached, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Straps Closures Trim | Closures,1.0,False
9,Side-Tie Closure,"Construct the selected garment with side-tie closure, keeping the feature symmetrical, functional, securely attached, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Straps Closures Trim | Closures,1.0,False
10,Wrap Tie,"Construct the selected garment with wrap tie, keeping the feature symmetrical, functional, securely attached, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Straps Closures Trim | Closures,1.0,False
