name,prompt,negative_prompt,category,weight,favorite
0001 | Natural/Soft Window,"soft directional window light, gentle shadow falloff, realistic skin tones, subtle environmental bounce","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Natural,1.0,False
0002 | Natural/Golden Hour,"warm low-angle golden-hour sunlight, glowing rim light, long soft shadows, atmospheric warmth","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Natural,1.0,False
0003 | Natural/Overcast,"large soft overcast sky light, low contrast, even skin illumination, rich subtle color","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Natural,1.0,False
0004 | Natural/Harsh Noon,"hard overhead midday sunlight, crisp graphic shadows, bright realistic highlights, high clarity","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Natural,1.0,False
0005 | Natural/Forest Dappled,"dappled sunlight filtered through leaves, patterned highlights, cool green ambient bounce","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Natural,1.0,False
0006 | Studio/Large Softbox,"large close softbox key light, smooth facial gradients, soft controlled shadow, commercial polish","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Studio,1.0,False
0007 | Studio/Beauty Dish,"centered beauty-dish key, crisp luminous facial highlights, defined cheekbones, controlled falloff","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Studio,1.0,False
0008 | Studio/Rembrandt,"classic Rembrandt portrait lighting, triangular cheek highlight, deep dimensional shadow, painterly mood","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Studio,1.0,False
0009 | Studio/Butterfly,"butterfly beauty lighting, centered elevated key, symmetrical cheek definition, clean glamour finish","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Studio,1.0,False
0010 | Studio/Split Light,"dramatic split lighting, half the face illuminated and half in shadow, precise high contrast","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Studio,1.0,False
0011 | Studio/Three Point,"balanced three-point studio lighting, controlled key, fill and rim separation, clean professional result","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Studio,1.0,False
0012 | Studio/Hard Spotlight,"focused hard spotlight, crisp falloff, theatrical shadow, strong isolated subject emphasis","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Studio,1.0,False
0013 | Studio/Colored Gels,"complementary colored-gel key and rim lights, saturated separation, controlled dark background","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Studio,1.0,False
0014 | Cinematic/Motivated Practical,"cinematic motivated lighting from visible lamps and signs, believable direction, rich shadow depth","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Cinematic,1.0,False
0015 | Cinematic/Volumetric Beams,"strong volumetric light beams through atmospheric haze, dramatic depth, readable silhouette","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Cinematic,1.0,False
0016 | Cinematic/Firelight,"warm flickering firelight, soft orange highlights, deep cool shadows, believable irregular illumination","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Cinematic,1.0,False
0017 | Cinematic/Moonlight,"cool moonlight key, subtle silver rim, deep blue ambient shadows, quiet nocturnal atmosphere","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Cinematic,1.0,False
0018 | Cinematic/Neon Rain,"mixed neon light reflected by rain, saturated edge light, wet surfaces, cinematic urban contrast","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Cinematic,1.0,False
0019 | Cinematic/Backlit Silhouette,"strong backlight creating a readable silhouette and luminous edge, restrained foreground fill","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Cinematic,1.0,False
0020 | Cinematic/Chiaroscuro,"extreme cinematic chiaroscuro, sculpted highlights, deep controlled darkness, dramatic visual hierarchy","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Cinematic,1.0,False
0021 | Mood/Romantic Soft,"romantic diffused light, gentle bloom, warm skin highlights, soft pastel ambient fill","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Mood,1.0,False
0022 | Mood/Ominous Underlight,"subtle ominous underlighting, unusual upward shadows, restrained horror tension","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Mood,1.0,False
0023 | Mood/Ethereal Glow,"ethereal ambient glow, luminous edge separation, soft atmospheric diffusion, dreamlike highlights","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Mood,1.0,False
0024 | Mood/Cold Clinical,"cold clinical overhead light, clean pale surfaces, restrained contrast, precise sterile atmosphere","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Mood,1.0,False
0025 | Mood/Warm Interior,"warm interior practical lights, amber pools of illumination, soft dark corners, inviting depth","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Mood,1.0,False
0026 | Special/Candlelight,"multiple candle sources, warm local highlights, soft dancing shadows, intimate historical atmosphere","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Special,1.0,False
0027 | Special/Projector Pattern,"projected graphic light pattern across subject and background, crisp designed shadows","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Special,1.0,False
0028 | Special/Venetian Blinds,"venetian-blind light stripes, noir contrast, precise graphic shadow pattern","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Special,1.0,False
0029 | Special/Water Caustics,"moving water-caustic light patterns, fluid blue highlights, underwater or poolside atmosphere","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Special,1.0,False
0030 | Special/Holographic,"holographic colored reflections, iridescent rim light, clean futuristic glow","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Special,1.0,False
0031 | Special/Lightning Flash,"brief intense lightning illumination, frozen dramatic highlights, storm-dark ambient scene","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Special,1.0,False
0032 | Product/Gradient Reflections,"controlled gradient reflections defining glossy materials, precise edge highlights, premium product finish","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Product,1.0,False
0033 | Product/Soft Tent,"even soft-tent illumination, minimal harsh reflection, clean material accuracy, catalog clarity","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Product,1.0,False
0034 | Stage/Concert Beams,"concert stage beams, saturated backlights, haze-defined shafts, energetic performance contrast","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Stage,1.0,False
0035 | Stage/Theatre Follow Spot,"theatrical follow spot, isolated performer, deep surrounding darkness, warm focused illumination","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Stage,1.0,False
0036 | Outdoor/Street Lamps,"night street-lamp pools, realistic mixed color temperature, deep urban atmosphere","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Outdoor,1.0,False
0037 | Outdoor/Snow Bounce,"soft winter daylight with bright snow bounce, cool clean shadows, luminous face light","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lighting, inconsistent shadows",Outdoor,1.0,False
