name,prompt,negative_prompt,category,weight,favorite
0001 | Pose/Standing/Torso Twist/Standing Torso Twist — feet hip-width apart — head level,"feet hip-width apart, pelvis facing forward, ribcage rotated left, arms relaxed; head level, chin neutral, shoulders level; clear joint alignment; distinct limb separation","ribcage facing straight forward, twisted joints, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Torso Twist,1,False
0002 | Pose/Standing/Torso Twist/Standing Torso Twist — feet hip-width apart — chin slightly lowered,"feet hip-width apart, pelvis facing forward, ribcage rotated left, arms relaxed; chin slightly lowered, neck lengthened, shoulders level; clear joint alignment; distinct limb separation","ribcage facing straight forward, twisted joints, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Torso Twist,1,False
0003 | Pose/Standing/Torso Twist/Standing Torso Twist — feet hip-width apart — chin slightly raised,"feet hip-width apart, pelvis facing forward, ribcage rotated left, arms relaxed; chin slightly raised, neck lengthened, shoulders level; clear joint alignment; distinct limb separation","ribcage facing straight forward, twisted joints, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Torso Twist,1,False
0004 | Pose/Standing/Torso Twist/Standing Torso Twist — feet hip-width apart — head tilted slightly left,"feet hip-width apart, pelvis facing forward, ribcage rotated left, arms relaxed; head tilted slightly left, shoulders level; clear joint alignment; distinct limb separation","ribcage facing straight forward, twisted joints, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Torso Twist,1,False
0005 | Pose/Standing/Torso Twist/Standing Torso Twist — feet hip-width apart — head tilted slightly right,"feet hip-width apart, pelvis facing forward, ribcage rotated left, arms relaxed; head tilted slightly right, shoulders level; clear joint alignment; distinct limb separation","ribcage facing straight forward, twisted joints, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Torso Twist,1,False
0006 | Pose/Standing/Torso Twist/Standing Torso Twist — feet hip-width apart — head rotated slightly left,"feet hip-width apart, pelvis facing forward, ribcage rotated left, arms relaxed; head rotated slightly left, ribcage facing forward; clear joint alignment; distinct limb separation","ribcage facing straight forward, twisted joints, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Torso Twist,1,False
0007 | Pose/Standing/Torso Twist/Standing Torso Twist — feet hip-width apart — head rotated slightly right,"feet hip-width apart, pelvis facing forward, ribcage rotated left, arms relaxed; head rotated slightly right, ribcage facing forward; clear joint alignment; distinct limb separation","ribcage facing straight forward, twisted joints, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Torso Twist,1,False
0008 | Pose/Standing/Torso Twist/Standing Torso Twist — feet hip-width apart — left shoulder slightly higher than the right,"feet hip-width apart, pelvis facing forward, ribcage rotated left, arms relaxed; left shoulder slightly higher than the right; clear joint alignment; distinct limb separation","ribcage facing straight forward, twisted joints, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Torso Twist,1,False
0009 | Pose/Standing/Torso Twist/Standing Torso Twist — feet hip-width apart — right shoulder slightly higher than the left,"feet hip-width apart, pelvis facing forward, ribcage rotated left, arms relaxed; right shoulder slightly higher than the left; clear joint alignment; distinct limb separation","ribcage facing straight forward, twisted joints, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Torso Twist,1,False
0010 | Pose/Standing/Torso Twist/Standing Torso Twist — feet hip-width apart — shoulders gently drawn back,"feet hip-width apart, pelvis facing forward, ribcage rotated left, arms relaxed; shoulders gently drawn back, chest neutral; clear joint alignment; distinct limb separation","ribcage facing straight forward, twisted joints, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Torso Twist,1,False
