name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Dashcam Windshield/Dashcam Camera — vertical editorial framing, 85mm portrait lens, centred composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera fixed behind a vehicle windshield at dashboard height, scene viewed forward through glass, vehicle interior edges included only as framing; wide scene distance; vertical editorial framing; 85mm portrait lens; centred composition; balanced focus between subject and immediate surroundings; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","external vehicle camera, invented driver, rear-facing dashboard view, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Dashcam Windshield,1,False
"0002 | Perspective/Dashcam Windshield/Dashcam Camera — full-figure framing, 35mm environmental lens, symmetrical visual balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera fixed behind a vehicle windshield at dashboard height, scene viewed forward through glass, vehicle interior edges included only as framing; camera close enough to retain material texture; full-figure framing; 35mm environmental lens; symmetrical visual balance; focus weighted toward rear silhouette when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","external vehicle camera, invented driver, rear-facing dashboard view, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Dashcam Windshield,1,False
"0003 | Perspective/Dashcam Windshield/Dashcam Camera — balanced square framing, 28mm moderately wide lens, rule-of-thirds composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera fixed behind a vehicle windshield at dashboard height, scene viewed forward through glass, vehicle interior edges included only as framing; intimate portrait distance; balanced square framing; 28mm moderately wide lens; rule-of-thirds composition; focus weighted toward facial detail when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","external vehicle camera, invented driver, rear-facing dashboard view, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Dashcam Windshield,1,False
"0004 | Perspective/Dashcam Windshield/Dashcam Camera — balanced square framing, 40mm natural-perspective lens, clean negative space around the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera fixed behind a vehicle windshield at dashboard height, scene viewed forward through glass, vehicle interior edges included only as framing; camera distance balanced between subject and environment; balanced square framing; 40mm natural-perspective lens; clean negative space around the subject; focus locked on the primary subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","external vehicle camera, invented driver, rear-facing dashboard view, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Dashcam Windshield,1,False
"0005 | Perspective/Dashcam Windshield/Dashcam Camera — medium crop, 65mm short-portrait lens, rule-of-thirds composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera fixed behind a vehicle windshield at dashboard height, scene viewed forward through glass, vehicle interior edges included only as framing; environmental portrait distance; medium crop; 65mm short-portrait lens; rule-of-thirds composition; focus weighted toward clothing and material texture; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","external vehicle camera, invented driver, rear-facing dashboard view, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Dashcam Windshield,1,False
"0006 | Perspective/Dashcam Windshield/Dashcam Camera — tight crop, 50mm standard lens, centred composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera fixed behind a vehicle windshield at dashboard height, scene viewed forward through glass, vehicle interior edges included only as framing; moderate camera distance; tight crop; 50mm standard lens; centred composition; balanced focus between subject and immediate surroundings; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","external vehicle camera, invented driver, rear-facing dashboard view, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Dashcam Windshield,1,False
"0007 | Perspective/Dashcam Windshield/Dashcam Camera — wide environmental framing, 40mm natural-perspective lens, environmental elements framing the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera fixed behind a vehicle windshield at dashboard height, scene viewed forward through glass, vehicle interior edges included only as framing; moderate camera distance; wide environmental framing; 40mm natural-perspective lens; environmental elements framing the subject; focus weighted toward clothing and material texture; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","external vehicle camera, invented driver, rear-facing dashboard view, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Dashcam Windshield,1,False
"0008 | Perspective/Dashcam Windshield/Dashcam Camera — wide environmental framing, 85mm portrait lens, environmental elements framing the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera fixed behind a vehicle windshield at dashboard height, scene viewed forward through glass, vehicle interior edges included only as framing; close camera distance; wide environmental framing; 85mm portrait lens; environmental elements framing the subject; clean edge separation around the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","external vehicle camera, invented driver, rear-facing dashboard view, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Dashcam Windshield,1,False
"0009 | Perspective/Dashcam Windshield/Dashcam Camera — full-figure framing, 105mm compressed portrait lens, foreground-to-background depth layering","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera fixed behind a vehicle windshield at dashboard height, scene viewed forward through glass, vehicle interior edges included only as framing; full-figure camera distance; full-figure framing; 105mm compressed portrait lens; foreground-to-background depth layering; focus weighted toward clothing and material texture; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","external vehicle camera, invented driver, rear-facing dashboard view, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Dashcam Windshield,1,False
"0010 | Perspective/Dashcam Windshield/Dashcam Camera — three-quarter-length crop, 105mm compressed portrait lens, environmental elements framing the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera fixed behind a vehicle windshield at dashboard height, scene viewed forward through glass, vehicle interior edges included only as framing; camera far enough back to preserve spatial context; three-quarter-length crop; 105mm compressed portrait lens; environmental elements framing the subject; balanced focus between subject and immediate surroundings; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","external vehicle camera, invented driver, rear-facing dashboard view, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Dashcam Windshield,1,False
