name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Overhead Oblique Left/Overhead Oblique Left Camera — vertical editorial framing, 105mm compressed portrait lens, symmetrical visual balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera elevated above the scene and offset to the left, looking downward at an oblique angle; camera distance balanced between subject and environment; vertical editorial framing; 105mm compressed portrait lens; symmetrical visual balance; balanced focus between subject and immediate surroundings; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","overhead right view, upward camera angle, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Overhead Oblique Left,1,False
"0002 | Perspective/Overhead Oblique Left/Overhead Oblique Left Camera — medium crop, 65mm short-portrait lens, foreground-to-background depth layering","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera elevated above the scene and offset to the left, looking downward at an oblique angle; camera distance balanced between subject and environment; medium crop; 65mm short-portrait lens; foreground-to-background depth layering; foreground softly separated from the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","overhead right view, upward camera angle, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Overhead Oblique Left,1,False
"0003 | Perspective/Overhead Oblique Left/Overhead Oblique Left Camera — balanced square framing, 40mm natural-perspective lens, strong leading lines toward the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera elevated above the scene and offset to the left, looking downward at an oblique angle; conversational camera distance; balanced square framing; 40mm natural-perspective lens; strong leading lines toward the subject; moderate depth of field retaining nearby context; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","overhead right view, upward camera angle, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Overhead Oblique Left,1,False
"0004 | Perspective/Overhead Oblique Left/Overhead Oblique Left Camera — three-quarter-length crop, 135mm telephoto lens, symmetrical visual balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera elevated above the scene and offset to the left, looking downward at an oblique angle; close camera distance; three-quarter-length crop; 135mm telephoto lens; symmetrical visual balance; shallow depth of field with clean subject separation; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","overhead right view, upward camera angle, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Overhead Oblique Left,1,False
"0005 | Perspective/Overhead Oblique Left/Overhead Oblique Left Camera — tight crop, 24mm wide-angle lens, minimal uncluttered composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera elevated above the scene and offset to the left, looking downward at an oblique angle; close camera distance; tight crop; 24mm wide-angle lens; minimal uncluttered composition; focus weighted toward clothing and material texture; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","overhead right view, upward camera angle, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Overhead Oblique Left,1,False
"0006 | Perspective/Overhead Oblique Left/Overhead Oblique Left Camera — head-and-shoulders crop, 18mm ultra-wide lens with controlled distortion, asymmetrical cinematic balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera elevated above the scene and offset to the left, looking downward at an oblique angle; environmental portrait distance; head-and-shoulders crop; 18mm ultra-wide lens with controlled distortion; asymmetrical cinematic balance; focus locked on the primary subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","overhead right view, upward camera angle, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Overhead Oblique Left,1,False
"0007 | Perspective/Overhead Oblique Left/Overhead Oblique Left Camera — three-quarter-length crop, 85mm portrait lens, asymmetrical cinematic balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera elevated above the scene and offset to the left, looking downward at an oblique angle; camera distance balanced between subject and environment; three-quarter-length crop; 85mm portrait lens; asymmetrical cinematic balance; focus weighted toward facial detail when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","overhead right view, upward camera angle, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Overhead Oblique Left,1,False
"0008 | Perspective/Overhead Oblique Left/Overhead Oblique Left Camera — waist-up crop, 50mm standard lens, asymmetrical cinematic balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera elevated above the scene and offset to the left, looking downward at an oblique angle; intimate portrait distance; waist-up crop; 50mm standard lens; asymmetrical cinematic balance; moderate depth of field retaining nearby context; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","overhead right view, upward camera angle, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Overhead Oblique Left,1,False
"0009 | Perspective/Overhead Oblique Left/Overhead Oblique Left Camera — vertical editorial framing, 28mm moderately wide lens, environmental elements framing the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera elevated above the scene and offset to the left, looking downward at an oblique angle; camera close enough to retain material texture; vertical editorial framing; 28mm moderately wide lens; environmental elements framing the subject; shallow depth of field with clean subject separation; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","overhead right view, upward camera angle, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Overhead Oblique Left,1,False
"0010 | Perspective/Overhead Oblique Left/Overhead Oblique Left Camera — full-figure framing, 135mm telephoto lens, strong leading lines toward the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera elevated above the scene and offset to the left, looking downward at an oblique angle; environmental portrait distance; full-figure framing; 135mm telephoto lens; strong leading lines toward the subject; deep focus across the visible environment; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","overhead right view, upward camera angle, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Overhead Oblique Left,1,False
