name,prompt,negative_prompt,category,weight,favorite
0001 | Portrait/Beauty Editorial,"premium beauty editorial photography, precise skin detail, controlled studio highlights, elegant styling, magazine finish","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, illustration, painting, CGI",Portrait,1.0,True
0002 | Portrait/Environmental,"environmental portrait photography, subject grounded in meaningful surroundings, natural pose, layered depth, authentic light","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, illustration, painting, CGI",Portrait,1.0,True
0003 | Portrait/Low-Key,"low-key portrait, sculpted shadows, narrow controlled highlights, intimate dramatic mood, deep black background","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, illustration, painting, CGI",Portrait,1.0,False
0004 | Portrait/High-Key,"high-key portrait, bright seamless background, soft flattering light, clean airy commercial finish","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, illustration, painting, CGI",Portrait,1.0,False
0005 | Portrait/Window Light,"natural window-light portrait, soft directional illumination, gentle falloff, realistic skin tone, quiet intimate mood","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, illustration, painting, CGI",Portrait,1.0,False
0006 | Fashion/Runway Editorial,"runway-inspired fashion editorial, confident full-body pose, couture detail, dramatic clean set, premium magazine polish","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, illustration, painting, CGI",Fashion,1.0,False
0007 | Fashion/Street Style,"street-style fashion photography, candid confidence, urban context, natural movement, contemporary color grade","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, illustration, painting, CGI",Fashion,1.0,False
0008 | Fashion/Luxury Campaign,"luxury fashion campaign, refined art direction, immaculate wardrobe detail, aspirational location, sophisticated lighting","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, illustration, painting, CGI",Fashion,1.0,False
0009 | Fashion/Avant-Garde,"avant-garde fashion photography, sculptural styling, experimental silhouette, bold set design, high-concept composition","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, illustration, painting, CGI",Fashion,1.0,False
0010 | Cinematic/Anamorphic,"anamorphic cinema still, wide composition, elliptical bokeh, subtle lens flare, filmic contrast, narrative atmosphere","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, illustration, painting, CGI",Cinematic,1.0,False
0011 | Cinematic/35mm Film,"35mm film photography, organic grain, soft highlight rolloff, natural color response, tactile analog character","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, illustration, painting, CGI",Cinematic,1.0,False
0012 | Cinematic/70mm Epic,"large-format cinematic photography, extraordinary detail, expansive depth, majestic composition, refined color separation","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, illustration, painting, CGI",Cinematic,1.0,False
0013 | Documentary/Available Light,"documentary photography, available light, candid realism, honest texture, decisive moment composition","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, illustration, painting, CGI",Documentary,1.0,False
