name,prompt,negative_prompt,category,weight,favorite
"0101 | Perspective/Direct Rear/Direct Rear Camera — wide environmental framing, 18mm ultra-wide lens with controlled distortion, rule-of-thirds composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, rear silhouette given visual priority, frontal facial features excluded; conversational camera distance; wide environmental framing; 18mm ultra-wide lens with controlled distortion; rule-of-thirds composition; moderate depth of field retaining nearby context; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","front-facing camera placement, visible frontal face, direct eye contact, mirror substitution, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Direct Rear,1,False
"0102 | Perspective/Direct Rear/Direct Rear Camera — vertical editorial framing, 40mm natural-perspective lens, rule-of-thirds composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, rear silhouette given visual priority, frontal facial features excluded; environmental portrait distance; vertical editorial framing; 40mm natural-perspective lens; rule-of-thirds composition; deep focus across the visible environment; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","front-facing camera placement, visible frontal face, direct eye contact, mirror substitution, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Direct Rear,1,False
"0103 | Perspective/Direct Rear/Direct Rear Camera — three-quarter-length crop, 40mm natural-perspective lens, rule-of-thirds composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, rear silhouette given visual priority, frontal facial features excluded; intimate portrait distance; three-quarter-length crop; 40mm natural-perspective lens; rule-of-thirds composition; focus weighted toward rear silhouette when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","front-facing camera placement, visible frontal face, direct eye contact, mirror substitution, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Direct Rear,1,False
"0104 | Perspective/Direct Rear/Direct Rear Camera — waist-up crop, 35mm environmental lens, strong leading lines toward the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, rear silhouette given visual priority, frontal facial features excluded; camera distance balanced between subject and environment; waist-up crop; 35mm environmental lens; strong leading lines toward the subject; focus locked on the primary subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","front-facing camera placement, visible frontal face, direct eye contact, mirror substitution, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Direct Rear,1,False
"0105 | Perspective/Direct Rear/Direct Rear Camera — balanced square framing, 50mm standard lens, minimal uncluttered composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, rear silhouette given visual priority, frontal facial features excluded; camera close enough to retain material texture; balanced square framing; 50mm standard lens; minimal uncluttered composition; focus weighted toward facial detail when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","front-facing camera placement, visible frontal face, direct eye contact, mirror substitution, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Direct Rear,1,False
"0106 | Perspective/Direct Rear/Direct Rear Camera — full-figure framing, 50mm standard lens, minimal uncluttered composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, rear silhouette given visual priority, frontal facial features excluded; conversational camera distance; full-figure framing; 50mm standard lens; minimal uncluttered composition; focus weighted toward facial detail when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","front-facing camera placement, visible frontal face, direct eye contact, mirror substitution, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Direct Rear,1,False
"0107 | Perspective/Direct Rear/Direct Rear Camera — head-and-shoulders crop, 40mm natural-perspective lens, slightly off-centre editorial composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, rear silhouette given visual priority, frontal facial features excluded; wide scene distance; head-and-shoulders crop; 40mm natural-perspective lens; slightly off-centre editorial composition; foreground softly separated from the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","front-facing camera placement, visible frontal face, direct eye contact, mirror substitution, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Direct Rear,1,False
"0108 | Perspective/Direct Rear/Direct Rear Camera — head-and-shoulders crop, 35mm environmental lens, environmental elements framing the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, rear silhouette given visual priority, frontal facial features excluded; intimate portrait distance; head-and-shoulders crop; 35mm environmental lens; environmental elements framing the subject; focus locked on the primary subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","front-facing camera placement, visible frontal face, direct eye contact, mirror substitution, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Direct Rear,1,False
"0109 | Perspective/Direct Rear/Direct Rear Camera — head-and-shoulders crop, 35mm environmental lens, symmetrical visual balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, rear silhouette given visual priority, frontal facial features excluded; intimate portrait distance; head-and-shoulders crop; 35mm environmental lens; symmetrical visual balance; shallow depth of field with clean subject separation; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","front-facing camera placement, visible frontal face, direct eye contact, mirror substitution, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Direct Rear,1,False
"0110 | Perspective/Direct Rear/Direct Rear Camera — waist-up crop, 24mm wide-angle lens, slightly off-centre editorial composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, rear silhouette given visual priority, frontal facial features excluded; camera far enough back to preserve spatial context; waist-up crop; 24mm wide-angle lens; slightly off-centre editorial composition; clean edge separation around the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","front-facing camera placement, visible frontal face, direct eye contact, mirror substitution, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Direct Rear,1,False
