index,name,prompt,negative_prompt,category,weight,favorite
1,H3 Safe/Female/Underwear & Lingerie/Seamless Bralette and Brief Set,"Adult woman wearing a seamless bralette and brief set, clean premium styling, logo-free construction, realistic fabric behaviour, flattering but natural fit, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Underwear & Lingerie,1,False
2,H3 Safe/Female/Underwear & Lingerie/Wireless Bra and Hipster Set,"Adult woman wearing a wireless bra and hipster set, clean premium styling, logo-free construction, realistic fabric behaviour, flattering but natural fit, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Underwear & Lingerie,1,False
3,H3 Safe/Female/Underwear & Lingerie/Soft-cup Bra and High-waist Brief Set,"Adult woman wearing a soft-cup bra and high-waist brief set, clean premium styling, logo-free construction, realistic fabric behaviour, flattering but natural fit, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Underwear & Lingerie,1,False
4,H3 Safe/Female/Underwear & Lingerie/Sports Bra and Brief Set,"Adult woman wearing a sports bra and brief set, clean premium styling, logo-free construction, realistic fabric behaviour, flattering but natural fit, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Underwear & Lingerie,1,False
5,H3 Safe/Female/Underwear & Lingerie/Longline Bra and Brief Set,"Adult woman wearing a longline bra and brief set, clean premium styling, logo-free construction, realistic fabric behaviour, flattering but natural fit, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Underwear & Lingerie,1,False
6,H3 Safe/Female/Underwear & Lingerie/Balconette Bra and Brief Set,"Adult woman wearing a balconette bra and brief set, clean premium styling, logo-free construction, realistic fabric behaviour, flattering but natural fit, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Underwear & Lingerie,1,False
7,H3 Safe/Female/Underwear & Lingerie/Triangle Bra and Tanga Set,"Adult woman wearing a triangle bra and tanga set, clean premium styling, logo-free construction, realistic fabric behaviour, flattering but natural fit, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Underwear & Lingerie,1,False
8,H3 Safe/Female/Underwear & Lingerie/Bralette and Cheeky Panty Set,"Adult woman wearing a bralette and cheeky panty set, clean premium styling, logo-free construction, realistic fabric behaviour, flattering but natural fit, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Underwear & Lingerie,1,False
9,H3 Safe/Female/Underwear & Lingerie/Plunge Bra and Brazilian Panty Set,"Adult woman wearing a plunge bra and brazilian panty set, clean premium styling, logo-free construction, realistic fabric behaviour, flattering but natural fit, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Underwear & Lingerie,1,False
10,H3 Safe/Female/Underwear & Lingerie/Underwire Bra and Boyshort Set,"Adult woman wearing a underwire bra and boyshort set, clean premium styling, logo-free construction, realistic fabric behaviour, flattering but natural fit, and stable readable garment structure suitable for clean H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/H3 Safe/Female/Underwear & Lingerie,1,False
