index,name,prompt,negative_prompt,category,weight,favorite
1,Director Handoff — Exact Frame,"HANDOFF: the next scene starts from this scene's exact final frame with no identity, pose, camera, lighting, scene, prop, or audio reset.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Director Handoffs & Final Shots,1.0,False
2,Director Handoff — Motion,"HANDOFF: preserve subject direction and camera momentum across the cut, then continue one next action naturally.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Director Handoffs & Final Shots,1.0,False
3,Director Handoff — Audio,"HANDOFF: keep the same dialogue timing, music phrase, ambience, and acoustic space through the scene boundary.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Director Handoffs & Final Shots,1.0,False
4,Director Handoff — Held Object,"HANDOFF: preserve the held object, hand ownership, grip, orientation, scale, and contact through the next scene.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Director Handoffs & Final Shots,1.0,False
5,Director Handoff — Weather,"HANDOFF: preserve weather, wind direction, precipitation, wet surfaces, and atmospheric visibility.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Director Handoffs & Final Shots,1.0,False
6,Director Handoff — Secondary Cast,"HANDOFF: preserve all secondary characters, their positions, outfits, actions, and interaction timing.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Director Handoffs & Final Shots,1.0,False
7,Final Shot — Stable Portrait,"FINAL SHOT: settle on a clean stable portrait with readable face, unobstructed eyes, soft natural breathing, and a 2-second hold.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Director Handoffs & Final Shots,1.0,False
8,Final Shot — Full Fashion Look,"FINAL SHOT: show the complete outfit, footwear, accessories, and hair in a stable full-body pose for 2 seconds.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Director Handoffs & Final Shots,1.0,False
9,Final Shot — Product Hero,"FINAL SHOT: hold a sharp product hero frame with stable label, material, reflections, and negative space.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Director Handoffs & Final Shots,1.0,False
10,Final Shot — Dialogue Reaction,"FINAL SHOT: complete the line, settle into the specified expression, preserve eye line, and hold in quiet room tone.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Director Handoffs & Final Shots,1.0,False
11,Final Shot — Choreography Pose,"FINAL SHOT: complete the choreography, stabilize anatomy and ground contact, and hold the final pose for 2 seconds.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Director Handoffs & Final Shots,1.0,False
12,Final Shot — Drone Overview,FINAL SHOT: decelerate into a stable aerial overview with steady horizon and readable subject position.,"identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Director Handoffs & Final Shots,1.0,False
13,Final Shot — Horror Reveal,"FINAL SHOT: complete one restrained reveal, hold the unsettling composition, and preserve intentional silence or ambience.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Director Handoffs & Final Shots,1.0,False
14,Final Shot — Continuation Ready,"FINAL SHOT: reduce motion and blur, avoid occlusion, preserve direction and camera path, and hold a clean continuation-ready frame.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Director Handoffs & Final Shots,1.0,False
