name,prompt,negative_prompt,category,weight,favorite
0001 | Confident Standing,"adult woman, confident standing pose, one hand on hip, elegant glamour pose, fashion photography, stylish outfit","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Standing Glamour,1.0,False
0002 | Over Shoulder Look,"adult woman, looking back over shoulder, confident expression, tasteful sensual pose, cinematic lighting, fashion editorial","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Standing Glamour,1.0,False
0003 | Hand In Hair,"adult woman, one hand in hair, relaxed glamour pose, soft confident expression, studio lighting","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Standing Glamour,1.0,False
0004 | Hip Pop Pose,"adult woman, hip popped to one side, stylish model pose, confident body language, glamour fashion photography","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Standing Glamour,1.0,False
0005 | Wall Lean,"adult woman, leaning against wall, relaxed confident pose, tasteful glamour style, cinematic shadows","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Standing Glamour,1.0,False
0006 | Doorway Pose,"adult woman, standing in doorway, elegant alluring pose, confident gaze, fashion editorial lighting","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Standing Glamour,1.0,False
0007 | Window Light Pose,"adult woman, posing near window, soft natural light, tasteful sensual glamour pose, elegant styling","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Standing Glamour,1.0,False
0008 | Seated Glamour,"adult woman, seated elegant pose, legs angled gracefully, confident expression, high fashion photography","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Sitting,1.0,False
0009 | Chair Lean Back,"adult woman, leaning back in chair, confident glamour pose, elegant posture, dramatic studio lighting","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Sitting,1.0,False
0010 | Backward Chair Pose,"adult woman, seated backwards on chair, confident fashion pose, stylish editorial look, tasteful glamour","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Sitting,1.0,False
0011 | Couch Lounge,"adult woman, reclining on couch, relaxed glamour pose, confident expression, soft studio lighting","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Sitting,1.0,False
0012 | Luxury Sofa Pose,"adult woman, luxury sofa pose, elegant relaxed glamour, confident gaze, cinematic fashion shoot","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Sitting,1.0,False
0013 | Floor Lounge,"adult woman, lounging on floor, graceful fashion pose, tasteful glamour, dramatic lighting","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Prone/Kneeling,1.0,False
0014 | Kneeling Fashion Pose,"adult woman, kneeling fashion pose, elegant posture, confident expression, glamour editorial","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Prone/Kneeling,1.0,False
0015 | Side Profile Pose,"adult woman, side profile pose, elegant silhouette, tasteful glamour styling, cinematic mood","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Standing Glamour,1.0,False
0016 | Back View Glamour,"adult woman, tasteful back view pose, looking over shoulder, elegant fashion styling, soft lighting","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Standing Glamour,1.0,False
0017 | Standing Silhouette,"adult woman, elegant standing silhouette pose, backlit glamour, stylish outfit, cinematic atmosphere","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Standing Glamour,1.0,False
0018 | Runway Turn,"adult woman, mid turn runway pose, confident attitude, high fashion styling, editorial photography","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Movement,1.0,False
0019 | Walking Toward Camera,"adult woman, walking toward camera, confident runway energy, stylish outfit, glamour fashion photo","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Movement,1.0,False
0020 | Power Pose,"adult woman, powerful confident stance, shoulders back, hands on waist, glamorous fashion editorial","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Standing Glamour,1.0,False
0021 | Femme Fatale Pose,"adult woman, femme fatale pose, mysterious confident expression, noir glamour, dramatic shadows","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Standing Glamour,1.0,False
0022 | Old Hollywood Glamour,"adult woman, old Hollywood glamour pose, elegant dress, soft dramatic lighting, red carpet style","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Standing Glamour,1.0,False
0023 | Red Carpet Pose,"adult woman, red carpet pose, one hand on waist, elegant confident expression, luxury fashion look","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Standing Glamour,1.0,False
0024 | Pin Up Inspired,"adult woman, vintage pin up inspired glamour pose, playful confident expression, retro fashion styling","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Standing Glamour,1.0,False
0025 | Noir Glamour,"adult woman, noir inspired glamour pose, dramatic shadows, confident elegant styling, cinematic mood","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Standing Glamour,1.0,False
0026 | Arm Above Head,"adult woman, one arm above head, elegant glamour pose, graceful body line, studio lighting","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Standing Glamour,1.0,False
0027 | Both Arms Raised,"adult woman, both arms raised gracefully, confident fashion pose, stylish outfit, glamour photography","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Standing Glamour,1.0,False
0028 | Hand On Neck,"adult woman, hand gently on neck, elegant sensual glamour pose, soft lighting, fashion editorial","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Standing Glamour,1.0,False
0029 | Hand On Shoulder,"adult woman, hand on shoulder, graceful glamour pose, confident expression, stylish fashion lighting","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Standing Glamour,1.0,False
0030 | Soft Smile Glamour,"adult woman, soft smile, relaxed tasteful sensual pose, elegant fashion photography, dreamy lighting","child, teen, underage, minor, explicit nudity, pornographic, vulgar, low quality, malformed pose, broken anatomy",Standing Glamour,1.0,False
