index,name,prompt,negative_prompt,category,weight,favorite
1,Cyber-Goth Bodysuit Look,"Dress <Subject 1> in cyber-goth bodysuit look, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep all luminous details attached and stable rather than floating.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Cyber Tech Rave,1.0,False
2,Cyber-Goth Mini Dress,"Dress <Subject 1> in cyber-goth mini dress, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep all luminous details attached and stable rather than floating.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Cyber Tech Rave,1.0,False
3,Cyber-Goth Cargo Set,"Dress <Subject 1> in cyber-goth cargo set, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep all luminous details attached and stable rather than floating.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Cyber Tech Rave,1.0,False
4,Cyber-Goth Layered Club Outfit,"Dress <Subject 1> in cyber-goth layered club outfit, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep all luminous details attached and stable rather than floating.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Cyber Tech Rave,1.0,False
5,Cyber-Goth Jacket and Skirt Set,"Dress <Subject 1> in cyber-goth jacket and skirt set, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep all luminous details attached and stable rather than floating.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Cyber Tech Rave,1.0,False
6,Cyber-Goth Performance Outfit,"Dress <Subject 1> in cyber-goth performance outfit, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep all luminous details attached and stable rather than floating.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Cyber Tech Rave,1.0,False
7,Cyberpunk Bodysuit Look,"Dress <Subject 1> in cyberpunk bodysuit look, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep all luminous details attached and stable rather than floating.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Cyber Tech Rave,1.0,False
8,Cyberpunk Mini Dress,"Dress <Subject 1> in cyberpunk mini dress, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep all luminous details attached and stable rather than floating.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Cyber Tech Rave,1.0,False
9,Cyberpunk Cargo Set,"Dress <Subject 1> in cyberpunk cargo set, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep all luminous details attached and stable rather than floating.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Cyber Tech Rave,1.0,False
10,Cyberpunk Layered Club Outfit,"Dress <Subject 1> in cyberpunk layered club outfit, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Keep all luminous details attached and stable rather than floating.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Alternative Goth Cyber Fetishwear | Cyber Tech Rave,1.0,False
