name,category,prompt,negative_prompt
none,Control,,
random,Control,,
Animal / African elephant — Clear Identity,Animals / African wildlife,"a African elephant as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Animal / African lion — Clear Identity,Animals / Big cats,"a African lion as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Animal / grey wolf — Clear Identity,Animals / Wild canines,"a grey wolf as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Animal / brown bear — Clear Identity,Animals / Bears,"a brown bear as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Animal / western gorilla — Clear Identity,Animals / Primates,"a western gorilla as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Animal / moose — Clear Identity,Animals / Hoofed animals,"a moose as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Animal / red kangaroo — Clear Identity,Animals / Australian wildlife,"a red kangaroo as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Animal / Holstein cow — Clear Identity,Animals / Farm animals,"a Holstein cow as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Animal / golden retriever — Clear Identity,Animals / Domestic pets,"a golden retriever as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Animal / peacock — Clear Identity,Animals / Birds,"a peacock as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Animal / bald eagle — Clear Identity,Animals / Birds of prey,"a bald eagle as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Animal / saltwater crocodile — Clear Identity,Animals / Reptiles,"a saltwater crocodile as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Animal / red-eyed tree frog — Clear Identity,Animals / Amphibians,"a red-eyed tree frog as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Animal / blue whale — Clear Identity,Animals / Marine mammals,"a blue whale as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Animal / great white shark — Clear Identity,Animals / Sharks and rays,"a great white shark as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Animal / clownfish — Clear Identity,Animals / Fish,"a clownfish as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Animal / monarch butterfly — Clear Identity,Animals / Insects,"a monarch butterfly as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Animal / peacock spider — Clear Identity,Animals / Arachnids,"a peacock spider as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Animal / Tyrannosaurus rex — Clear Identity,Animals / Prehistoric animals,"a Tyrannosaurus rex as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
