name,prompt,negative_prompt,category,weight,favorite
0001 | Anime/Clean Cel Shading,"high-quality anime illustration, clean confident linework, controlled cel shading, polished animation key visual, cohesive color design","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, photorealistic skin, muddy shading",Anime,1.0,True
0002 | Anime/Soft Cinematic,"cinematic anime illustration, refined facial detail, soft cel shading, atmospheric depth, subtle bloom, filmic composition","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, flat lifeless lighting",Anime,1.0,False
0003 | Anime/90s OVA,"1990s original video animation aesthetic, hand-painted cel texture, strong ink lines, dramatic shadows, nostalgic color palette","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, modern 3d render, glossy plastic",Anime,1.0,False
0004 | Anime/Manga Ink,"manga illustration, crisp black ink, expressive line weight, screentone shading, dynamic panel-ready composition","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, painterly blur, full photorealism",Anime,1.0,False
0005 | Anime/Watercolor,"anime character art with delicate watercolor washes, fine linework, paper texture, gentle gradients, luminous highlights","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, harsh digital noise",Anime,1.0,False
0006 | Cinematic/Prestige Film Still,"prestige cinematic film still, deliberate production design, naturalistic lighting, shallow depth of field, refined color grade","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, cheap television lighting",Cinematic,1.0,True
0007 | Cinematic/Neo Noir,"neo-noir cinema, deep shadows, practical neon light, reflective surfaces, tense composition, restrained color palette","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, cheerful flat lighting",Cinematic,1.0,False
0008 | Cinematic/Epic Adventure,"epic adventure film frame, sweeping scale, heroic composition, atmospheric perspective, rich environmental storytelling","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, cramped framing",Cinematic,1.0,False
0009 | Cinematic/Dream Sequence,"surreal cinematic dream sequence, soft diffusion, symbolic imagery, elegant motion blur, ethereal color grade","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, documentary realism",Cinematic,1.0,False
0010 | Illustration/Editorial,"premium editorial illustration, clean shapes, sophisticated palette, deliberate negative space, magazine-quality finish","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, cluttered layout",Illustration,1.0,False
0011 | Illustration/Storybook,"luxurious storybook illustration, expressive characters, hand-painted texture, whimsical environmental detail, warm narrative mood","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, sterile render",Illustration,1.0,False
0012 | Illustration/Fashion,"high-fashion editorial illustration, elongated elegant forms, expressive brushwork, couture detail, clean graphic composition","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, casual snapshot",Illustration,1.0,False
0013 | Illustration/Concept Art,"professional concept art, readable silhouette, coherent material design, cinematic lighting, production-ready detail","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, incoherent costume",Illustration,1.0,True
0014 | Comic/Modern Superhero,"modern superhero comic art, bold inks, controlled crosshatching, dramatic foreshortening, saturated print color","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, weak pose",Comic,1.0,False
0015 | Comic/European Graphic Novel,"European graphic novel aesthetic, elegant line art, painterly color, grounded anatomy, atmospheric urban detail","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, chibi proportions",Comic,1.0,False
0016 | Comic/Pulp Cover,"vintage pulp cover illustration, bold dramatic pose, painted texture, strong title-space composition, heightened suspense","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, minimalist empty scene",Comic,1.0,False
0017 | Painting/Oil Portrait,"classical oil portrait, layered brushwork, rich glazing, lifelike fabric and skin, museum-quality lighting","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, vector flatness",Painting,1.0,False
0018 | Painting/Impressionist,"impressionist painting, lively broken brushwork, luminous color, atmospheric light, poetic natural movement","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, hard digital edges",Painting,1.0,False
0019 | Painting/Dark Romantic,"dark romantic painting, dramatic chiaroscuro, emotional grandeur, deep jewel tones, textured canvas finish","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, bright commercial look",Painting,1.0,False
0020 | Painting/Gouache,"gouache illustration, opaque matte color, visible brush texture, graphic shapes, tasteful handcrafted finish","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, glossy 3d",Painting,1.0,False
0021 | Fantasy/High Fantasy,"high fantasy key art, ornate worldbuilding, majestic atmosphere, magical illumination, epic narrative detail","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, mundane modern objects",Fantasy,1.0,True
0022 | Fantasy/Dark Fantasy,"dark fantasy illustration, ancient ruins, ominous atmosphere, intricate armor and fabric, dramatic supernatural light","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, cute cheerful tone",Fantasy,1.0,False
0023 | Fantasy/Fairy Tale,"enchanted fairy-tale illustration, luminous forest atmosphere, delicate magical details, romantic storybook composition","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, industrial sci-fi",Fantasy,1.0,False
0024 | Fantasy/Sword And Sorcery,"classic sword-and-sorcery painting, muscular action, exotic ruins, vivid dramatic color, energetic brushwork","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, passive pose",Fantasy,1.0,False
0025 | Horror/Gothic,"gothic horror art, candlelit shadows, decayed elegance, oppressive architecture, restrained crimson accents","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, cheerful daylight",Horror,1.0,False
0026 | Horror/Psychological,"psychological horror image, subtle visual unease, uncanny symmetry, quiet tension, realistic cinematic treatment","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, goofy expression",Horror,1.0,False
0027 | Horror/Cosmic,"cosmic horror illustration, incomprehensible scale, strange celestial geometry, tiny human silhouette, ominous atmosphere","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, friendly whimsical mood",Horror,1.0,False
0028 | Horror/Vintage Poster,"vintage horror poster art, hand-painted theatrical lighting, distressed print texture, dramatic suspense composition","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, clean corporate design",Horror,1.0,False
0029 | Sci-Fi/Cyberpunk,"cyberpunk key art, dense neon city detail, advanced wearable technology, rain reflections, cinematic contrast","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, medieval setting",Sci-Fi,1.0,True
0030 | Sci-Fi/Solarpunk,"solarpunk illustration, lush integrated architecture, optimistic clean technology, warm sunlight, vibrant ecological detail","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, polluted dystopia",Sci-Fi,1.0,False
0031 | Sci-Fi/Retro Futurism,"retro-futurist design, streamlined chrome forms, optimistic mid-century color, analog controls, polished poster finish","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, modern generic smartphone",Sci-Fi,1.0,False
0032 | Sci-Fi/Space Opera,"space-opera concept art, monumental spacecraft, heroic characters, luminous nebulae, sweeping cinematic scale","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, tiny empty scene",Sci-Fi,1.0,False
0033 | Retro/Art Deco,"art deco illustration, geometric luxury, gold accents, elegant symmetry, polished 1920s poster design","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, rustic handmade look",Retro,1.0,False
0034 | Retro/1980s Airbrush,"1980s airbrush poster, glowing gradients, chrome highlights, dramatic horizon, glossy nostalgic finish","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, muted realism",Retro,1.0,False
