name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Low Rear Angle/Low Rear Camera — waist-up crop, 28mm moderately wide lens, clean negative space around the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and behind the subject, angled upward while retaining the rear-facing side; wide scene distance; waist-up crop; 28mm moderately wide lens; clean negative space around the subject; deep focus across the visible environment; coherent camera-to-scene geometry","high rear angle, frontal low angle, visible frontal face, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Rear Angle,1,False
"0002 | Perspective/Low Rear Angle/Low Rear Camera — waist-up crop, 105mm compressed portrait lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and behind the subject, angled upward while retaining the rear-facing side; wide scene distance; waist-up crop; 105mm compressed portrait lens; asymmetrical cinematic balance; foreground softly separated from the subject; coherent camera-to-scene geometry","high rear angle, frontal low angle, visible frontal face, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Rear Angle,1,False
"0003 | Perspective/Low Rear Angle/Low Rear Camera — cinematic landscape framing, 40mm natural-perspective lens, strong leading lines toward the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and behind the subject, angled upward while retaining the rear-facing side; camera far enough back to preserve spatial context; cinematic landscape framing; 40mm natural-perspective lens; strong leading lines toward the subject; focus weighted toward facial detail when visible; coherent camera-to-scene geometry","high rear angle, frontal low angle, visible frontal face, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Rear Angle,1,False
"0004 | Perspective/Low Rear Angle/Low Rear Camera — wide environmental framing, 50mm standard lens, centred composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and behind the subject, angled upward while retaining the rear-facing side; close camera distance; wide environmental framing; 50mm standard lens; centred composition; foreground softly separated from the subject; coherent camera-to-scene geometry","high rear angle, frontal low angle, visible frontal face, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Rear Angle,1,False
"0005 | Perspective/Low Rear Angle/Low Rear Camera — three-quarter-length crop, 105mm compressed portrait lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and behind the subject, angled upward while retaining the rear-facing side; environmental portrait distance; three-quarter-length crop; 105mm compressed portrait lens; asymmetrical cinematic balance; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","high rear angle, frontal low angle, visible frontal face, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Rear Angle,1,False
"0006 | Perspective/Low Rear Angle/Low Rear Camera — three-quarter-length crop, 85mm portrait lens, symmetrical visual balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and behind the subject, angled upward while retaining the rear-facing side; conversational camera distance; three-quarter-length crop; 85mm portrait lens; symmetrical visual balance; clean edge separation around the subject; coherent camera-to-scene geometry","high rear angle, frontal low angle, visible frontal face, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Rear Angle,1,False
"0007 | Perspective/Low Rear Angle/Low Rear Camera — cinematic landscape framing, 28mm moderately wide lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and behind the subject, angled upward while retaining the rear-facing side; environmental portrait distance; cinematic landscape framing; 28mm moderately wide lens; asymmetrical cinematic balance; deep focus across the visible environment; coherent camera-to-scene geometry","high rear angle, frontal low angle, visible frontal face, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Rear Angle,1,False
"0008 | Perspective/Low Rear Angle/Low Rear Camera — balanced square framing, 85mm portrait lens, rule-of-thirds composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and behind the subject, angled upward while retaining the rear-facing side; camera close enough to retain material texture; balanced square framing; 85mm portrait lens; rule-of-thirds composition; clean edge separation around the subject; coherent camera-to-scene geometry","high rear angle, frontal low angle, visible frontal face, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Rear Angle,1,False
"0009 | Perspective/Low Rear Angle/Low Rear Camera — medium crop, 50mm standard lens, slightly off-centre editorial composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and behind the subject, angled upward while retaining the rear-facing side; camera close enough to retain material texture; medium crop; 50mm standard lens; slightly off-centre editorial composition; focus weighted toward facial detail when visible; coherent camera-to-scene geometry","high rear angle, frontal low angle, visible frontal face, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Rear Angle,1,False
"0010 | Perspective/Low Rear Angle/Low Rear Camera — cinematic landscape framing, 105mm compressed portrait lens, centred composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and behind the subject, angled upward while retaining the rear-facing side; camera close enough to retain material texture; cinematic landscape framing; 105mm compressed portrait lens; centred composition; focus locked on the primary subject; coherent camera-to-scene geometry","high rear angle, frontal low angle, visible frontal face, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Rear Angle,1,False
"0011 | Perspective/Low Rear Angle/Low Rear Camera — full-figure framing, 135mm telephoto lens, slightly off-centre editorial composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and behind the subject, angled upward while retaining the rear-facing side; camera far enough back to preserve spatial context; full-figure framing; 135mm telephoto lens; slightly off-centre editorial composition; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","high rear angle, frontal low angle, visible frontal face, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Rear Angle,1,False
"0012 | Perspective/Low Rear Angle/Low Rear Camera — head-and-shoulders crop, 28mm moderately wide lens, minimal uncluttered composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and behind the subject, angled upward while retaining the rear-facing side; camera far enough back to preserve spatial context; head-and-shoulders crop; 28mm moderately wide lens; minimal uncluttered composition; focus weighted toward clothing and surface texture; coherent camera-to-scene geometry","high rear angle, frontal low angle, visible frontal face, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Rear Angle,1,False
