name,prompt,negative_prompt,category,weight,favorite
0001 | Kitchen/Pouring Espresso - Deliberate Pace,"pouring fresh espresso into a small ceramic cup, wrist steady, steam curling upward, movement slow and deliberate, attention fixed on exact hand placement","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0002 | Kitchen/Pouring Espresso - Quick Rhythm,"pouring fresh espresso into a small ceramic cup, wrist steady, steam curling upward, movement brisk and efficient, shoulders and elbows coordinating smoothly","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0003 | Kitchen/Pouring Espresso - Mid Motion,"pouring fresh espresso into a small ceramic cup, wrist steady, steam curling upward, held at the most readable point of the action, tools and ingredients clearly separated","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0004 | Kitchen/Pouring Espresso - Fine Detail,"pouring fresh espresso into a small ceramic cup, wrist steady, steam curling upward, fingers working close to the surface, small adjustments visible","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0005 | Kitchen/Pouring Espresso - Two Hand Control,"pouring fresh espresso into a small ceramic cup, wrist steady, steam curling upward, both hands sharing the task with balanced pressure and accurate grip","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0006 | Kitchen/Pouring Espresso - Reach And Return,"pouring fresh espresso into a small ceramic cup, wrist steady, steam curling upward, one arm extending to complete the task while the torso counterbalances","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0007 | Kitchen/Pouring Espresso - Final Step,"pouring fresh espresso into a small ceramic cup, wrist steady, steam curling upward, action nearing completion, finishing gesture precise and controlled","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0008 | Kitchen/Pouring Espresso - Starting Step,"pouring fresh espresso into a small ceramic cup, wrist steady, steam curling upward, action just beginning, hands positioned before the main force is applied","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0009 | Kitchen/Pouring Espresso - Side On Alignment,"pouring fresh espresso into a small ceramic cup, wrist steady, steam curling upward, body angled side-on, elbows creating clear working lines","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0010 | Kitchen/Pouring Espresso - Focused Pause,"pouring fresh espresso into a small ceramic cup, wrist steady, steam curling upward, brief pause within the task, hands still correctly positioned and ready to continue","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0011 | Kitchen/Slicing Vegetables - Deliberate Pace,"slicing vegetables into even pieces, guiding hand curled safely, knife moving with precision, movement slow and deliberate, attention fixed on exact hand placement","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0012 | Kitchen/Slicing Vegetables - Quick Rhythm,"slicing vegetables into even pieces, guiding hand curled safely, knife moving with precision, movement brisk and efficient, shoulders and elbows coordinating smoothly","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0013 | Kitchen/Slicing Vegetables - Mid Motion,"slicing vegetables into even pieces, guiding hand curled safely, knife moving with precision, held at the most readable point of the action, tools and ingredients clearly separated","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0014 | Kitchen/Slicing Vegetables - Fine Detail,"slicing vegetables into even pieces, guiding hand curled safely, knife moving with precision, fingers working close to the surface, small adjustments visible","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0015 | Kitchen/Slicing Vegetables - Two Hand Control,"slicing vegetables into even pieces, guiding hand curled safely, knife moving with precision, both hands sharing the task with balanced pressure and accurate grip","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0016 | Kitchen/Slicing Vegetables - Reach And Return,"slicing vegetables into even pieces, guiding hand curled safely, knife moving with precision, one arm extending to complete the task while the torso counterbalances","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0017 | Kitchen/Slicing Vegetables - Final Step,"slicing vegetables into even pieces, guiding hand curled safely, knife moving with precision, action nearing completion, finishing gesture precise and controlled","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0018 | Kitchen/Slicing Vegetables - Starting Step,"slicing vegetables into even pieces, guiding hand curled safely, knife moving with precision, action just beginning, hands positioned before the main force is applied","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0019 | Kitchen/Slicing Vegetables - Side On Alignment,"slicing vegetables into even pieces, guiding hand curled safely, knife moving with precision, body angled side-on, elbows creating clear working lines","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0020 | Kitchen/Slicing Vegetables - Focused Pause,"slicing vegetables into even pieces, guiding hand curled safely, knife moving with precision, brief pause within the task, hands still correctly positioned and ready to continue","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0021 | Kitchen/Kneading Dough - Deliberate Pace,"kneading soft dough with both palms, folding and pressing in a steady rhythm, movement slow and deliberate, attention fixed on exact hand placement","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0022 | Kitchen/Kneading Dough - Quick Rhythm,"kneading soft dough with both palms, folding and pressing in a steady rhythm, movement brisk and efficient, shoulders and elbows coordinating smoothly","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0023 | Kitchen/Kneading Dough - Mid Motion,"kneading soft dough with both palms, folding and pressing in a steady rhythm, held at the most readable point of the action, tools and ingredients clearly separated","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0024 | Kitchen/Kneading Dough - Fine Detail,"kneading soft dough with both palms, folding and pressing in a steady rhythm, fingers working close to the surface, small adjustments visible","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0025 | Kitchen/Kneading Dough - Two Hand Control,"kneading soft dough with both palms, folding and pressing in a steady rhythm, both hands sharing the task with balanced pressure and accurate grip","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0026 | Kitchen/Kneading Dough - Reach And Return,"kneading soft dough with both palms, folding and pressing in a steady rhythm, one arm extending to complete the task while the torso counterbalances","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0027 | Kitchen/Kneading Dough - Final Step,"kneading soft dough with both palms, folding and pressing in a steady rhythm, action nearing completion, finishing gesture precise and controlled","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0028 | Kitchen/Kneading Dough - Starting Step,"kneading soft dough with both palms, folding and pressing in a steady rhythm, action just beginning, hands positioned before the main force is applied","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0029 | Kitchen/Kneading Dough - Side On Alignment,"kneading soft dough with both palms, folding and pressing in a steady rhythm, body angled side-on, elbows creating clear working lines","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0030 | Kitchen/Kneading Dough - Focused Pause,"kneading soft dough with both palms, folding and pressing in a steady rhythm, brief pause within the task, hands still correctly positioned and ready to continue","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0031 | Kitchen/Whisking Batter - Deliberate Pace,"whisking batter in a deep bowl, one hand stabilising the bowl, circular motion clearly defined, movement slow and deliberate, attention fixed on exact hand placement","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0032 | Kitchen/Whisking Batter - Quick Rhythm,"whisking batter in a deep bowl, one hand stabilising the bowl, circular motion clearly defined, movement brisk and efficient, shoulders and elbows coordinating smoothly","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0033 | Kitchen/Whisking Batter - Mid Motion,"whisking batter in a deep bowl, one hand stabilising the bowl, circular motion clearly defined, held at the most readable point of the action, tools and ingredients clearly separated","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0034 | Kitchen/Whisking Batter - Fine Detail,"whisking batter in a deep bowl, one hand stabilising the bowl, circular motion clearly defined, fingers working close to the surface, small adjustments visible","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0035 | Kitchen/Whisking Batter - Two Hand Control,"whisking batter in a deep bowl, one hand stabilising the bowl, circular motion clearly defined, both hands sharing the task with balanced pressure and accurate grip","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0036 | Kitchen/Whisking Batter - Reach And Return,"whisking batter in a deep bowl, one hand stabilising the bowl, circular motion clearly defined, one arm extending to complete the task while the torso counterbalances","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
0037 | Kitchen/Whisking Batter - Final Step,"whisking batter in a deep bowl, one hand stabilising the bowl, circular motion clearly defined, action nearing completion, finishing gesture precise and controlled","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Kitchen,1.0,False
