index,name,prompt,negative_prompt,category,weight,favorite
1,Continue Exact Final Frame,"Begin from the exact final frame of the previous clip, preserving subject, pose, framing, lighting, environment, and camera direction.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Continuity & Handoff,1.0,False
2,One-Second Settle,Reserve the final 1 second for a clean settle with reduced motion blur and stable anatomy.,"identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Continuity & Handoff,1.0,False
3,Two-Second Settle,Reserve the final 2 seconds for a clean stable hold suitable for the next continuation clip.,"identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Continuity & Handoff,1.0,False
4,No Reset or Reframe,"Continue naturally without resetting the pose, recentering the subject, or changing the established framing.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Continuity & Handoff,1.0,False
5,Preserve Direction,Preserve the subject's direction of travel and screen direction across the continuation.,"identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Continuity & Handoff,1.0,False
6,Preserve Held Objects,"Keep every held object in the same hand with unchanged grip, orientation, scale, and appearance.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Continuity & Handoff,1.0,False
7,Preserve Camera Momentum,"Continue the established camera direction and momentum, then decelerate smoothly if a settle is requested.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Continuity & Handoff,1.0,False
8,Same Lighting,"Preserve the exact lighting direction, intensity, color temperature, and shadow structure.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Continuity & Handoff,1.0,False
9,Same Weather,"Preserve the established weather, wind direction, wetness, cloud cover, and atmospheric visibility.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Continuity & Handoff,1.0,False
10,Same Environment Layout,"Preserve the background, furniture, props, object positions, and spatial relationships.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Continuity & Handoff,1.0,False
11,Same Outfit State,"Preserve the exact outfit state, closures, layering, wrinkles, accessories, and footwear.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Continuity & Handoff,1.0,False
12,Same Hair State,"Preserve hairstyle, parting, loose strands, accessories, and wind response at the handoff.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Continuity & Handoff,1.0,False
13,Same Expression and Gaze,"Begin with the exact previous expression and gaze direction, then change only if explicitly requested.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Continuity & Handoff,1.0,False
14,Same Audio Bed,"Continue the same ambience or music bed without a restart, jump, or change in acoustic space.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Continuity & Handoff,1.0,False
15,Clean Continuation Start,"Hold the inherited first frame briefly, then begin one clear action without a reset.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Continuity & Handoff,1.0,False
16,Clean Continuation End,"Complete the action, reduce motion, stabilize the camera, and hold a readable final frame.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Continuity & Handoff,1.0,False
17,Occlusion-Safe Handoff,"End with the face, hands, body silhouette, and key props visible and free of severe occlusion.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Continuity & Handoff,1.0,False
18,Motion-Blur-Safe Handoff,Reduce speed and motion blur during the final 1–2 seconds while preserving direction and momentum.,"identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Continuity & Handoff,1.0,False
19,Director Scene Handoff,End the scene on one stable composition that the next scene can continue without reframe or identity reset.,"identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Continuity & Handoff,1.0,False
20,Audio-Visual Handoff,Finish on a stable visual frame with a clean sustained ambience or musical tail for seamless continuation.,"identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Continuity & Handoff,1.0,False
