index,name,prompt,negative_prompt,category,weight,favorite
1,Minimal Corset Belt,"Add minimal corset belt to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Keep every strap secure over the garment and stable across frames.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Waist Belts Harnesses | Corset Chain Harness Belts,1.0,False
2,Minimal Harness Belt Over Clothing,"Add minimal harness belt over clothing to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Keep every strap secure over the garment and stable across frames.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Waist Belts Harnesses | Corset Chain Harness Belts,1.0,False
3,Minimal Chain Belt,"Add minimal chain belt to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Keep every strap secure over the garment and stable across frames.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Waist Belts Harnesses | Corset Chain Harness Belts,1.0,False
4,Minimal Multi-Strap Belt,"Add minimal multi-strap belt to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Keep every strap secure over the garment and stable across frames.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Waist Belts Harnesses | Corset Chain Harness Belts,1.0,False
5,Geometric Corset Belt,"Add geometric corset belt to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Keep every strap secure over the garment and stable across frames.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Waist Belts Harnesses | Corset Chain Harness Belts,1.0,False
6,Geometric Harness Belt Over Clothing,"Add geometric harness belt over clothing to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Keep every strap secure over the garment and stable across frames.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Waist Belts Harnesses | Corset Chain Harness Belts,1.0,False
7,Geometric Chain Belt,"Add geometric chain belt to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Keep every strap secure over the garment and stable across frames.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Waist Belts Harnesses | Corset Chain Harness Belts,1.0,False
8,Geometric Multi-Strap Belt,"Add geometric multi-strap belt to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Keep every strap secure over the garment and stable across frames.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Waist Belts Harnesses | Corset Chain Harness Belts,1.0,False
9,Chain Corset Belt,"Add chain corset belt to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Keep every strap secure over the garment and stable across frames.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Waist Belts Harnesses | Corset Chain Harness Belts,1.0,False
10,Chain Harness Belt Over Clothing,"Add chain harness belt over clothing to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Keep every strap secure over the garment and stable across frames.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Waist Belts Harnesses | Corset Chain Harness Belts,1.0,False
11,Chain Chain Belt,"Add chain chain belt to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Keep every strap secure over the garment and stable across frames.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Waist Belts Harnesses | Corset Chain Harness Belts,1.0,False
12,Chain Multi-Strap Belt,"Add chain multi-strap belt to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Keep every strap secure over the garment and stable across frames.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Waist Belts Harnesses | Corset Chain Harness Belts,1.0,False
13,Corset-Laced Corset Belt,"Add corset-laced corset belt to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Keep every strap secure over the garment and stable across frames.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Waist Belts Harnesses | Corset Chain Harness Belts,1.0,False
14,Corset-Laced Harness Belt Over Clothing,"Add corset-laced harness belt over clothing to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Keep every strap secure over the garment and stable across frames.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Waist Belts Harnesses | Corset Chain Harness Belts,1.0,False
15,Corset-Laced Chain Belt,"Add corset-laced chain belt to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Keep every strap secure over the garment and stable across frames.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Waist Belts Harnesses | Corset Chain Harness Belts,1.0,False
16,Corset-Laced Multi-Strap Belt,"Add corset-laced multi-strap belt to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Keep every strap secure over the garment and stable across frames.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Waist Belts Harnesses | Corset Chain Harness Belts,1.0,False
