index,name,prompt
1,Deep Male Lead,A deep male lead vocal with authoritative low-mid presence and selective doubles.
2,Raspy Male Lead,"A raspy male lead with textured grit, urgent projection, and tight backing responses."
3,Powerful Female Lead,"A powerful female lead with clear projection, emotional range, and stacked chorus harmonies."
4,Breathy Female Lead,"A breathy female lead with intimate proximity, airy highs, and soft layered doubles."
5,Androgynous Lead,"An androgynous lead voice with flexible tone, modern intimacy, and subtle octave layering."
6,Dual Male / Female Leads,Alternating male and female leads with call-and-response verses and blended chorus harmonies.
7,Group / Crew Vocals,"A lead voice supported by crew shouts, gang responses, and wide unison hook layers."
8,Choir and Soloist,A featured soloist answered by a cinematic mixed choir with expanding harmonic weight.
9,Spoken / Sung Hybrid,A spoken-sung hybrid lead moving between conversational phrases and melodic refrains.
10,Instrumental / No Lead Vocal,"No lead singer; use instrumental themes, vocal textures only if wordless, and no lyrical foreground."
11,Warm Male Tenor,"Feature Warm Male Tenor as the vocal identity, with suitable doubles, harmonies, responses, and register management."
12,Male Falsetto Lead,"Feature Male Falsetto Lead as the vocal identity, with suitable doubles, harmonies, responses, and register management."
13,Female Alto Lead,"Feature Female Alto Lead as the vocal identity, with suitable doubles, harmonies, responses, and register management."
14,Female Soprano Lead,"Feature Female Soprano Lead as the vocal identity, with suitable doubles, harmonies, responses, and register management."
15,Androgynous Airy Lead,"Feature Androgynous Airy Lead as the vocal identity, with suitable doubles, harmonies, responses, and register management."
16,Mixed-Gender Duet,"Feature Mixed-Gender Duet as the vocal identity, with suitable doubles, harmonies, responses, and register management."
17,Male Rap and Female Hook,"Feature Male Rap and Female Hook as the vocal identity, with suitable doubles, harmonies, responses, and register management."
18,Female Rap and Male Hook,"Feature Female Rap and Male Hook as the vocal identity, with suitable doubles, harmonies, responses, and register management."
19,Youthful Pop Ensemble,"Feature Youthful Pop Ensemble as the vocal identity, with suitable doubles, harmonies, responses, and register management."
20,Mature Storyteller,"Feature Mature Storyteller as the vocal identity, with suitable doubles, harmonies, responses, and register management."
21,Small Gospel Choir,"Feature Small Gospel Choir as the vocal identity, with suitable doubles, harmonies, responses, and register management."
22,Massive Mixed Choir,"Feature Massive Mixed Choir as the vocal identity, with suitable doubles, harmonies, responses, and register management."
23,Monastic Male Choir,"Feature Monastic Male Choir as the vocal identity, with suitable doubles, harmonies, responses, and register management."
24,Children's Choir Texture,"Feature Children's Choir Texture as the vocal identity, with suitable doubles, harmonies, responses, and register management."
25,Synthetic AI Vocal,"Feature Synthetic AI Vocal as the vocal identity, with suitable doubles, harmonies, responses, and register management."
26,Vocoder Ensemble,"Feature Vocoder Ensemble as the vocal identity, with suitable doubles, harmonies, responses, and register management."
27,Deep Male Narrator,"A deep male speaking narrator with full low-mid presence, precise diction, controlled breath, and no singing."
28,Warm Male Storyteller,"A warm male speaking voice with human conversational detail, mature resonance, emotional flexibility, and no singing."
29,Raspy Male Speaker,"A raspy male speaking voice with textured grit, urgent projection, clear words, and no sung notes."
30,Soft Male Whisper,"A close soft male whisper with audible breath, intimate proximity, careful articulation, and no singing."
31,Warm Female Narrator,"A warm female speaking narrator with clear diction, rounded tone, emotional intelligence, and no singing."
32,Deep Female Narrator,"A deep female speaking voice with grounded authority, slow confident pacing, and no singing."
33,Breathy Female Whisper,"A breathy female whisper with intimate close-mic detail, soft articulation, and no sung melody."
34,Powerful Female Speaker,"A powerful female speaking voice with commanding projection, crisp emphasis, wide emotional range, and no singing."
35,Androgynous Narrator,"An androgynous speaking narrator with balanced tone, modern intimacy, precise diction, and no singing."
36,Elder Storyteller,"An elderly speaking storyteller with lived-in texture, deliberate pacing, gentle breath, and no singing."
37,Youthful Speaker,"A youthful speaking voice with bright clarity, natural conversational energy, and no singing."
38,Dual Spoken Voices,"Two distinct speaking voices alternating naturally in dialogue, with no singing or harmonized vocals."
39,Group Spoken Voices,"A small group of clearly staged speaking voices for crowd response or ensemble dialogue, with no singing."
,Female Duo,"Use Female Duo as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Female Duet — Contrasting Voices,"Use Female Duet — Contrasting Voices as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
