index,name,prompt,negative_prompt,category,weight,favorite
1,Subject Definition,"Define each subject once using stable identity traits, outfit, role, and location; preserve those definitions throughout.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Full Reference Snippets,1.0,False
2,Scene Preservation,"Preserve the reference scene: background, furniture, vehicles, props, secondary characters, lighting, staging, framing, and object positions.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Full Reference Snippets,1.0,False
3,Target Character Replacement,"Replace only the named target character with the target reference identity while retaining the original action, pose, and scene relationship.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Full Reference Snippets,1.0,False
4,Non-Target Preservation,"Do not alter, delete, duplicate, or restyle non-target characters or background elements.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Full Reference Snippets,1.0,False
5,Audio Reuse,"Reuse the supplied source audio in synchronization with the visible action, preserving timing and continuity.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Full Reference Snippets,1.0,False
6,Audio Timing Reference,Use the supplied audio as timing and rhythm guidance only; create matching synchronization without claiming source-audio reuse.,"reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Full Reference Snippets,1.0,False
7,Full Reference Identity Lock,"Preserve the target face, body proportions, skin tone, age, hair, and distinctive features across every frame.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Full Reference Snippets,1.0,False
8,Full Reference Outfit Lock,"Preserve referenced garment type, color, material, construction, closures, trim, footwear, and accessories.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Full Reference Snippets,1.0,False
9,Full Reference Motion Lock,"Preserve the source motion timing, pose progression, direction, contact points, and spatial path.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Full Reference Snippets,1.0,False
10,Full Reference Camera Lock,"Preserve the source camera path, speed, amplitude, framing changes, horizon, and cut structure.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Full Reference Snippets,1.0,False
11,Animated-to-Photoreal Motion,Preserve the animated reference choreography and timing while rendering physically believable photoreal live action; do not copy illustrated rendering.,"reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Full Reference Snippets,1.0,False
12,One Character from Many Views,Treat all views of the same subject as one character definition and use them only to improve multi-angle consistency.,"reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Full Reference Snippets,1.0,False
13,Reference Sheet Cleanup,"Use the multi-panel sheet for identity understanding only; generate one continuous scene and do not reproduce borders, labels, or panels.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Full Reference Snippets,1.0,False
14,Preserve Secondary Character Interaction,Keep all secondary characters and their interaction timing unchanged while replacing only the target.,"reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Full Reference Snippets,1.0,False
15,Preserve Held Props,"Keep source props, hand ownership, grip, orientation, contact, and timing unchanged.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Full Reference Snippets,1.0,False
16,Preserve Source Lighting,"Keep source light direction, intensity, color, shadow movement, reflections, and time of day.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Full Reference Snippets,1.0,False
17,Preserve Source Weather,"Keep source weather, wind direction, precipitation, wetness, and atmospheric visibility consistent.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Full Reference Snippets,1.0,False
18,Full Reference Handoff,"End on a clean stable frame that preserves target identity, non-target content, camera direction, lighting, and audio continuity.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Full Reference Snippets,1.0,False
