index,name,prompt,negative_prompt,category,weight,favorite
1,Female/Alternative & Fetishwear/Latex Bodysuit,"Adult woman wearing a latex bodysuit, styled as fashion-oriented alternative wear with clear garment structure, premium finish, unbranded construction, and a strong visual silhouette.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Alternative & Fetishwear,1,False
2,Female/Alternative & Fetishwear/Latex Dress,"Adult woman wearing a latex dress, styled as fashion-oriented alternative wear with clear garment structure, premium finish, unbranded construction, and a strong visual silhouette.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Alternative & Fetishwear,1,False
3,Female/Alternative & Fetishwear/Rubber Bodysuit,"Adult woman wearing a rubber bodysuit, styled as fashion-oriented alternative wear with clear garment structure, premium finish, unbranded construction, and a strong visual silhouette.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Alternative & Fetishwear,1,False
4,Female/Alternative & Fetishwear/PVC Bodysuit,"Adult woman wearing a pvc bodysuit, styled as fashion-oriented alternative wear with clear garment structure, premium finish, unbranded construction, and a strong visual silhouette.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Alternative & Fetishwear,1,False
5,Female/Alternative & Fetishwear/PVC Mini Dress,"Adult woman wearing a pvc mini dress, styled as fashion-oriented alternative wear with clear garment structure, premium finish, unbranded construction, and a strong visual silhouette.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Alternative & Fetishwear,1,False
6,Female/Alternative & Fetishwear/Vinyl Wet-look Bodysuit,"Adult woman wearing a vinyl wet-look bodysuit, styled as fashion-oriented alternative wear with clear garment structure, premium finish, unbranded construction, and a strong visual silhouette.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Alternative & Fetishwear,1,False
7,Female/Alternative & Fetishwear/Wet-look Leggings,"Adult woman wearing a wet-look leggings, styled as fashion-oriented alternative wear with clear garment structure, premium finish, unbranded construction, and a strong visual silhouette.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Alternative & Fetishwear,1,False
8,Female/Alternative & Fetishwear/Wet-look Catsuit,"Adult woman wearing a wet-look catsuit, styled as fashion-oriented alternative wear with clear garment structure, premium finish, unbranded construction, and a strong visual silhouette.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Alternative & Fetishwear,1,False
9,Female/Alternative & Fetishwear/Leather Harness Dress,"Adult woman wearing a leather harness dress, styled as fashion-oriented alternative wear with clear garment structure, premium finish, unbranded construction, and a strong visual silhouette.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Alternative & Fetishwear,1,False
10,Female/Alternative & Fetishwear/Leather-look Bodysuit,"Adult woman wearing a leather-look bodysuit, styled as fashion-oriented alternative wear with clear garment structure, premium finish, unbranded construction, and a strong visual silhouette.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Alternative & Fetishwear,1,False
