name,prompt,negative_prompt,category,weight,favorite
0001 | Female/Casual/Levi's - Denim Trucker + Straight Denim,"Levi's structured denim trucker jacket with branded metal buttons and clean contrast stitching, high-rise straight-leg denim, leather loafers, compact shoulder bag, accurate logo scale and placement, realistic stitching, natural fabric drape, coordinated accessories","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Female/Casual,1.0,False
0002 | Female/Casual/Levi's - Denim Trucker + Pleated Trousers,"Levi's structured denim trucker jacket with branded metal buttons and clean contrast stitching, wide pleated trousers, clean leather sneakers, slim belt, faithful brand proportions, authentic hardware, believable folds, clean garment separation","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Female/Casual,1.0,False
0003 | Female/Casual/Levi's - Denim Trucker + Midi Skirt,"Levi's structured denim trucker jacket with branded metal buttons and clean contrast stitching, fluid midi skirt, ankle boots, structured tote, precise seams and fasteners, premium material texture, balanced layering, polished styling","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Female/Casual,1.0,False
0004 | Female/Casual/Levi's - Denim Trucker + Tailored Shorts,"Levi's structured denim trucker jacket with branded metal buttons and clean contrast stitching, tailored shorts, low-profile trainers, woven belt, recognisable branded detailing, correct sole shape, realistic fabric weight, carefully matched colours","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Female/Casual,1.0,False
0005 | Female/Casual/Levi's - Denim Trucker + Corduroy Pants,"Levi's structured denim trucker jacket with branded metal buttons and clean contrast stitching, wide corduroy trousers, polished Chelsea boots, small crossbody bag, crisp embroidery and labels, practical construction, refined fit, consistent material response","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Female/Casual,1.0,False
0006 | Female/Casual/Levi's - Fine Knit Cardigan + Straight Denim,"Levi's fine-knit cardigan with polished buttons, ribbed trims, and discreet chest branding, high-rise straight-leg denim, leather loafers, compact shoulder bag, accurate logo scale and placement, realistic stitching, natural fabric drape, coordinated accessories","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Female/Casual,1.0,False
0007 | Female/Casual/Levi's - Fine Knit Cardigan + Pleated Trousers,"Levi's fine-knit cardigan with polished buttons, ribbed trims, and discreet chest branding, wide pleated trousers, clean leather sneakers, slim belt, faithful brand proportions, authentic hardware, believable folds, clean garment separation","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Female/Casual,1.0,False
0008 | Female/Casual/Levi's - Fine Knit Cardigan + Midi Skirt,"Levi's fine-knit cardigan with polished buttons, ribbed trims, and discreet chest branding, fluid midi skirt, ankle boots, structured tote, precise seams and fasteners, premium material texture, balanced layering, polished styling","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Female/Casual,1.0,False
0009 | Female/Casual/Levi's - Fine Knit Cardigan + Tailored Shorts,"Levi's fine-knit cardigan with polished buttons, ribbed trims, and discreet chest branding, tailored shorts, low-profile trainers, woven belt, recognisable branded detailing, correct sole shape, realistic fabric weight, carefully matched colours","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Female/Casual,1.0,False
0010 | Female/Casual/Levi's - Fine Knit Cardigan + Corduroy Pants,"Levi's fine-knit cardigan with polished buttons, ribbed trims, and discreet chest branding, wide corduroy trousers, polished Chelsea boots, small crossbody bag, crisp embroidery and labels, practical construction, refined fit, consistent material response","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Female/Casual,1.0,False
0011 | Female/Casual/Levi's - Oxford Shirt + Straight Denim,"Levi's crisp cotton Oxford shirt with shaped collar, precise cuffs, and restrained embroidered branding, high-rise straight-leg denim, leather loafers, compact shoulder bag, accurate logo scale and placement, realistic stitching, natural fabric drape, coordinated accessories","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Female/Casual,1.0,False
0012 | Female/Casual/Levi's - Oxford Shirt + Pleated Trousers,"Levi's crisp cotton Oxford shirt with shaped collar, precise cuffs, and restrained embroidered branding, wide pleated trousers, clean leather sneakers, slim belt, faithful brand proportions, authentic hardware, believable folds, clean garment separation","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Female/Casual,1.0,False
0013 | Female/Casual/Levi's - Oxford Shirt + Midi Skirt,"Levi's crisp cotton Oxford shirt with shaped collar, precise cuffs, and restrained embroidered branding, fluid midi skirt, ankle boots, structured tote, precise seams and fasteners, premium material texture, balanced layering, polished styling","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Female/Casual,1.0,False
0014 | Female/Casual/Levi's - Oxford Shirt + Tailored Shorts,"Levi's crisp cotton Oxford shirt with shaped collar, precise cuffs, and restrained embroidered branding, tailored shorts, low-profile trainers, woven belt, recognisable branded detailing, correct sole shape, realistic fabric weight, carefully matched colours","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Female/Casual,1.0,False
0015 | Female/Casual/Levi's - Oxford Shirt + Corduroy Pants,"Levi's crisp cotton Oxford shirt with shaped collar, precise cuffs, and restrained embroidered branding, wide corduroy trousers, polished Chelsea boots, small crossbody bag, crisp embroidery and labels, practical construction, refined fit, consistent material response","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Female/Casual,1.0,False
0016 | Female/Casual/Levi's - Relaxed Blazer + Straight Denim,"Levi's relaxed single-breasted blazer with soft shoulders, lined pockets, and refined branded hardware, high-rise straight-leg denim, leather loafers, compact shoulder bag, accurate logo scale and placement, realistic stitching, natural fabric drape, coordinated accessories","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Female/Casual,1.0,False
0017 | Female/Casual/Levi's - Relaxed Blazer + Pleated Trousers,"Levi's relaxed single-breasted blazer with soft shoulders, lined pockets, and refined branded hardware, wide pleated trousers, clean leather sneakers, slim belt, faithful brand proportions, authentic hardware, believable folds, clean garment separation","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Female/Casual,1.0,False
0018 | Female/Casual/Levi's - Relaxed Blazer + Midi Skirt,"Levi's relaxed single-breasted blazer with soft shoulders, lined pockets, and refined branded hardware, fluid midi skirt, ankle boots, structured tote, precise seams and fasteners, premium material texture, balanced layering, polished styling","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Female/Casual,1.0,False
0019 | Female/Casual/Levi's - Relaxed Blazer + Tailored Shorts,"Levi's relaxed single-breasted blazer with soft shoulders, lined pockets, and refined branded hardware, tailored shorts, low-profile trainers, woven belt, recognisable branded detailing, correct sole shape, realistic fabric weight, carefully matched colours","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Female/Casual,1.0,False
0020 | Female/Casual/Levi's - Relaxed Blazer + Corduroy Pants,"Levi's relaxed single-breasted blazer with soft shoulders, lined pockets, and refined branded hardware, wide corduroy trousers, polished Chelsea boots, small crossbody bag, crisp embroidery and labels, practical construction, refined fit, consistent material response","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Female/Casual,1.0,False
0021 | Female/Casual/Levi's - Heritage Sweatshirt + Straight Denim,"Levi's heavyweight cotton sweatshirt with ribbed edges and clean archival logo embroidery, high-rise straight-leg denim, leather loafers, compact shoulder bag, accurate logo scale and placement, realistic stitching, natural fabric drape, coordinated accessories","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Female/Casual,1.0,False
0022 | Female/Casual/Levi's - Heritage Sweatshirt + Pleated Trousers,"Levi's heavyweight cotton sweatshirt with ribbed edges and clean archival logo embroidery, wide pleated trousers, clean leather sneakers, slim belt, faithful brand proportions, authentic hardware, believable folds, clean garment separation","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Female/Casual,1.0,False
0023 | Female/Casual/Levi's - Heritage Sweatshirt + Midi Skirt,"Levi's heavyweight cotton sweatshirt with ribbed edges and clean archival logo embroidery, fluid midi skirt, ankle boots, structured tote, precise seams and fasteners, premium material texture, balanced layering, polished styling","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Female/Casual,1.0,False
0024 | Female/Casual/Levi's - Heritage Sweatshirt + Tailored Shorts,"Levi's heavyweight cotton sweatshirt with ribbed edges and clean archival logo embroidery, tailored shorts, low-profile trainers, woven belt, recognisable branded detailing, correct sole shape, realistic fabric weight, carefully matched colours","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Female/Casual,1.0,False
0025 | Female/Casual/Levi's - Heritage Sweatshirt + Corduroy Pants,"Levi's heavyweight cotton sweatshirt with ribbed edges and clean archival logo embroidery, wide corduroy trousers, polished Chelsea boots, small crossbody bag, crisp embroidery and labels, practical construction, refined fit, consistent material response","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Female/Casual,1.0,False
0026 | Female/Casual/Ralph Lauren - Denim Trucker + Straight Denim,"Ralph Lauren structured denim trucker jacket with branded metal buttons and clean contrast stitching, high-rise straight-leg denim, leather loafers, compact shoulder bag, accurate logo scale and placement, realistic stitching, natural fabric drape, coordinated accessories","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Female/Casual,1.0,False
0027 | Female/Casual/Ralph Lauren - Denim Trucker + Pleated Trousers,"Ralph Lauren structured denim trucker jacket with branded metal buttons and clean contrast stitching, wide pleated trousers, clean leather sneakers, slim belt, faithful brand proportions, authentic hardware, believable folds, clean garment separation","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Female/Casual,1.0,False
