name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Foreground Framing/Foreground-Framed View — wide environmental framing, camera at eye level, 135mm long-lens perspective","camera observing the primary subject through a deliberate foreground opening such as a doorway, window, foliage, railing or architectural gap, foreground softly framing rather than obscuring the subject, camera at eye level, camera at intimate portrait distance, wide environmental framing, 135mm long-lens perspective, centred composition, focus centred on clothing and body orientation, clear camera-to-subject relationship, coherent spatial orientation","foreground blocking subject, accidental occlusion, clutter covering face, impossible depth layering, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Foreground Framing,1,False
"0002 | Perspective/Foreground Framing/Foreground-Framed View — balanced square-format framing, camera slightly below eye level, 24mm wide-angle perspective with controlled distortion","camera observing the primary subject through a deliberate foreground opening such as a doorway, window, foliage, railing or architectural gap, foreground softly framing rather than obscuring the subject, camera slightly below eye level, camera at natural observational distance, balanced square-format framing, 24mm wide-angle perspective with controlled distortion, asymmetrical cinematic balance, focus locked on the primary subject silhouette, clear camera-to-subject relationship, coherent spatial orientation","foreground blocking subject, accidental occlusion, clutter covering face, impossible depth layering, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Foreground Framing,1,False
"0003 | Perspective/Foreground Framing/Foreground-Framed View — head-and-shoulders framing, camera slightly below eye level, 85mm portrait perspective","camera observing the primary subject through a deliberate foreground opening such as a doorway, window, foliage, railing or architectural gap, foreground softly framing rather than obscuring the subject, camera slightly below eye level, camera close enough to prioritise garment texture, head-and-shoulders framing, 85mm portrait perspective, clean negative space around the subject, deep focus with foreground and background clearly readable, clear camera-to-subject relationship, coherent spatial orientation","foreground blocking subject, accidental occlusion, clutter covering face, impossible depth layering, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Foreground Framing,1,False
"0004 | Perspective/Foreground Framing/Foreground-Framed View — waist-up framing, camera at waist height, 85mm portrait perspective","camera observing the primary subject through a deliberate foreground opening such as a doorway, window, foliage, railing or architectural gap, foreground softly framing rather than obscuring the subject, camera at waist height, camera at moderate environmental distance, waist-up framing, 85mm portrait perspective, slightly off-centre editorial composition, clean edge separation around the subject, clear camera-to-subject relationship, coherent spatial orientation","foreground blocking subject, accidental occlusion, clutter covering face, impossible depth layering, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Foreground Framing,1,False
"0005 | Perspective/Foreground Framing/Foreground-Framed View — full-body framing, camera at knee height, 135mm long-lens perspective","camera observing the primary subject through a deliberate foreground opening such as a doorway, window, foliage, railing or architectural gap, foreground softly framing rather than obscuring the subject, camera at knee height, camera at conversational distance, full-body framing, 135mm long-lens perspective, rule-of-thirds placement, clean edge separation around the subject, clear camera-to-subject relationship, coherent spatial orientation","foreground blocking subject, accidental occlusion, clutter covering face, impossible depth layering, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Foreground Framing,1,False
"0006 | Perspective/Foreground Framing/Foreground-Framed View — waist-up framing, camera close to ground level, 85mm portrait perspective","camera observing the primary subject through a deliberate foreground opening such as a doorway, window, foliage, railing or architectural gap, foreground softly framing rather than obscuring the subject, camera close to ground level, camera close enough to prioritise garment texture, waist-up framing, 85mm portrait perspective, rule-of-thirds placement, moderate depth of field preserving environmental context, clear camera-to-subject relationship, coherent spatial orientation","foreground blocking subject, accidental occlusion, clutter covering face, impossible depth layering, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Foreground Framing,1,False
"0007 | Perspective/Foreground Framing/Foreground-Framed View — three-quarter body framing, camera at chest height, 28mm moderately wide perspective","camera observing the primary subject through a deliberate foreground opening such as a doorway, window, foliage, railing or architectural gap, foreground softly framing rather than obscuring the subject, camera at chest height, camera several metres from the subject, three-quarter body framing, 28mm moderately wide perspective, centred composition, focus locked on the primary subject silhouette, clear camera-to-subject relationship, coherent spatial orientation","foreground blocking subject, accidental occlusion, clutter covering face, impossible depth layering, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Foreground Framing,1,False
"0008 | Perspective/Foreground Framing/Foreground-Framed View — head-and-shoulders framing, camera at knee height, 105mm compressed portrait perspective","camera observing the primary subject through a deliberate foreground opening such as a doorway, window, foliage, railing or architectural gap, foreground softly framing rather than obscuring the subject, camera at knee height, camera at natural observational distance, head-and-shoulders framing, 105mm compressed portrait perspective, asymmetrical cinematic balance, subject sharply defined against a softly separated background, clear camera-to-subject relationship, coherent spatial orientation","foreground blocking subject, accidental occlusion, clutter covering face, impossible depth layering, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Foreground Framing,1,False
"0009 | Perspective/Foreground Framing/Foreground-Framed View — head-and-shoulders framing, camera at knee height, 135mm long-lens perspective","camera observing the primary subject through a deliberate foreground opening such as a doorway, window, foliage, railing or architectural gap, foreground softly framing rather than obscuring the subject, camera at knee height, camera positioned to include the surrounding environment, head-and-shoulders framing, 135mm long-lens perspective, clean negative space around the subject, focus centred on clothing and body orientation, clear camera-to-subject relationship, coherent spatial orientation","foreground blocking subject, accidental occlusion, clutter covering face, impossible depth layering, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Foreground Framing,1,False
"0010 | Perspective/Foreground Framing/Foreground-Framed View — wide environmental framing, camera at knee height, 28mm moderately wide perspective","camera observing the primary subject through a deliberate foreground opening such as a doorway, window, foliage, railing or architectural gap, foreground softly framing rather than obscuring the subject, camera at knee height, camera close to the subject, wide environmental framing, 28mm moderately wide perspective, minimal uncluttered composition, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","foreground blocking subject, accidental occlusion, clutter covering face, impossible depth layering, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Foreground Framing,1,False
