index,name,prompt,negative_prompt,category,weight,favorite
1,Accent on Transition,Place one restrained audio accent exactly on the transition point.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Timing Cues,1.0,False
2,Action Cut,Cut once on a natural action beat and continue the same movement and direction immediately afterward.,"rapid flicker, repeated transformation, magical particles, sparkles, smoke burst, abrupt reset, unwanted cut, identity drift, text, watermark",H3 | Transitions,1.0,False
3,Action Stability Block,"Lock identity, anatomy, direction of travel, contact points, held props, outfit, and camera path.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Stability Locks,1.0,False
4,Adjust Hair Once,"The subject makes one brief hair adjustment without changing the hairstyle, length, color, or parting.","unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | Motion & Actions,1.0,False
5,Adjust Jacket,"The subject makes one small natural jacket adjustment, preserving garment construction and accessories.","unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | Motion & Actions,1.0,False
6,Ambient,"Use soft ambient music with spacious texture, restrained rhythm, and gentle continuity.","clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | Audio | Music Styles,1.0,False
7,Anatomy Lock,"Lock anatomy throughout the shot: stable body proportions, limbs, hands, fingers, face, and joints.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Stability Locks,1.0,False
8,Animated-to-Photoreal — Balanced,"ACTION: perform the reference motion with physically believable live-action mechanics. CAMERA: match the reference camera, slow-to-normal speed, medium or smaller amplitude. LIGHTING: photoreal motivated lighting. AUDIO: preserve source timing; preserve physically matched ambience. STABILITY: lock target identity, realistic anatomy, choreography, environment layout, and non-target content. End with a clean 2-second hold.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Ready-Made Presets & Quick Combos,1.0,False
9,Animated-to-Photoreal — Director Handoff,"SCENE: continue the exact previous final frame. ACTION: perform the reference motion with physically believable live-action mechanics. CAMERA: preserve momentum, then use match the reference camera. LIGHTING: photoreal motivated lighting. AUDIO: continue preserve source timing without reset. STABILITY: lock target identity, realistic anatomy, choreography, environment layout, and non-target content. End continuation-ready.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Ready-Made Presets & Quick Combos,1.0,False
10,Animated-to-Photoreal — Stability First,"ACTION: perform the reference motion with physically believable live-action mechanics. CAMERA: match the reference camera with small amplitude and a long settle. LIGHTING: photoreal motivated lighting. AUDIO: preserve source timing at restrained level. STABILITY: lock target identity, realistic anatomy, choreography, environment layout, and non-target content; no extra action or reframe. Final 2 seconds stable.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Ready-Made Presets & Quick Combos,1.0,False
