index,name,prompt,negative_prompt,category,weight,favorite
1,Safe Static Medium,Static medium shot. Keep the subject centered. Hold the horizon and framing steady.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | H3-Safe | Camera,1.0,False
2,Safe Static Full Body,Static full-body shot. Keep footwear and ground contact visible. No camera drift.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | H3-Safe | Camera,1.0,False
3,Safe Slow Push,"Slow small push-in. Keep identity, scale, and center framing stable. Settle at the end.","camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | H3-Safe | Camera,1.0,False
4,Safe Slow Pull,Slow small pull-out. Reveal context gradually. Settle on a stable frame.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | H3-Safe | Camera,1.0,False
5,Safe Pan Left,Slow small pan left. Keep the horizon level and the subject readable.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | H3-Safe | Camera,1.0,False
6,Safe Pan Right,Slow small pan right. Keep the horizon level and the subject readable.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | H3-Safe | Camera,1.0,False
7,Safe Truck Left,Slow short truck left. Preserve distance and subject scale.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | H3-Safe | Camera,1.0,False
8,Safe Truck Right,Slow short truck right. Preserve distance and subject scale.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | H3-Safe | Camera,1.0,False
9,Safe Tilt Up,Slow tilt up on one axis. Stop cleanly on the intended framing.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | H3-Safe | Camera,1.0,False
10,Safe Tilt Down,Slow tilt down on one axis. Stop cleanly on the intended framing.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | H3-Safe | Camera,1.0,False
11,Safe Arc 45,Slow 45-degree arc around the still subject. Preserve distance and horizon.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | H3-Safe | Camera,1.0,False
12,Safe Orbit 90,Slow 90-degree orbit. Subject remains still. One continuous path.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | H3-Safe | Camera,1.0,False
13,Safe Side Track,Track beside the subject at matched walking pace. Keep spacing stable.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | H3-Safe | Camera,1.0,False
14,Safe Macro Slide,Slow short macro slide across one detail. Keep focus stable.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | H3-Safe | Camera,1.0,False
15,Safe Overhead Hold,Stable top-down view. Keep the scene centered and motion minimal.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | H3-Safe | Camera,1.0,False
16,Safe High Angle,Gentle high-angle medium shot. Preserve natural proportions.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | H3-Safe | Camera,1.0,False
17,Safe Low Angle,Gentle low-angle full-body shot. Avoid lens distortion.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | H3-Safe | Camera,1.0,False
18,Safe Portrait Close-Up,Stable close-up. Keep the full face readable and eyes unobstructed.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | H3-Safe | Camera,1.0,False
