name,category,prompt,negative_prompt
none,Control,,
random,Control,,
Natural Behaviour — Clear Readable Interaction 001,Natural Behaviour,"the selected animal calmly observing its surroundings, clear readable interaction; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Movement — Clear Readable Interaction 002,Movement,"the selected animal walking or running with natural weight and gait, clear readable interaction; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Hunting — Clear Readable Interaction 003,Hunting,"the selected animal stalking or pursuing prey attentively, clear readable interaction; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Feeding — Clear Readable Interaction 004,Feeding,"the selected animal feeding or drinking naturally, clear readable interaction; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Resting — Clear Readable Interaction 005,Resting,"the selected animal resting or sleeping in a relaxed pose, clear readable interaction; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Playing — Clear Readable Interaction 006,Playing,"the selected animal playing energetically, clear readable interaction; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Migration — Clear Readable Interaction 007,Migration,"a group of the selected animals migrating together, clear readable interaction; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Flight — Clear Readable Interaction 008,Flight,"the selected animal taking flight or gliding through the air, clear readable interaction; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Swimming — Clear Readable Interaction 009,Swimming,"the selected animal swimming or diving naturally, clear readable interaction; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
People Interaction — Clear Readable Interaction 010,People Interaction,"the selected animal interacting cautiously with a person, clear readable interaction; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Social Behaviour — Clear Readable Interaction 011,Social Behaviour,"the selected animal communicating with its group, clear readable interaction; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Courtship — Clear Readable Interaction 012,Courtship,"the selected animal performing a natural courtship display, clear readable interaction; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Parenting — Clear Readable Interaction 013,Parenting,"the selected animal caring for its young, clear readable interaction; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Territorial Display — Clear Readable Interaction 014,Territorial Display,"the selected animal performing a territorial display, clear readable interaction; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Foraging — Clear Readable Interaction 015,Foraging,"the selected animal foraging for food, clear readable interaction; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Grooming — Clear Readable Interaction 016,Grooming,"the selected animal grooming itself or another animal, clear readable interaction; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Natural Behaviour — Natural Body Language 017,Natural Behaviour,"the selected animal calmly observing its surroundings, natural body language; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Movement — Natural Body Language 018,Movement,"the selected animal walking or running with natural weight and gait, natural body language; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Hunting — Natural Body Language 019,Hunting,"the selected animal stalking or pursuing prey attentively, natural body language; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Feeding — Natural Body Language 020,Feeding,"the selected animal feeding or drinking naturally, natural body language; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Resting — Natural Body Language 021,Resting,"the selected animal resting or sleeping in a relaxed pose, natural body language; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Playing — Natural Body Language 022,Playing,"the selected animal playing energetically, natural body language; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Migration — Natural Body Language 023,Migration,"a group of the selected animals migrating together, natural body language; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Flight — Natural Body Language 024,Flight,"the selected animal taking flight or gliding through the air, natural body language; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Swimming — Natural Body Language 025,Swimming,"the selected animal swimming or diving naturally, natural body language; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
People Interaction — Natural Body Language 026,People Interaction,"the selected animal interacting cautiously with a person, natural body language; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Social Behaviour — Natural Body Language 027,Social Behaviour,"the selected animal communicating with its group, natural body language; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Courtship — Natural Body Language 028,Courtship,"the selected animal performing a natural courtship display, natural body language; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Parenting — Natural Body Language 029,Parenting,"the selected animal caring for its young, natural body language; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Territorial Display — Natural Body Language 030,Territorial Display,"the selected animal performing a territorial display, natural body language; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Foraging — Natural Body Language 031,Foraging,"the selected animal foraging for food, natural body language; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Grooming — Natural Body Language 032,Grooming,"the selected animal grooming itself or another animal, natural body language; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Natural Behaviour — Cinematic Wide Staging 033,Natural Behaviour,"the selected animal calmly observing its surroundings, cinematic wide staging; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
Movement — Cinematic Wide Staging 034,Movement,"the selected animal walking or running with natural weight and gait, cinematic wide staging; keep the selected character and selected animal visually distinct","ambiguous action, fused subjects, impossible interaction, duplicated limbs, motion artifacts, text, watermark"
