index,name,prompt
1,"808s, Dark Piano and Brass","Massive sliding 808s, punchy trap drums, minor-key dark piano, ominous brass stabs, and sparse bell accents."
2,Drill Bass and Icy Bells,"Gliding drill bass, syncopated kick patterns, crisp snares, icy bells, detuned choir pads, and tense string hits."
3,G-Funk Synths and Bass,"Elastic electric bass, bright portamento synth lead, talk-box color, crisp drums, and relaxed electric piano."
4,Analog Synthwave Rig,"Analog bass sequence, arpeggiated synths, wide polysynth pads, gated drums, and melodic electric guitar."
5,Dream Guitars and Pads,"Chorus-soaked guitars, soft sub bass, hazy pads, restrained live drums, and glimmering texture layers."
6,Acoustic Guitar and Cello,"Fingerpicked acoustic guitar, warm cello, upright bass, brushed percussion, and occasional piano."
7,Hybrid Orchestra and Taiko,"Full strings, low brass, taiko ensemble, choir, synth pulses, sub impacts, and rising sound-design transitions."
8,Industrial Machines,"Distorted modular bass, metallic hits, hydraulic percussion, noise bursts, alarm-like synths, and mechanical drones."
9,Soul Band and Rhodes,"Rhodes piano, warm electric bass, pocket drums, clean guitar, organ swells, and restrained horn lines."
10,Club Synths and Percussion,"Focused sub bass, bright club synths, syncopated percussion, sharp claps, and energetic risers."
11,"Pipe Organ, Cathedral Choir and Sliding 808s","Resonant pipe organ, low male cathedral choir, operatic soloist, tolling bells, sliding 808 sub-bass, sparse drill hats, low brass, and dramatic strings."
12,Sliding 808s and Sparse Piano,"Center the arrangement on Sliding 808s and Sparse Piano, leaving deliberate frequency and rhythmic space for the lead elements."
13,Boom Bap Drums and Jazz Samples,"Center the arrangement on Boom Bap Drums and Jazz Samples, leaving deliberate frequency and rhythmic space for the lead elements."
14,Rage Synths and Distorted 808s,"Center the arrangement on Rage Synths and Distorted 808s, leaving deliberate frequency and rhythmic space for the lead elements."
15,G-Funk Leads and Live Bass,"Center the arrangement on G-Funk Leads and Live Bass, leaving deliberate frequency and rhythmic space for the lead elements."
16,"Rhodes, Bass and Neo-Soul Guitar","Center the arrangement on Rhodes, Bass and Neo-Soul Guitar, leaving deliberate frequency and rhythmic space for the lead elements."
17,Grand Piano and String Quartet,"Center the arrangement on Grand Piano and String Quartet, leaving deliberate frequency and rhythmic space for the lead elements."
18,"Acoustic Guitar, Mandolin and Fiddle","Center the arrangement on Acoustic Guitar, Mandolin and Fiddle, leaving deliberate frequency and rhythmic space for the lead elements."
19,"Banjo, Stomp and Upright Bass","Center the arrangement on Banjo, Stomp and Upright Bass, leaving deliberate frequency and rhythmic space for the lead elements."
20,"Telecaster, Pedal Steel and Drums","Center the arrangement on Telecaster, Pedal Steel and Drums, leaving deliberate frequency and rhythmic space for the lead elements."
21,"Blues Guitar, Hammond Organ and Shuffle Drums","Center the arrangement on Blues Guitar, Hammond Organ and Shuffle Drums, leaving deliberate frequency and rhythmic space for the lead elements."
22,"Horn Section, Clavinet and Slap Bass","Center the arrangement on Horn Section, Clavinet and Slap Bass, leaving deliberate frequency and rhythmic space for the lead elements."
23,Reggae Skank Guitar and Dub Bass,"Center the arrangement on Reggae Skank Guitar and Dub Bass, leaving deliberate frequency and rhythmic space for the lead elements."
24,Dancehall Drums and Digital Stabs,"Center the arrangement on Dancehall Drums and Digital Stabs, leaving deliberate frequency and rhythmic space for the lead elements."
25,Reggaeton Dembow and Nylon Guitar,"Center the arrangement on Reggaeton Dembow and Nylon Guitar, leaving deliberate frequency and rhythmic space for the lead elements."
26,"Afrobeat Guitars, Horns and Percussion","Center the arrangement on Afrobeat Guitars, Horns and Percussion, leaving deliberate frequency and rhythmic space for the lead elements."
27,Amapiano Log Drum and Airy Keys,"Center the arrangement on Amapiano Log Drum and Airy Keys, leaving deliberate frequency and rhythmic space for the lead elements."
28,"Gospel Organ, Piano and Choir","Center the arrangement on Gospel Organ, Piano and Choir, leaving deliberate frequency and rhythmic space for the lead elements."
29,Shoegaze Guitar Wall and Dreamy Bass,"Center the arrangement on Shoegaze Guitar Wall and Dreamy Bass, leaving deliberate frequency and rhythmic space for the lead elements."
30,Pop-Punk Guitars and Live Drums,"Center the arrangement on Pop-Punk Guitars and Live Drums, leaving deliberate frequency and rhythmic space for the lead elements."
31,Metalcore Guitars and Double Kick,"Center the arrangement on Metalcore Guitars and Double Kick, leaving deliberate frequency and rhythmic space for the lead elements."
32,"Orchestral Strings, Brass and Timpani","Center the arrangement on Orchestral Strings, Brass and Timpani, leaving deliberate frequency and rhythmic space for the lead elements."
33,"Horror Strings, Drones and Prepared Piano","Center the arrangement on Horror Strings, Drones and Prepared Piano, leaving deliberate frequency and rhythmic space for the lead elements."
34,Modular Synths and Drum Machines,"Center the arrangement on Modular Synths and Drum Machines, leaving deliberate frequency and rhythmic space for the lead elements."
35,"Techno Kick, Rumble and Sequencers","Center the arrangement on Techno Kick, Rumble and Sequencers, leaving deliberate frequency and rhythmic space for the lead elements."
36,"House Piano, Disco Bass and Claps","Center the arrangement on House Piano, Disco Bass and Claps, leaving deliberate frequency and rhythmic space for the lead elements."
37,Trance Supersaws and Arpeggios,"Center the arrangement on Trance Supersaws and Arpeggios, leaving deliberate frequency and rhythmic space for the lead elements."
38,"DnB Breakbeats, Reese Bass and Pads","Center the arrangement on DnB Breakbeats, Reese Bass and Pads, leaving deliberate frequency and rhythmic space for the lead elements."
39,Jungle Breaks and Dub Sub,"Center the arrangement on Jungle Breaks and Dub Sub, leaving deliberate frequency and rhythmic space for the lead elements."
40,Dubstep Wobbles and Cinematic Impacts,"Center the arrangement on Dubstep Wobbles and Cinematic Impacts, leaving deliberate frequency and rhythmic space for the lead elements."
41,"Phonk Cowbells, Distorted Bass and Memphis Chops","Center the arrangement on Phonk Cowbells, Distorted Bass and Memphis Chops, leaving deliberate frequency and rhythmic space for the lead elements."
42,"Lo-Fi Keys, Dusty Drums and Tape Noise","Center the arrangement on Lo-Fi Keys, Dusty Drums and Tape Noise, leaving deliberate frequency and rhythmic space for the lead elements."
43,Solo Piano,"Center the arrangement on Solo Piano, leaving deliberate frequency and rhythmic space for the lead elements."
44,Solo Acoustic Guitar,"Center the arrangement on Solo Acoustic Guitar, leaving deliberate frequency and rhythmic space for the lead elements."
45,Electric Guitar Bass and Live Drums,"Core live rock trio: layered electric guitars, articulate electric bass, and acoustic live drums with realistic room interaction."
46,Drop-Tuned Guitars Bass and Double Kick,"Low-tuned rhythm guitars, defined electric bass, double-kick drum kit, cymbal detail, and controlled high-impact stops."
47,Clean Delay Guitar Bass and Drums,"Chiming delay guitar, melodic bass, spacious live drums, and restrained atmospheric keyboard support."
48,Fuzz Guitars Bass and Heavy Drums,"Thick fuzz guitar layers, distorted melodic bass, hard-hitting acoustic drums, and feedback transitions."
49,Acoustic Guitar Bass and Brushes,"Close acoustic guitar, warm upright or electric bass, brushed drums, and subtle room ambience."
50,Piano Bass Guitar and Live Drums,"Acoustic piano, supportive electric bass, tasteful electric guitar, and dynamic live drums arranged around the vocal."
51,Twelve-String Guitar Bass and Tambourine,"Bright twelve-string electric guitar, melodic bass, compact drums, tambourine lift, and layered rhythm guitars."
52,Tremolo Guitar Brass and Percussion,"Tremolo electric guitar, dramatic brass, sparse marching percussion, whistle or wordless texture, and wide reverb."
53,Down-Tuned Guitars Turntables and Drums,"Down-tuned guitars, punchy live and programmed drums, turntable scratches, sub bass, and electronic transition effects."
54,Analog Synth Bass Guitar and Drum Machine,"Analog synth bass, clipped funk guitar, vintage drum machine, electric piano, and bright lead synthesizer."
55,Minimal Sub Bass Piano and Percussion,"Deep controlled sub bass, sparse piano or synth motif, minimal percussion, and large intentional negative space."
56,Filtered Disco Samples and House Drums,"Filtered disco loops, four-on-the-floor house drums, funky electric bass, bright claps, and robotic synth accents."
57,Breakbeats Reese Bass and Rock Guitars,"Fast breakbeats, Reese bass, wide pads, distorted rock guitars, live crash accents, and cinematic transitions."
58,Shuffled Garage Drums Sub Bass and Vocal Chops,"Shuffled garage drums, deep sub bass, distant vocal fragments, rain-like ambience, and fragile keyboard texture."
59,Upright Bass Piano Sax and Brushes,"Upright bass, acoustic piano, tenor saxophone, brushed drum kit, and spacious small-club room tone."
60,Clavinet Electric Bass Drums and Synth,"Syncopated clavinet, elastic electric bass, tight drums, analog synth lead, and punchy horn punctuation."
61,Acoustic Guitar Pedal Steel Bass and Drums,"Acoustic rhythm guitar, expressive pedal steel, grounded bass, natural drums, and restrained piano or organ."
62,Organ Blues Guitar Bass and Drums,"Hammond organ, expressive blues electric guitar, warm bass, pocketed live drums, and occasional piano fills."
63,Interlocking Guitars Horns Bass and Percussion,"Interlocking clean guitars, conversational horn section, melodic bass, drum kit, congas, shakers, and layered hand percussion."
64,Ambient Pads Processed Piano and Strings,"Slow ambient pads, processed piano, restrained strings, subtle low pulse, and evolving textural sound design."
65,No Instruments - Dry Spoken Voice,"No musical instruments and no singing; use only the dry spoken voice, natural breath, silence, and subtle room tone."
66,Subtle Cinematic Underscore for Speech,"Low unobtrusive pads, sparse piano notes, restrained sub pulse, and soft texture that always remains behind the spoken words."
67,Dark Drone Underscore for Speech,"Low dark drones, distant impacts, subtle tension pulse, and sparse sound design kept quiet beneath intelligible spoken voice."
68,Warm Piano Underscore for Speech,"Sparse warm piano, gentle sustained strings, subtle room ambience, and no rhythmic element that competes with the speech."
69,Soft Meditation Beds and Bowls,"Soft sustained meditation bed, occasional singing bowl, gentle nature texture, and wide calm space beneath spoken guidance."
70,Emergency Radio Static and Low Drone,"Filtered radio static, low warning drone, sparse signal tones, and restrained impacts beneath a spoken emergency message."
71,Horn Section Clavinet and Slap Bass,"Punchy horn section, syncopated clavinet, elastic slap bass, tight live drums, and clipped funk guitar."
72,Rhodes Bass and Neo-Soul Guitar,"Warm Rhodes chords, rounded electric bass, pocketed drums, clean neo-soul guitar fills, and subtle organ color."
73,Gospel Organ Piano and Choir,"Hammond organ, acoustic piano, live bass and drums, handclaps, featured lead voice, and responsive gospel choir."
74,House Piano Disco Bass and Claps,"Bright house-piano chords, melodic disco bass, four-on-the-floor kick, crisp claps, open hats, and uplifting synth layers."
75,Techno Kick Rumble and Sequencers,"Focused techno kick, controlled rumble, hypnotic sequencers, industrial percussion, and slowly evolving filter movement."
76,DnB Breakbeats Reese Bass and Pads,"Fast detailed breakbeats, controlled Reese bass, deep sub, atmospheric pads, and clean transition effects."
77,Acoustic Guitar Mandolin and Fiddle,"Acoustic rhythm guitar, mandolin, expressive fiddle, upright bass, restrained percussion, and natural ensemble harmony."
78,Banjo Stomp and Upright Bass,"Driving banjo, acoustic guitar, upright bass, kick-stomp percussion, handclaps, and rising group-vocal support."
79,Orchestral Strings Brass and Timpani,"Full orchestral strings, heroic and dramatic brass, timpani, woodwind color, cymbal swells, and carefully shaped dynamics."
80,Electric Guitar + Bass + Live Drums,"Real-world rock trio with layered electric rhythm and lead guitars, articulate electric bass, and a human acoustic drum kit captured with believable room interaction."
81,Heavy Guitars + Bass + Double-Kick Drums,"Thick low-tuned rhythm guitars, defined electric bass, hard acoustic snare and toms, fast double-kick patterns, cymbal detail, and tight high-impact stops."
82,Grunge Guitars + Bass + Loose Live Drums,"Rough overdriven and fuzz guitar layers, melodic bass that remains audible, loose heavy live drums, feedback transitions, and human early-1990s room energy."
83,Pop-Punk Guitars + Bass + Punchy Drums,"Bright palm-muted electric guitars, driving picked bass, punchy live drums, crash-led chorus lift, and tight stops built for fast sing-along sections."
84,Acoustic Guitar + Bass + Brushes,"Close fingerpicked or strummed acoustic guitar, warm upright or electric bass, brushed drum kit, restrained fills, and intimate natural room ambience."
85,Piano + Bass + Live Drums,"Acoustic piano leads the harmony over supportive upright or electric bass and dynamic live drums, leaving clear space for the vocal and section lifts."
86,Funk Guitar + Bass + Tight Drums,"Clipped syncopated funk guitar, elastic melodic electric bass, tight pocket drums, ghost notes, and optional clavinet or horn punctuation."
87,Synths + 808 Bass + Trap Drums,"Layered modern synth chords and leads, deep sliding 808 bass, punchy trap kicks and snares, detailed hi-hats, and deliberate space around the vocal."
88,Strings + Piano + Cinematic Percussion,"Expressive orchestral strings and grand piano supported by timpani, taiko, cymbal swells, low impacts, and carefully shaped cinematic dynamics."
89,Industrial Synths + Distorted Bass + Electronic Drums,"Harsh modular and wavetable synths, distorted bass, mechanical electronic drums, metallic hits, noise bursts, and controlled machine-like repetition."
90,Shoegaze Guitars + Melodic Bass + Live Drums,"Layered chorus, fuzz and reverb guitar wall over a distinct melodic bass line, live drums, feedback blooms, and soft-to-loud dynamic waves."
91,Reggae Guitar + Dub Bass + One-Drop Drums,"Offbeat clean skank guitar, deep melodic dub bass, spacious one-drop live drums, organ bubbles, hand percussion, and selective tape-echo throws."
92,Afrobeat Guitars + Bass + Polyrhythmic Drums,"Interlocking clean guitars, circular melodic bass, layered live drum kit and hand percussion, horn replies, and patient evolving groove."
