name,prompt,negative_prompt,category,weight,favorite
0001 | Pose/Support/Plank and Bear/Plank and Bear Support — both palms and both forefeet supporting — spine neutral,"both palms and both forefeet supporting, elbows straight, knees elevated, torso in one long line; spine neutral, head aligned with the spine, gaze directed downward; clear joint alignment; distinct limb separation","knees planted in tabletop, lying on the stomach, hips collapsed to the support plane, elbows collapsed, standing posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Plank and Bear,1,False
0002 | Pose/Support/Plank and Bear/Plank and Bear Support — both palms and both forefeet supporting — spine neutral,"both palms and both forefeet supporting, elbows straight, knees elevated, torso in one long line; spine neutral, chin slightly lifted, neck long; clear joint alignment; distinct limb separation","knees planted in tabletop, lying on the stomach, hips collapsed to the support plane, elbows collapsed, standing posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Plank and Bear,1,False
0003 | Pose/Support/Plank and Bear/Plank and Bear Support — both palms and both forefeet supporting — spine neutral,"both palms and both forefeet supporting, elbows straight, knees elevated, torso in one long line; spine neutral, chin slightly tucked, neck long; clear joint alignment; distinct limb separation","knees planted in tabletop, lying on the stomach, hips collapsed to the support plane, elbows collapsed, standing posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Plank and Bear,1,False
0004 | Pose/Support/Plank and Bear/Plank and Bear Support — both palms and both forefeet supporting — upper back gently rounded,"both palms and both forefeet supporting, elbows straight, knees elevated, torso in one long line; upper back gently rounded, pelvis slightly tucked; clear joint alignment; distinct limb separation","knees planted in tabletop, lying on the stomach, hips collapsed to the support plane, elbows collapsed, standing posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Plank and Bear,1,False
0005 | Pose/Support/Plank and Bear/Plank and Bear Support — both palms and both forefeet supporting — upper back gently extended,"both palms and both forefeet supporting, elbows straight, knees elevated, torso in one long line; upper back gently extended, pelvis slightly tipped forward; clear joint alignment; distinct limb separation","knees planted in tabletop, lying on the stomach, hips collapsed to the support plane, elbows collapsed, standing posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Plank and Bear,1,False
0006 | Pose/Support/Plank and Bear/Plank and Bear Support — both palms and both forefeet supporting — ribcage rotated slightly left while both knees remain planted,"both palms and both forefeet supporting, elbows straight, knees elevated, torso in one long line; ribcage rotated slightly left while both knees remain planted; clear joint alignment; distinct limb separation","knees planted in tabletop, lying on the stomach, hips collapsed to the support plane, elbows collapsed, standing posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Plank and Bear,1,False
0007 | Pose/Support/Plank and Bear/Plank and Bear Support — both palms and both forefeet supporting — ribcage rotated slightly right while both knees remain planted,"both palms and both forefeet supporting, elbows straight, knees elevated, torso in one long line; ribcage rotated slightly right while both knees remain planted; clear joint alignment; distinct limb separation","knees planted in tabletop, lying on the stomach, hips collapsed to the support plane, elbows collapsed, standing posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Plank and Bear,1,False
0008 | Pose/Support/Plank and Bear/Plank and Bear Support — both palms and both forefeet supporting — weight distributed evenly across both palms and both knees,"both palms and both forefeet supporting, elbows straight, knees elevated, torso in one long line; weight distributed evenly across both palms and both knees; clear joint alignment; distinct limb separation","knees planted in tabletop, lying on the stomach, hips collapsed to the support plane, elbows collapsed, standing posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Plank and Bear,1,False
0009 | Pose/Support/Plank and Bear/Plank and Bear Support — both palms and both forefeet supporting — slightly more weight through both palms while both knees remain planted,"both palms and both forefeet supporting, elbows straight, knees elevated, torso in one long line; slightly more weight through both palms while both knees remain planted; clear joint alignment; distinct limb separation","knees planted in tabletop, lying on the stomach, hips collapsed to the support plane, elbows collapsed, standing posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Plank and Bear,1,False
0010 | Pose/Support/Plank and Bear/Plank and Bear Support — both palms and both forefeet supporting — slightly more weight through both knees while both palms remain planted,"both palms and both forefeet supporting, elbows straight, knees elevated, torso in one long line; slightly more weight through both knees while both palms remain planted; clear joint alignment; distinct limb separation","knees planted in tabletop, lying on the stomach, hips collapsed to the support plane, elbows collapsed, standing posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Support/Plank and Bear,1,False
