name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Dutch Angle Left/Left Dutch-Angle Camera — wide environmental framing, 18mm ultra-wide lens with controlled distortion, foreground-to-background depth layering","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera rolled moderately counter-clockwise, diagonal horizon created by camera rotation only; close camera distance; wide environmental framing; 18mm ultra-wide lens with controlled distortion; foreground-to-background depth layering; focus weighted toward clothing and material texture; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","body twisted to imitate tilt, level horizon, extreme rotation, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Dutch Angle Left,1,False
"0002 | Perspective/Dutch Angle Left/Left Dutch-Angle Camera — tight crop, 18mm ultra-wide lens with controlled distortion, asymmetrical cinematic balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera rolled moderately counter-clockwise, diagonal horizon created by camera rotation only; environmental portrait distance; tight crop; 18mm ultra-wide lens with controlled distortion; asymmetrical cinematic balance; foreground softly separated from the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","body twisted to imitate tilt, level horizon, extreme rotation, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Dutch Angle Left,1,False
"0003 | Perspective/Dutch Angle Left/Left Dutch-Angle Camera — three-quarter-length crop, 105mm compressed portrait lens, environmental elements framing the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera rolled moderately counter-clockwise, diagonal horizon created by camera rotation only; wide scene distance; three-quarter-length crop; 105mm compressed portrait lens; environmental elements framing the subject; focus weighted toward facial detail when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","body twisted to imitate tilt, level horizon, extreme rotation, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Dutch Angle Left,1,False
"0004 | Perspective/Dutch Angle Left/Left Dutch-Angle Camera — tight crop, 65mm short-portrait lens, slightly off-centre editorial composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera rolled moderately counter-clockwise, diagonal horizon created by camera rotation only; conversational camera distance; tight crop; 65mm short-portrait lens; slightly off-centre editorial composition; deep focus across the visible environment; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","body twisted to imitate tilt, level horizon, extreme rotation, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Dutch Angle Left,1,False
"0005 | Perspective/Dutch Angle Left/Left Dutch-Angle Camera — full-figure framing, 50mm standard lens, minimal uncluttered composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera rolled moderately counter-clockwise, diagonal horizon created by camera rotation only; full-figure camera distance; full-figure framing; 50mm standard lens; minimal uncluttered composition; shallow depth of field with clean subject separation; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","body twisted to imitate tilt, level horizon, extreme rotation, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Dutch Angle Left,1,False
"0006 | Perspective/Dutch Angle Left/Left Dutch-Angle Camera — full-figure framing, 135mm telephoto lens, slightly off-centre editorial composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera rolled moderately counter-clockwise, diagonal horizon created by camera rotation only; full-figure camera distance; full-figure framing; 135mm telephoto lens; slightly off-centre editorial composition; shallow depth of field with clean subject separation; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","body twisted to imitate tilt, level horizon, extreme rotation, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Dutch Angle Left,1,False
"0007 | Perspective/Dutch Angle Left/Left Dutch-Angle Camera — medium crop, 65mm short-portrait lens, rule-of-thirds composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera rolled moderately counter-clockwise, diagonal horizon created by camera rotation only; close camera distance; medium crop; 65mm short-portrait lens; rule-of-thirds composition; focus locked on the primary subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","body twisted to imitate tilt, level horizon, extreme rotation, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Dutch Angle Left,1,False
"0008 | Perspective/Dutch Angle Left/Left Dutch-Angle Camera — wide environmental framing, 105mm compressed portrait lens, symmetrical visual balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera rolled moderately counter-clockwise, diagonal horizon created by camera rotation only; moderate camera distance; wide environmental framing; 105mm compressed portrait lens; symmetrical visual balance; focus weighted toward facial detail when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","body twisted to imitate tilt, level horizon, extreme rotation, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Dutch Angle Left,1,False
"0009 | Perspective/Dutch Angle Left/Left Dutch-Angle Camera — head-and-shoulders crop, 50mm standard lens, foreground-to-background depth layering","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera rolled moderately counter-clockwise, diagonal horizon created by camera rotation only; camera far enough back to preserve spatial context; head-and-shoulders crop; 50mm standard lens; foreground-to-background depth layering; balanced focus between subject and immediate surroundings; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","body twisted to imitate tilt, level horizon, extreme rotation, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Dutch Angle Left,1,False
"0010 | Perspective/Dutch Angle Left/Left Dutch-Angle Camera — cinematic landscape framing, 65mm short-portrait lens, minimal uncluttered composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera rolled moderately counter-clockwise, diagonal horizon created by camera rotation only; intimate portrait distance; cinematic landscape framing; 65mm short-portrait lens; minimal uncluttered composition; foreground softly separated from the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","body twisted to imitate tilt, level horizon, extreme rotation, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Dutch Angle Left,1,False
"0011 | Perspective/Dutch Angle Left/Left Dutch-Angle Camera — tight crop, 18mm ultra-wide lens with controlled distortion, symmetrical visual balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera rolled moderately counter-clockwise, diagonal horizon created by camera rotation only; full-figure camera distance; tight crop; 18mm ultra-wide lens with controlled distortion; symmetrical visual balance; shallow depth of field with clean subject separation; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","body twisted to imitate tilt, level horizon, extreme rotation, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Dutch Angle Left,1,False
"0012 | Perspective/Dutch Angle Left/Left Dutch-Angle Camera — medium crop, 105mm compressed portrait lens, strong leading lines toward the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera rolled moderately counter-clockwise, diagonal horizon created by camera rotation only; moderate camera distance; medium crop; 105mm compressed portrait lens; strong leading lines toward the subject; focus weighted toward rear silhouette when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","body twisted to imitate tilt, level horizon, extreme rotation, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Dutch Angle Left,1,False
"0013 | Perspective/Dutch Angle Left/Left Dutch-Angle Camera — three-quarter-length crop, 18mm ultra-wide lens with controlled distortion, clean negative space around the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera rolled moderately counter-clockwise, diagonal horizon created by camera rotation only; moderate camera distance; three-quarter-length crop; 18mm ultra-wide lens with controlled distortion; clean negative space around the subject; balanced focus between subject and immediate surroundings; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","body twisted to imitate tilt, level horizon, extreme rotation, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Dutch Angle Left,1,False
