name,prompt,negative_prompt,category,weight,favorite
0001 | Real Female/Popular Under 40/Margot Robbie,"Margot Robbie, adult actor, recognizable likeness from widely known public imagery, Female public figure portrait reference, safe editorial portrait reference, recognizable likeness from widely known public imagery, Australian actress look, blonde hair, bright smile, polished red-carpet and cinematic portrait energy, clear face reference, natural skin texture, clothed portrait framing, category tag: Real Female/Actor, polished high-end editorial presentation, natural skin texture, precise facial structure, refined hair detail, confident camera-ready expression, modern wardrobe styling, cinematic beauty lighting","wrong identity, generic face, altered facial structure, inaccurate hair, age regression, child, teen, underage, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, text, watermark, logo artifacts, low detail, blur",Real Female/Popular Under 40,1,False
0002 | Real Female/Popular Under 40/Zendaya,"Zendaya, adult actor, recognizable likeness from widely known public imagery, Female public figure portrait reference, safe editorial portrait reference, recognizable likeness from widely known public imagery, fashion-forward actor and performer look, elegant editorial styling, expressive eyes, modern red-carpet energy, clear face reference, natural skin texture, clothed portrait framing, category tag: Real Female/Actor, polished high-end editorial presentation, natural skin texture, precise facial structure, refined hair detail, confident camera-ready expression, modern wardrobe styling, cinematic beauty lighting","wrong identity, generic face, altered facial structure, inaccurate hair, age regression, child, teen, underage, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, text, watermark, logo artifacts, low detail, blur",Real Female/Popular Under 40,1,False
0003 | Real Female/Popular Under 40/Ana de Armas,"Ana de Armas, adult actor, recognizable likeness from widely known public imagery, Female public figure portrait reference, safe editorial portrait reference, recognizable likeness from widely known public imagery, modern cinematic actress look, warm smile, glossy editorial portrait, clear face reference, natural skin texture, clothed portrait framing, category tag: Real Female/Actor, polished high-end editorial presentation, natural skin texture, precise facial structure, refined hair detail, confident camera-ready expression, modern wardrobe styling, cinematic beauty lighting","wrong identity, generic face, altered facial structure, inaccurate hair, age regression, child, teen, underage, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, text, watermark, logo artifacts, low detail, blur",Real Female/Popular Under 40,1,False
0004 | Real Female/Popular Under 40/Jenna Ortega,"Jenna Ortega, adult actor, recognizable likeness from widely known public imagery, adult actress reference, Female public figure portrait reference, safe editorial portrait reference, recognizable likeness from widely known public imagery, dark hair, intense expressive gaze, gothic-modern screen presence, editorial portrait, clear face reference, natural skin texture, clothed portrait framing, category tag: Real Female/Actor, polished high-end editorial presentation, natural skin texture, precise facial structure, refined hair detail, confident camera-ready expression, modern wardrobe styling, cinematic beauty lighting","wrong identity, generic face, altered facial structure, inaccurate hair, age regression, child, teen, underage, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, text, watermark, logo artifacts, low detail, blur",Real Female/Popular Under 40,1,False
0005 | Real Female/Popular Under 40/Sydney Sweeney,"Sydney Sweeney, adult actor, recognizable likeness from widely known public imagery, Female public figure portrait reference, safe editorial portrait reference, recognizable likeness from widely known public imagery, modern Hollywood actress look, soft glam editorial portrait, blonde hair, clear face reference, natural skin texture, clothed portrait framing, category tag: Real Female/Actor, polished high-end editorial presentation, natural skin texture, precise facial structure, refined hair detail, confident camera-ready expression, modern wardrobe styling, cinematic beauty lighting","wrong identity, generic face, altered facial structure, inaccurate hair, age regression, child, teen, underage, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, text, watermark, logo artifacts, low detail, blur",Real Female/Popular Under 40,1,False
0006 | Real Female/Popular Under 40/Florence Pugh,"Florence Pugh, adult actor, recognizable likeness from widely known public imagery, Female public figure portrait reference, safe editorial portrait reference, recognizable likeness from widely known public imagery, short blonde hair options, expressive face, strong modern screen presence, fashion editorial portrait, clear face reference, natural skin texture, clothed portrait framing, category tag: Real Female/Actor, polished high-end editorial presentation, natural skin texture, precise facial structure, refined hair detail, confident camera-ready expression, modern wardrobe styling, cinematic beauty lighting","wrong identity, generic face, altered facial structure, inaccurate hair, age regression, child, teen, underage, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, text, watermark, logo artifacts, low detail, blur",Real Female/Popular Under 40,1,False
0007 | Real Female/Popular Under 40/Anya Taylor-Joy,"Anya Taylor-Joy, adult actor, recognizable likeness from widely known public imagery, Female public figure portrait reference, safe editorial portrait reference, recognizable likeness from widely known public imagery, large expressive eyes, elegant fantasy-drama screen presence, high-fashion portrait, clear face reference, natural skin texture, clothed portrait framing, category tag: Real Female/Actor, polished high-end editorial presentation, natural skin texture, precise facial structure, refined hair detail, confident camera-ready expression, modern wardrobe styling, cinematic beauty lighting","wrong identity, generic face, altered facial structure, inaccurate hair, age regression, child, teen, underage, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, text, watermark, logo artifacts, low detail, blur",Real Female/Popular Under 40,1,False
0008 | Real Female/Popular Under 40/Mia Goth,"Mia Goth, adult actor, recognizable likeness from widely known public imagery, Female public figure portrait reference, safe editorial portrait reference, recognizable likeness from widely known public imagery, ethereal horror-film actress look, pale editorial lighting, intense gaze, clear face reference, natural skin texture, clothed portrait framing, category tag: Real Female/Actor, polished high-end editorial presentation, natural skin texture, precise facial structure, refined hair detail, confident camera-ready expression, modern wardrobe styling, cinematic beauty lighting","wrong identity, generic face, altered facial structure, inaccurate hair, age regression, child, teen, underage, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, text, watermark, logo artifacts, low detail, blur",Real Female/Popular Under 40,1,False
0009 | Real Female/Popular Under 40/Elizabeth Olsen,"Elizabeth Olsen, adult actor, recognizable likeness from widely known public imagery, Female public figure portrait reference, safe editorial portrait reference, recognizable likeness from widely known public imagery, soft features, expressive eyes, polished cinematic portrait, modern actor look, clear face reference, natural skin texture, clothed portrait framing, category tag: Real Female/Actor, polished high-end editorial presentation, natural skin texture, precise facial structure, refined hair detail, confident camera-ready expression, modern wardrobe styling, cinematic beauty lighting","wrong identity, generic face, altered facial structure, inaccurate hair, age regression, child, teen, underage, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, text, watermark, logo artifacts, low detail, blur",Real Female/Popular Under 40,1,False
0010 | Real Female/Popular Under 40/Karen Gillan,"Karen Gillan, adult actor, recognizable likeness from widely known public imagery, Female public figure portrait reference, safe editorial portrait reference, recognizable likeness from widely known public imagery, red hair, sci-fi actor presence, expressive face, polished portrait, clear face reference, natural skin texture, clothed portrait framing, category tag: Real Female/Actor, polished high-end editorial presentation, natural skin texture, precise facial structure, refined hair detail, confident camera-ready expression, modern wardrobe styling, cinematic beauty lighting","wrong identity, generic face, altered facial structure, inaccurate hair, age regression, child, teen, underage, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, text, watermark, logo artifacts, low detail, blur",Real Female/Popular Under 40,1,False
