index,name,prompt
1,Loose and Conversational,"Favor natural speech rhythm, selective end rhymes, and emotional clarity."
2,Balanced,Use consistent end rhymes with occasional internal patterns while keeping every line understandable.
3,Dense Multisyllabic,"Use dense multisyllabic schemes, internal chains, slant rhymes, and controlled enjambment without sounding mechanical."
4,Technical Maximum,"Use highly technical rhyme webs, recurring vowel families, rapid internal echoes, and clean performability."
5,Hook Simple / Verses Dense,Keep the chorus simple and immediate while the verses carry dense internal and multisyllabic patterns.
6,None / Free Verse,Use free verse with natural speech stress and imagery instead of a regular end-rhyme scheme.
7,Sparse End Rhyme,Rhyme only selected line endings so the lyric stays conversational and emotionally clear.
8,Simple Couplets,Use easy-to-follow paired end rhymes with clean stresses and no dense internal technique.
9,Pop Regular,Use a predictable radio-friendly rhyme pattern with simple verses and highly repeatable chorus wording.
10,Internal Accents,Keep end rhymes light but place short internal echoes and vowel matches inside important lines.
11,Technical Dense,Use frequent multisyllabic internals slant rhymes and cross-line patterns while preserving clear delivery.
12,Maximum Rhyme Chains,Carry connected multisyllabic vowel families across several consecutive lines with precise performable rhythm.
13,Variable by Section,Use loose conversational rhyming in setup sections denser rhyme work in verses and simple repetition in hooks.
14,Melodic Repetition,Let repeated melodic phrases and key words provide cohesion instead of forcing dense end rhymes.
